"variable.name_calculator","sites.sitename","plot.name","calculatior_Biome","mean_OM"
"OM_ag","Alberta AB8","Pinus contorta-100%","T12",89.6775666666667
"OM_ag","Alberta AB9","Pinus contorta-55%, Picea engelmanni-34%, Abies lasiocarpa-11%","T12",73.8088
"OM_ag","Allpahuayo A ALP11/ALP12","wet aseasonal forest","T1",130.4
"OM_ag","Allpahuayo A clay-rich soils","terra firma clay-rich soils ALP-11","T1",127.3371
"OM_ag","Allpahuayo A sandy soils","terra firma sandy soils ALP-12","T1",125.5934
"OM_ag","Allpahuayo B clay-rich soils","terra firma clay-rich soils ALP-22","T1",109.91655
"OM_ag","Allpahuayo B sandy soils","terra firma sandy soils ALP-21","T1",134.6409
"OM_ag","Allpahuayo C ALP30","wet aseasonal forest","T1",88.5
"OM_ag","Andrews 10","unmanaged","T7",398.83
"OM_root","Andrews 10","unmanaged","T7",90.4175
"OM_ag","Andrews 11","unmanaged","T7",367.76
"OM_root","Andrews 11","unmanaged","T7",121.03
"OM_ag","Andrews 12","unmanaged","T7",468.55
"OM_root","Andrews 12","unmanaged","T7",152.97
"OM_ag","Andrews watershed 10","NI","T7",362.39
"OM_root","Andrews watershed 10","NI","T7",38.77
"OM_ag","Appomattox Buckingham S.F., Chestnut Ridge Natural Area","Quercus spp. old-growth forest","T4",172.2
"OM_wood","Appomattox Buckingham S.F., Chestnut Ridge Natural Area","Quercus spp. old-growth forest","Subtropical",20.4
"OM_ag","Arroyo Negro","Undisturbed forest Antonio","T3",64.0657
"OM_ag","Arroyo Negro","Undisturbed forest Jose","T3",55.5352
"OM_ag","Ashu Kyoto","unmanaged","T4",137.43
"OM_root","Ashu Kyoto","unmanaged","T4",21.24
"F_CO2","Austin Cary Management Forest","naturally regenerated slash pine/long leaf pine forest","T5",-96.85408832184
"OM_ag","Bago Mountain swidden cultivation fallows chronosequence","Undisturbed forest","T3",52.8656
"OM_ag","Bajo Calima Concession Chronosequence","primary forest","T1",106.267
"OM_ag","Barama, NW Guyana","mature 'old growth' forest","T1",159.753
"OM_ag","Barro Colorado Island chronosequence","Forest recovery following agricultural abandonment.55 y","T2",63.2463333333333
"OM_ag","Barro Colorado Island chronosequence","Forest recovery following agricultural abandonment.85 y","T2",84.741
"OM_ag","Barro Colorado Island chronosequence","Undisturbed forest.115y","T2",78.678
"OM_ag","Barro Colorado Island chronosequence","Undisturbed forest.400y","T2",85.8846666666667
"OM_ag","Battle Ax 6","unmanaged","T7",235.19
"OM_ag","BDFFP Fazenda Cabo Frio","terra firma 3402 BDF-13","T1",156.0776
"OM_ag","BDFFP Fazenda Dimona","terra firma 2303 BDF-01","T1",177.46025
"OM_ag","BDFFP Fazenda Dimona","unmanaged mature terra firma","T1",167.32
"OM_ag","BDFFP Fazenda Gaviao","terra firma 1101 BDF-03","T1",157.22205
"OM_ag","BDFFP Fazenda Gaviao","terra firma 1102 BDF-04","T1",135.4728
"OM_ag","BDFFP Fazenda Gaviao","terra firma 1103 BDF-05","T1",139.36205
"OM_ag","BDFFP Fazenda Gaviao","terra firma 1109 BDF-08","T1",152.37165
"OM_ag","BDFFP Fazenda Gaviao","terra firma 1201 BDF-06","T1",137.44445
"OM_ag","BDFFP Fazenda Porto Alegre 3304","Mature terra firma","T1",188.47
"OM_ag","BDFFP Fazenda Porto Alegre 3304","terra firma 3304 BDF-14","T1",170.25985
"OM_ag","BDFFP Florestal","terra firma Florestal 1=1301.1 BDF-10","T1",151.13085
"OM_ag","BDFFP Florestal","terra firma Florestal 2=plots 1301.4,5,6 BDF-11","T1",162.0419
"OM_ag","BDFFP Florestal","terra firma Florestal 3=plots 1301.7,8 BDF-12","T1",160.129
"OM_ag","Belt Woods","L. tulipifera old-growth forest","T4",203.9
"OM_wood","Belt Woods","L. tulipifera old-growth forest","Subtropical",49.5
"OM_ag","Big Butte Springs 2","unmanaged","T7",64.86
"OM_ag","Big Butte Springs 6","unmanaged","T7",184.94
"OM_ag","Bionte 1","terra firma BNT-01","T1",165.1251
"OM_ag","Bionte 2","terra firma BNT-02","T1",173.806
"OM_ag","Bionte 4","terra firma BNT-04","T1",152.95915
"OM_wood","Bionte averaged (Chao2009)","terra firma","Tropical",13.959
"OM_ag","Bionte T4 B1 SB3","terra firma BNT-06","T1",173.8107
"OM_ag","Bionte T4 B2 SB1","terra firma BNT-05","T1",148.2897
"OM_ag","Bionte T4 B4 SB4","terra firma BNT-07","T1",166.39175
"OM_ag","Bitagron","mature 'old growth' forest","T1",188.235
"OM_ag","Black Rock Forest Chronosequence","Forest recovery following clear cut.135 y","T9",15.6666666666667
"OM_ag","Black Rock Forest Chronosequence","Forest recovery following clear cut.70 y","T9",15.6666666666667
"OM_ag","Black Rock Forest Chronosequence","Forest recovery following clear cut.90 y","T9",15.6666666666667
"OM_ag","Black Spruce Muskeg, Site 1","Forest recovery following clear-cut","T12",171.315
"OM_root","Black Spruce Muskeg, Site 1","Forest recovery following clear-cut","T12",5.8562
"OM_ag","Black Spruce Muskeg, Site 2","Forest recovery following clear-cut","T12",14.24288
"OM_root","Black Spruce Muskeg, Site 2","Forest recovery following clear-cut","T12",4.888
"OM_ag","Black Spruce-Feather Moss Site","Forest recovery following clear-cut","T12",56.773462
"OM_root","Black Spruce-Feather Moss Site","Forest recovery following clear-cut","T12",24.299
"OM_ag","Blue Mountain 5","unmanaged","T7",460.41
"OM_ag","Blue Mountain 6","unmanaged","T7",652.73
"OM_ag","Bogi 1 (PA)","terra firma BOG-01","T1",129.75055
"OM_ag","Bogi 2 (PB)","terra firma BOG-02","T1",101.85135
"OM_ag","Bonanza Creek/Standard Creek","Mature lowland 'dry' perfmafrost-free spruce forest","T12",4.7
"OM_ag","Bonanza Creek/Standard Creek","Mature lowland 'wet' perfmafrost-free spruce forest","T12",2.9
"OM_ag","Bonanza Creek/Standard Creek","Mature lowland perfmafrost-dominated spruce forest","T12",2.3
"OM_ag","Bonanza Creek/Standard Creek","Mature upland permafrost-free white spruce forest","T12",12.6
"OM_ag","Bonanza FP3","unmanaged floodplain forest","T11",64.97
"OM_root","Bonanza FP3","unmanaged floodplain forest","T11",14.43
"OM_ag","Bonanza FP4","unmanaged floodplain forest","T12",71.93
"OM_root","Bonanza FP4","unmanaged floodplain forest","T12",13.92
"OM_ag","Bonanza FP5","unmanaged floodplain forest","T12",15.26
"OM_root","Bonanza FP5","unmanaged floodplain forest","T12",5.99
"OM_ag","Bonanza UP2","unmanaged upland forest","T11",79.97
"OM_root","Bonanza UP2","unmanaged upland forest","T11",10.42
"OM_ag","Bonanza UP3","unmanaged upland forest","T12",71.71
"OM_root","Bonanza UP3","unmanaged upland forest","T12",8.29
"F_CO2","BOREAS NOBS-1850","NOBS-1850","T12",0.409002601710996
"OM_litter","BOREAS University of California-1850","UCI-1850","Continental",37.2162
"OM_wood","BOREAS University of California-1850","UCI-1850","Continental",11
"F_CO2","BOREAS University of California-1850","UCI-1850","T12",-14.0477245443219
"OM_litter","BOREAS University of California-1930","UCI-1930","Continental",34.6743
"OM_wood","BOREAS University of California-1930","UCI-1930","Continental",8.4
"F_CO2","BOREAS University of California-1930","UCI-1930","T12",-36.8673241004785
"OM_ag","Bornhoved Alder","unmanaged","T8",82
"OM_ag","BR-319_M01_TN_1500","mature 'old growth' forest","T2",73.884
"OM_ag","BR-319_M01_TN_3500","mature 'old growth' forest","T2",96.162
"OM_ag","BR-319_M02_TN_0500","mature 'old growth' forest","T2",119.474
"OM_ag","BR-319_M02_TN_1500","mature 'old growth' forest","T2",141.47
"OM_ag","BR-319_M02_TN_4500","mature 'old growth' forest","T2",194.016
"OM_ag","BR-319_M04_TN_0500","mature 'old growth' forest","T1",131.13
"OM_ag","BR-319_M04_TN_3500","mature 'old growth' forest","T1",118.722
"OM_ag","BR-319_M05_TN_(-)0500","mature 'old growth' forest","T1",135.642
"OM_ag","BR-319_M05_TN_1500","mature 'old growth' forest","T1",164.782
"OM_ag","BR-319_M06_TN_(-)0500","mature 'old growth' forest","T1",173.524
"OM_ag","BR-319_M06_TN_0500","mature 'old growth' forest","T1",219.49
"OM_ag","BR-319_M06_TN_1500","mature 'old growth' forest","T1",152.656
"OM_ag","BR-319_M06_TN_2500","mature 'old growth' forest","T1",169.388
"OM_ag","BR-319_M08_TS_0500","mature 'old growth' forest","T1",196.742
"OM_ag","BR-319_M08_TS_1500","mature 'old growth' forest","T1",113.27
"OM_ag","BR-319_M08_TS_2500","mature 'old growth' forest","T1",171.55
"OM_ag","BR-319_M09_TS_2500","mature 'old growth' forest","T1",121.73
"OM_ag","BR-319_M09_TS_3500","mature 'old growth' forest","T1",157.826
"OM_ag","BR-319_M10_TS_1500","mature 'old growth' forest","T2",181.42
"OM_ag","BR-319_M10_TS_2500","mature 'old growth' forest","T2",160.928
"OM_ag","BR-319_M11_TN_1500","mature 'old growth' forest","T2",206.236
"OM_ag","BR-319_M11_TN_2500","mature 'old growth' forest","T2",133.48
"OM_ag","Brazilian Lower Amazon mature forest","mature forest","T2",82.861
"OM_ag","Breitenbush Hot Springs 5","unmanaged","T7",211.6
"OM_ag","Broad Creek Memorial Reserve","T. canadensis old-growth forest","T5",112.7
"OM_wood","Broad Creek Memorial Reserve","T. canadensis old-growth forest","Subtropical",105.3
"OM_ag","Brownsberg","mature 'old growth' forest","T1",190.585
"OM_ag","Buchanan S.F., Sweet Root Natural Area","Quercus spp. old-growth forest","T4",110.1
"OM_wood","Buchanan S.F., Sweet Root Natural Area","Quercus spp. old-growth forest","Subtropical",34.6
"OM_ag","Cajunuma","unmanaged","T8",53.54
"OM_root","Cajunuma","unmanaged","T8",33.14
"OM_ag","Caledon State Park","L. tulipifera old-growth forest","T4",181.3
"OM_wood","Caledon State Park","L. tulipifera old-growth forest","Subtropical",47.7
"F_CO2","Camp Borden","natural regeneration on abandoned farmland","T9",-14.4855088105978
"OM_ag","Canal Flats mesic 1","unmanaged","T12",103
"OM_root","Canal Flats mesic 1","unmanaged","T12",25.86
"OM_ag","Canal Flats mesic 2","unmanaged","T12",150.28
"OM_root","Canal Flats mesic 2","unmanaged","T12",37.72
"OM_ag","Canal Flats xeric 1","unmanaged","T12",57.31
"OM_root","Canal Flats xeric 1","unmanaged","T12",17.61
"OM_ag","Canal Flats xeric 2","unmanaged","T12",55.92
"OM_root","Canal Flats xeric 2","unmanaged","T12",21.21
"OM_ag","CAP-09_Cape Three Points 9","african tropical mature wet evergreen rainforest","T3",232.65
"OM_ag","CAP-10_Cape Three Points 10","african tropical mature wet evergreen rainforest","T3",123.046
"OM_ag","Caqueta (Poorter)","mature 'old growth' forest","T1",181.937
"OM_ag","Cascade Head 10","unmanaged","T7",451.16
"OM_root","Cascade Head 10","unmanaged","T7",134.13
"OM_ag","Cascade Head 11","unmanaged","T7",562.9
"OM_root","Cascade Head 11","unmanaged","T7",181.63
"OM_ag","Cascade Head 12","unmanaged","T7",538.34
"OM_root","Cascade Head 12","unmanaged","T7",135.96
"F_CO2","Caxiuana","unmanaged","T1",-127.245253865643
"OM_root","Caxiuana","unmanaged","T1",11.68
"OM_ag","Caxiuana 1 CAX-01","terra firma","T2",175.85755
"OM_ag","Caxiuana 2 CAX-02","terra firma","T2",172.0435
"OM_ag","Caxiuana Drought Control CAX-04","largely undisturbed terra firma forest","T1",225.3
"OM_ag","Caxiuana Tower CAX-06","tall primary forest near flux tower site","T1",170.9
"F_CO2","Cedar Bridge fire tower Pine/Scrub Oak stand","gypsy moth defoliation","T4",-28.933147009926
"OM_ag","Cedar River Watershed Douglas Fir Chronosequence","Natural regeneration following logging and fires.73 y","T7",139.261
"OM_ag","Cedar River Watershed Douglas Fir Chronosequence","Natural regeneration following logging and fires.95 y","T7",164.171
"OM_ag","Central Mississippi High quality Lowland","1904 clear-cut recovery","T5",77.785
"OM_ag","Central Mississippi Low quality Upland","1904 clear-cut recovery","T5",115.855
"OM_ag","Central Rondonia Chronosequence Site a","Undisturbed forest","T3",136.77
"OM_ag","Cerro Pelao 1","terra firma CRP-01","T3",100.157
"OM_ag","Cerro Pelao 2","terra firma CRP-02","T3",106.84745
"OM_ag","Chajul","mature 'old growth' forest","T3",105.28
"OM_ag","Chakia","tropical dry deciduous forest","T4",96.54082
"OM_root","Chakia","tropical dry deciduous forest","T4",16.10831
"OM_ag","Chakia Forest 2","tropical dry deciduous forest","T4",20.83698
"OM_root","Chakia Forest 2","tropical dry deciduous forest","T4",4.48662
"OM_ag","Chamela - ReSerBos","mature 'old growth' forest","T3",27.636
"OM_ag","Chamela 1 Lower","unmanaged Mature terra firma","T3",37.6
"OM_ag","Chamela 2 Middle","unmanaged Mature terra firma","T3",40.8
"OM_root","Chamela 2 Middle","unmanaged Mature terra firma","T3",14.88
"OM_ag","Chamela 3 Upper","unmanaged Mature terra firma","T3",37.6
"F_CO2","Changbai Mountains","unmanaged temperate broad-leaved conifer mixed forest","T9",-69.3407105284089
"OM_ag","Charabaru","mature 'old growth' forest","T1",224.895
"OM_ag","Chersky","natural regeneration of Larix cajanderi forest after fire","T13",7.6751
"OM_ag","Chibougamau EOBS","mature black spruce forest","T12",45
"OM_root","Chibougamau EOBS","mature black spruce forest","T12",16
"F_CO2","Chibougamau EOBS","mature black spruce forest","T12",-0.68167100285166
"OM_ag","Chore 1","terra firma CHO-01","T3",56.9499
"OM_ag","Cockscomb","mature 'old growth' forest","T2",71.205
"OM_ag","COMARA","mature 'old growth' forest","T1",185.885
"OM_ag","Corinto","mature 'old growth' forest","T1",102.413
"OM_litter","Cubuy Annex of the Luquillo Experimental Forest","Forest recovery following pasture abandonment","Tropical",4.3
"F_CO2","Cuieiras/C14","unmanaged","T1",-98.3121068557172
"OM_ag","Cuieiras/C14","unmanaged","T1",178.1
"OM_root","Cuieiras/C14","unmanaged","T1",64
"OM_ag","Cumberland S.F., Rock Quarry","Quercus spp. old-growth forest","T4",153.8
"OM_wood","Cumberland S.F., Rock Quarry","Quercus spp. old-growth forest","Subtropical",33
"OM_ag","Cuzco Amazonico 1","terra firma, floodplain, CUZAM1E CUZ-01","T1",125.84955
"OM_ag","Cuzco Amazonico 1","terra firma, floodplain, CUZAM1U CUZ-02","T1",109.41835
"OM_ag","Cuzco Amazonico 2","terra firma, floodplain, CUZAM2E CUZ-03","T1",109.9236
"OM_ag","Cuzco Amazonico 2","terra firma, floodplain, CUZAM2U CUZ-04","T1",131.29685
"OM_ag","Darwin","mature 'old growth' forest","T2",88.36
"OM_ag","Dawson Creek Forest District age sequence- Good site","Forest recovery following natural disturbance.54 y","T11",75.905
"OM_ag","Dawson Creek Forest District age sequence- Good site","Forest recovery following natural disturbance.65 y","T11",124.08
"OM_ag","Dawson Creek Forest District age sequence- Good site","Forest recovery following natural disturbance.95 y","T11",169.059
"OM_ag","Dawson Creek Forest District age sequence- Medium site","Forest recovery following natural disturbance.54 y","T11",62.369
"OM_ag","Dawson Creek Forest District age sequence- Medium site","Forest recovery following natural disturbance.65 y","T11",99.781
"OM_ag","Dawson Creek Forest District age sequence- Medium site","Forest recovery following natural disturbance.95 y","T11",125.819
"OM_ag","Dawson Creek Forest District age sequence- Poor site","Forest recovery following natural disturbance.65 y","T11",88.501
"OM_ag","Dawson Creek Forest District age sequence- Poor site","Forest recovery following natural disturbance.95 y","T11",115.338
"F_CO2","Dinghushan (DHS)","primary forest","T4",-89.9692111930383
"OM_ag","Dinghushan 6","Cryptocarya concinna community","T4",79.521556
"OM_root","Dinghushan 6","Cryptocarya concinna community","T4",18.416762
"OM_ag","Dinghushan 7.broadleaf forest","monsoon evergreen broadleaf forest (MEBF)","T4",143.9939
"OM_root","Dinghushan 7.broadleaf forest","monsoon evergreen broadleaf forest (MEBF)","T4",47.6862
"OM_ag","Dinghushan 7.mixed forest","pine and broadleaf mixed forest (PBMF)",NA,103.0052
"OM_root","Dinghushan 7.mixed forest","pine and broadleaf mixed forest (PBMF)",NA,26.9028
"OM_ag","Doi Inthanon National Park.Mae Klang Luang village","7 uncultivated forest stands","T3",114.116
"F_CO2","Duke Forest-Hardwoods","unmanaged post-agricultural succession 80-100-y-o oak-hickory forest","T4",-63.1681795975872
"OM_ag","Eastern Prealps mixed ash and sycamore forest chronosequence","Forest recovery following agricultural abandonment.50 y","T11",48.41
"OM_litter","Eastern Prealps mixed ash and sycamore forest chronosequence","Forest recovery following agricultural abandonment.50 y","Continental",4.841
"OM_ag","Eastern Prealps mixed ash and sycamore forest chronosequence","Forest recovery following agricultural abandonment.55 y #1","T11",69.09
"OM_litter","Eastern Prealps mixed ash and sycamore forest chronosequence","Forest recovery following agricultural abandonment.55 y #1","Continental",3.29
"OM_ag","Eastern Prealps mixed ash and sycamore forest chronosequence","Forest recovery following agricultural abandonment.55 y #2","T11",46.06
"OM_litter","Eastern Prealps mixed ash and sycamore forest chronosequence","Forest recovery following agricultural abandonment.55 y #2","Continental",3.666
"OM_ag","Eastern Prealps mixed ash and sycamore forest chronosequence","Forest recovery following agricultural abandonment.75 y","T11",122.67
"OM_litter","Eastern Prealps mixed ash and sycamore forest chronosequence","Forest recovery following agricultural abandonment.75 y","Continental",3.29
"OM_ag","Eastern Siberia Larix gmelinii chronosequence","Forest recovery following stand-replacing fire.127 y","T13",56.494
"OM_ag","Eastern Siberia Larix gmelinii chronosequence","Forest recovery following stand-replacing fire.133 y","T13",33.981
"OM_ag","Eastern Siberia Larix gmelinii chronosequence","Forest recovery following stand-replacing fire.136 y","T13",33.699
"OM_ag","Eastern Siberia Larix gmelinii chronosequence","Forest recovery following stand-replacing fire.139 y","T13",40.702
"OM_ag","Eastern Siberia Larix gmelinii chronosequence","Forest recovery following stand-replacing fire.55 y","T13",20.492
"OM_ag","Eastern Siberia Larix gmelinii chronosequence","Undisturbed forest","T13",41.877
"OM_wood","El Dorado/Rio Grande","ELD-01/02 and RIO-01/02","Tropical",15.651
"OM_wood","El Ocote biosphere preserve undisturbed forest","Undisturbed forest","Tropical",16.71
"OM_wood","El Pozo","Tropical Dry Forest recovery following pasture abandonment","Tropical",4.089
"OM_ag","El Pozo","Tropical Dry Forest recovery following pasture abandonment","T3",65.894
"OM_root","El Pozo","Tropical Dry Forest recovery following pasture abandonment","T3",18.5
"OM_ag","El Refugio","Undisturbed forest Camino Pr.","T3",65.1138
"OM_ag","El Refugio","Undisturbed forest Roberto","T3",58.1296
"OM_ag","El Refugio","Undisturbed forest Victor","T3",56.5598
"OM_ag","El Verde secondary forest","mature secondary","T2",37.6
"OM_root","El Verde secondary forest","mature secondary","T2",9.61244
"OM_litter","El Verde secondary forest","mature secondary","Tropical",3.70203333333333
"OM_ag","Emigrant Butte 6","unmanaged","T7",403.24
"OM_wood","Fazenda Vitoria 2","primary forest","Tropical",24.205
"OM_ag","Fireburn","mature 'old growth' forest","T3",122.811
"OM_ag","Tapajos km 67","TAP67","T2",144.35
"OM_wood","Tapajos km 67","TAP67","Tropical",46
"OM_root","Tapajos km 67","TAP67","T2",17.6
"F_CO2","Tapajos km 67","TAP67","T2",26.9032822458788
"OM_ag","FLONA Tapajos Km 83","primary forest","T2",156
"OM_root","FLONA Tapajos Km 83","primary forest","T2",14
"F_CO2","FLONA Tapajos Km 83","primary forest","T2",9.0889467046888
"F_CO2","Fort Dix Army Base Pine/Oak stand","gypsy moth defoliation","T4",7.19541614121197
"OM_ag","Frazer old","unmanaged","T12",78.97
"OM_root","Frazer old","unmanaged","T12",12.38
"OM_ag","French Creek State Park, Mount Pleasure","Quercus spp. old-growth forest","T4",78.8
"OM_wood","French Creek State Park, Mount Pleasure","Quercus spp. old-growth forest","Subtropical",2.3
"OM_ag","FT1 Dudhatoli Abies","Upper West Himalayan Abies pindrow Spach. (Fir)","T10",152.7
"OM_root","FT1 Dudhatoli Abies","Upper West Himalayan Abies pindrow Spach. (Fir)","T10",21.1
"OM_ag","FT11 Gumkhal","Dry sub-deciduous Shorea robusta Gaertn. F. (Sal)","T4",64.3
"OM_root","FT11 Gumkhal","Dry sub-deciduous Shorea robusta Gaertn. F. (Sal)","T4",10.3
"OM_ag","FT12 Laldhang Shorea","Moist Bhabhar Shorea robusta F. (Sal)","T4",139.8
"OM_root","FT12 Laldhang Shorea","Moist Bhabhar Shorea robusta F. (Sal)","T4",19.6
"OM_ag","FT13 Banchuri-Sara","Dry Siwalik Shorea robusta Gaertn. F. (Sal)","T4",71.8
"OM_root","FT13 Banchuri-Sara","Dry Siwalik Shorea robusta Gaertn. F. (Sal)","T4",11.4
"OM_ag","FT14 Kalagarh","Moist Shorea robusta Gaertn. F. (Sal) Savannah","S1",103.8
"OM_root","FT14 Kalagarh","Moist Shorea robusta Gaertn. F. (Sal) Savannah","S1",15.4
"OM_ag","FT15 Nayar","Riverian Shorea robusta Gaertn. F. (Sal)","T4",93.2
"OM_root","FT15 Nayar","Riverian Shorea robusta Gaertn. F. (Sal)","T4",14.1
"OM_ag","FT16 Between Srinagar and Rudraprayag","Anogeissus latifolia Wall. - Spondias pinnata (L. f.) Kurz (Bakli - Ambara)","T9",69.4
"OM_root","FT16 Between Srinagar and Rudraprayag","Anogeissus latifolia Wall. - Spondias pinnata (L. f.) Kurz (Bakli - Ambara)","T9",11
"OM_ag","FT17 Laldhang","Western Gangetic Moist-Mixed Deciduous",NA,84.4
"OM_root","FT17 Laldhang","Western Gangetic Moist-Mixed Deciduous",NA,13
"OM_ag","FT18 Kalalghati","Holoptelea integrifolia Planch (Kanju)","T4",95.8
"OM_root","FT18 Kalalghati","Holoptelea integrifolia Planch (Kanju)","T4",14.4
"OM_ag","FT19 Tarai and Bhabhar","Moist Deciduous Miscellaneous","T4",76.4
"OM_root","FT19 Tarai and Bhabhar","Moist Deciduous Miscellaneous","T4",11.9
"OM_ag","FT2 Dudhatoli Quercus","Quercus floribunda Lindle (Moru Oak)",NA,117.6
"OM_root","FT2 Dudhatoli Quercus","Quercus floribunda Lindle (Moru Oak)",NA,16.9
"OM_ag","FT20 Rishikesh","Riverian Acacia catechu (L. f.) Willd - Dalbergia sissoo Roxb. (Khair - Sissu)","T4",50.7
"OM_root","FT20 Rishikesh","Riverian Acacia catechu (L. f.) Willd - Dalbergia sissoo Roxb. (Khair - Sissu)","T4",8.5
"OM_ag","FT3 Binsar","Moist Cedrus deodara Loud. (Deodar)","T4",217.2
"OM_root","FT3 Binsar","Moist Cedrus deodara Loud. (Deodar)","T4",28.1
"OM_ag","FT4 Thalisain","Himalayan Pinus roxburghii Sarg. (Chir Pine)","T5",119.9
"OM_root","FT4 Thalisain","Himalayan Pinus roxburghii Sarg. (Chir Pine)","T5",17.2
"OM_ag","FT5 Chaurinkhal","Upper West Himalayan Quercus semecarpifolia Sm. (Kharsu Oak)","T4",112.1
"OM_root","FT5 Chaurinkhal","Upper West Himalayan Quercus semecarpifolia Sm. (Kharsu Oak)","T4",16.4
"OM_ag","FT6 Jhandidhar","Himalayan Cupressus torulosa Don. (Cypress)","T5",135.8
"OM_root","FT6 Jhandidhar","Himalayan Cupressus torulosa Don. (Cypress)","T5",19
"OM_ag","FT7 Buvakhal","Lower West Himalayan Quercus leucotrichophoraA. Camus (Banj Oak)","T4",79.7
"OM_root","FT7 Buvakhal","Lower West Himalayan Quercus leucotrichophoraA. Camus (Banj Oak)","T4",12.4
"OM_ag","FT9 Dudhatoli","Moist Temperate Deciduous","T4",57.2
"OM_root","FT9 Dudhatoli","Moist Temperate Deciduous","T4",9.4
"F_CO2","Fujiyoshida forest meteorology research site","naturally regenerated red pine forest","T10",-81.8005203421992
"F_CO2","Fyedorovskoye","unmanaged","T10",52.4886672195778
"OM_ag","Goaster Picea abies age sequence","Forest recovery following disturbance","T7",140.342
"OM_root","Goaster Picea abies age sequence","Forest recovery following disturbance","T7",20.351
"OM_ag","Grants Pass 6","unmanaged","T7",396.55
"OM_ag","Green Ridge S.F., Roby Ridge 1","Quercus spp. old-growth forest","T4",89.2
"OM_wood","Green Ridge S.F., Roby Ridge 1","Quercus spp. old-growth forest","Subtropical",30.9
"OM_ag","Green Ridge S.F., Tunnel Hill","Quercus spp. old-growth forest","T4",115.8
"OM_wood","Green Ridge S.F., Tunnel Hill","Quercus spp. old-growth forest","Subtropical",36.2
"OM_ag","Green Ridge State Forest, Jacob's Road","Quercus spp. old-growth forest","T4",131.5
"OM_wood","Green Ridge State Forest, Jacob's Road","Quercus spp. old-growth forest","Subtropical",29
"OM_ag","Gunpowder Falls State Park","L. tulipifera old-growth forest","T4",202.1
"OM_wood","Gunpowder Falls State Park","L. tulipifera old-growth forest","Subtropical",62.2
"OM_ag","Gunung Mulu (alluvial forest)","lowland tropical rainforest","T1",117.5
"OM_ag","Gunung Mulu (dipterocarp forest)","lowland tropical rainforest","T1",305.5
"OM_ag","Gunung Mulu (heath forest)","lowland tropical rainforest","T1",220.9
"OM_ag","Gunung Mulu (limestone forest)","lowland tropical rainforest","T1",178.6
"OM_ag","Gutianshan National Nature Reserve (GNNR).entire plot","unmanaged entire plot","T4",104.81
