"measurement.ID","sites.sitename","plot.name","stand.age","dominant.life.form","dominant.veg","scientific.name","veg.notes","variable.name","date","date.loc","start.date","start.date.loc","end.date","end.date.loc","mean","n","stat.name","stat","area.sampled","notes","method.ID","allometry_1","allometry_2","min.dbh","depth","covariate_1","coV_1.value","covariate_2","coV_2.value","conflicts","R.group","S.group","D.group","D.precedence","conflict.type","D.precedence.measurement.ID","conflicts.notes","citation.ID","loaded.from","source.notes","measurement.ID.v1","loaded.by","checked.ori.pub","ForC.investigator","required.citations","flag.suspicious"
17391,"Hong Kong CTFS-ForestGEO plot","20-ha forest dynamics plot","55","woody","2TEB",NA,"Secondary oak-laurel forest.  relatively young (50-60 year old)","stand.density","2013",8.5,"2013",8,"2014",8,5860,"20","SD","1056","20","mean and standard deviation (SD) given for each 100 m _ 100 m of each plot",NA,NA,NA,"1",NA,"stem.level","1",NA,NA,"I",NA,NA,NA,NA,NA,NA,NA,"Lutz_2018_giol",NA,NA,NA,"Kristina J. Anderson-Teixeira",1,"Dr. Kristina J. Anderson-Teixeira, Smithsonian Institution, teixeirak@si.edu","Anderson-Teixeira_2018_fagd",0
17393,"Huai Kha Khaeng CTFS-ForestGEO plot","50-ha forest dynamics plot","999","woody","2TB",NA,"Seasonal dry evergreen, mixed deciduous, mixed dipterocarpus","stand.density","2008",8.5,"2008",8,"2010",8,2506,"50","SD","674","50","mean and standard deviation (SD) given for each 100 m _ 100 m of each plot",NA,NA,NA,"1",NA,"stem.level","1",NA,NA,"I",NA,NA,NA,NA,NA,NA,NA,"Lutz_2018_giol",NA,NA,NA,"Kristina J. Anderson-Teixeira",1,"Dr. Kristina J. Anderson-Teixeira, Smithsonian Institution, teixeirak@si.edu","Anderson-Teixeira_2018_fagd",0
17395,"Ilha do Cardoso CTFS-ForestGEO plot","10.2-ha forest dynamics plot","NAC","woody","2TEB",NA,"Tall restinga; coastal ""heath""","stand.density","2009",8,"2009",8,"2009",8,4660,"9","SD","578","10.24","mean and standard deviation (SD) given for each 100 m _ 100 m of each plot",NA,NA,NA,"1",NA,"stem.level","1",NA,NA,"I",NA,NA,NA,NA,NA,NA,NA,"Lutz_2018_giol",NA,NA,NA,"Kristina J. Anderson-Teixeira",1,"Dr. Kristina J. Anderson-Teixeira, Smithsonian Institution, teixeirak@si.edu","Anderson-Teixeira_2018_fagd",0
17397,"Ituri- Edoro 1&2 CTFS-ForestGEO plots","composite of Edoro 1, Edoro 2","999","woody","2TEB",NA,"mixed evergreen forest","stand.density","2007",8,"2007",8,"2007",8,8956,"20","SD","1270","20","mean and standard deviation (SD) given for each 100 m _ 100 m of each plot",NA,NA,NA,"1",NA,"stem.level","1",NA,NA,"I",NA,NA,NA,NA,NA,NA,NA,"Lutz_2018_giol",NA,NA,NA,"Kristina J. Anderson-Teixeira",1,"Dr. Kristina J. Anderson-Teixeira, Smithsonian Institution, teixeirak@si.edu","Anderson-Teixeira_2018_fagd",0
17399,"Ituri- Lenda 1&2 CTFS-ForestGEO plots","composite of Lenda 1, Lenda 2","999","woody","2TEB",NA,"monodominant mbau","stand.density","2007",8,"2007",8,"2007",8,7553,"20","SD","829","20","mean and standard deviation (SD) given for each 100 m _ 100 m of each plot",NA,NA,NA,"1",NA,"stem.level","1",NA,NA,"I",NA,NA,NA,NA,NA,NA,NA,"Lutz_2018_giol",NA,NA,NA,"Kristina J. Anderson-Teixeira",1,"Dr. Kristina J. Anderson-Teixeira, Smithsonian Institution, teixeirak@si.edu","Anderson-Teixeira_2018_fagd",0
17401,"Jianfengling CTFS-ForestGEO plot","60-ha forest dynamics plot","NAC","woody","2TEB",NA,NA,"stand.density","NI",9,NA,NA,NA,NA,6526,"60","SD","993","60","mean and standard deviation (SD) given for each 100 m _ 100 m of each plot",NA,NA,NA,"1",NA,"stem.level","1",NA,NA,"I",NA,NA,NA,NA,NA,NA,NA,"Lutz_2018_giol",NA,NA,NA,"Kristina J. Anderson-Teixeira",1,"Dr. Kristina J. Anderson-Teixeira, Smithsonian Institution, teixeirak@si.edu","Anderson-Teixeira_2018_fagd",0
17403,"Kenting CTFS-ForestGEO plot","9.6-ha forest dynamics plot","NAC","woody","2TEB",NA,"dominated by Bischofia javanica and figs; dominated by Ebenaceae, Euphorbiaceae and Moraceae species","stand.density","2008",8,"2008",8,"2008",8,3760,"8","SD","410","9.6","mean and standard deviation (SD) given for each 100 m _ 100 m of each plot",NA,NA,NA,"1",NA,"stem.level","1",NA,NA,"I",NA,NA,NA,NA,NA,NA,NA,"Lutz_2018_giol",NA,NA,NA,"Kristina J. Anderson-Teixeira",1,"Dr. Kristina J. Anderson-Teixeira, Smithsonian Institution, teixeirak@si.edu","Anderson-Teixeira_2018_fagd",0
17405,"Korup CTFS-ForestGEO plot","50-ha forest dynamics plot","999","woody","2TEB",NA,NA,"stand.density","2009",8.5,"2008",8,"2010",8,7283,"50","SD","920","50","mean and standard deviation (SD) given for each 100 m _ 100 m of each plot",NA,NA,NA,"1",NA,"stem.level","1",NA,NA,"I",NA,NA,NA,NA,NA,NA,NA,"Lutz_2018_giol",NA,NA,NA,"Kristina J. Anderson-Teixeira",1,"Dr. Kristina J. Anderson-Teixeira, Smithsonian Institution, teixeirak@si.edu","Anderson-Teixeira_2018_fagd",0
17407,"La Planada CTFS-ForestGEO plot","25-ha forest dynamics plot","NAC","woody","2TEB",NA,NA,"stand.density","NI",9,NA,NA,NA,NA,4030,"25","SD","243","25","mean and standard deviation (SD) given for each 100 m _ 100 m of each plot",NA,NA,NA,"1",NA,"stem.level","1",NA,NA,"I",NA,NA,NA,NA,NA,NA,NA,"Lutz_2018_giol",NA,NA,NA,"Kristina J. Anderson-Teixeira",1,"Dr. Kristina J. Anderson-Teixeira, Smithsonian Institution, teixeirak@si.edu","Anderson-Teixeira_2018_fagd",0
17409,"Lambir CTFS-ForestGEO plot","52-ha forest dynamics plot","999","woody","2TEB",NA,"mixed dipterocarp","stand.density","2007",8.5,"2007",8,"2010",8,7635,"50","SD","1233","52","mean and standard deviation (SD) given for each 100 m _ 100 m of each plot",NA,NA,NA,"1",NA,"stem.level","1",NA,NA,"I",NA,NA,NA,NA,NA,NA,NA,"Lutz_2018_giol",NA,NA,NA,"Kristina J. Anderson-Teixeira",1,"Dr. Kristina J. Anderson-Teixeira, Smithsonian Institution, teixeirak@si.edu","Anderson-Teixeira_2018_fagd",0
17411,"Laupahoehoe CTFS-ForestGEO plot","4-ha forest dynamics plot","999","woody","2TEB",NA,"The canopy is dominated by koa (Acacia koa) and a (Metrosideros polymorpha, with a well-developed subcanopy of tree ferns (Cibotium species). Sub-canopy tree species include the following commonly observed species: olapa (Cheirodendron trigynum ssp. trigynum), kawa<U+FFFD><U+FFFD>u (Ilex anomala), kolea (Myrsine lessertiana), and pilo (Coprosma rhynchocarpa).","stand.density","2008",8,"2008",8,"2009",8,3925,"4","SD","859","4","mean and standard deviation (SD) given for each 100 m _ 100 m of each plot",NA,NA,NA,"1",NA,"stem.level","1",NA,NA,"I",NA,NA,NA,NA,NA,NA,NA,"Lutz_2018_giol",NA,NA,NA,"Kristina J. Anderson-Teixeira",1,"Dr. Kristina J. Anderson-Teixeira, Smithsonian Institution, teixeirak@si.edu","Anderson-Teixeira_2018_fagd",0
17413,"Lienhuachih CTFS-ForestGEO plot","25-ha forest dynamics plot","NAC","woody","2TEB",NA,"Lauro-Fagaceous Forest( following Su 1984).","stand.density","NI",9,NA,NA,NA,NA,6131,"25","SD","1760","25","mean and standard deviation (SD) given for each 100 m _ 100 m of each plot",NA,NA,NA,"1",NA,"stem.level","1",NA,NA,"I",NA,NA,NA,NA,NA,NA,NA,"Lutz_2018_giol",NA,NA,NA,"Kristina J. Anderson-Teixeira",1,"Dr. Kristina J. Anderson-Teixeira, Smithsonian Institution, teixeirak@si.edu","Anderson-Teixeira_2018_fagd",0
17415,"Lilly Dickey Woods CTFS-ForestGEO plot","25-ha forest dynamics plot","NAC","woody","2TDB",NA,"Oak-hickory dominated with major proportions of chestnut oak (Quercus prinus), white oak (Quercus alba), various other oak species (Quercus spp.) and assorted hickories (Carya spp.), while the understory is mainly sugar maple (Acer saccharum).","stand.density","2012",8,"2012",8,"2012",8,1112,"25","SD","441","25","mean and standard deviation (SD) given for each 100 m _ 100 m of each plot",NA,NA,NA,"1",NA,"stem.level","1",NA,NA,"I",NA,NA,NA,NA,NA,NA,NA,"Lutz_2018_giol",NA,NA,NA,"Kristina J. Anderson-Teixeira",1,"Dr. Kristina J. Anderson-Teixeira, Smithsonian Institution, teixeirak@si.edu","Anderson-Teixeira_2018_fagd",0
17417,"Luquillo CTFS-ForestGEO plot","16-ha forest dynamics plot","77","woody","2TEB",NA,"tabonuco forest; named after the dominant tree (Dacryodes excelsa Vahl; Burseraceae)","stand.density","2012",8,"2012",8,"2012",8,2903,"15","SD","626","16","mean and standard deviation (SD) given for each 100 m _ 100 m of each plot",NA,NA,NA,"1",NA,"stem.level","1",NA,NA,"I",NA,NA,NA,NA,NA,NA,NA,"Lutz_2018_giol",NA,NA,NA,"Kristina J. Anderson-Teixeira",1,"Dr. Kristina J. Anderson-Teixeira, Smithsonian Institution, teixeirak@si.edu","Anderson-Teixeira_2018_fagd",0
17419,"Manaus CTFS-ForestGEO plot","25-ha forest dynamics plot","999","woody","2TEB",NA,NA,"stand.density","NI",9,NA,NA,NA,NA,6234,"25","SD","441","25","mean and standard deviation (SD) given for each 100 m _ 100 m of each plot",NA,NA,NA,"1",NA,"stem.level","1",NA,NA,"I",NA,NA,NA,NA,NA,NA,NA,"Lutz_2018_giol",NA,NA,NA,"Kristina J. Anderson-Teixeira",1,"Dr. Kristina J. Anderson-Teixeira, Smithsonian Institution, teixeirak@si.edu","Anderson-Teixeira_2018_fagd",0
17421,"Michigan Big Woods CTFS-ForestGEO plot","20-ha of 23-ha forest dynamics plot","NAC","woody","2TDB",NA,"mature oak-hickory forest. The canopy is dominated by white oak (Quercus alba), northern red oak (Quercus rubra), black oak (Quercus velutina), shagbark hickory (Carya ovata) and pignut hickory (Carya glabra). The most common understory tree is witch-hazel (Hamamelis virginiana).","stand.density","NI",9,NA,NA,NA,NA,1981,"23","SD","515","20","mean and standard deviation (SD) given for each 100 m _ 100 m of each plot",NA,NA,NA,"1",NA,"stem.level","1",NA,NA,"I",NA,NA,NA,NA,NA,NA,NA,"Lutz_2018_giol",NA,NA,NA,"Kristina J. Anderson-Teixeira",1,"Dr. Kristina J. Anderson-Teixeira, Smithsonian Institution, teixeirak@si.edu","Anderson-Teixeira_2018_fagd",0
17423,"Mpala CTFS-ForestGEO plot","120-ha forest dynamics plot","999","woody+grass","2TDB",NA,"Acacia savanna. The vegetation is dominated by legumes, particularly of the genus Acacia. The abundant trees are Acacia drepanolobium, A. nilotica, A. mellifera. Scattered individuals of Combretum molle and Boscia sp. are also present.","stand.density","2015",8,NA,NA,NA,NA,2963,"120","SD","2902","120","mean and standard deviation (SD) given for each 100 m _ 100 m of each plot",NA,NA,NA,"1",NA,"stem.level","1",NA,NA,"I",NA,NA,NA,NA,NA,NA,NA,"Lutz_2018_giol",NA,NA,NA,"Kristina J. Anderson-Teixeira",1,"Dr. Kristina J. Anderson-Teixeira, Smithsonian Institution, teixeirak@si.edu","Anderson-Teixeira_2018_fagd",0
17425,"Mudumalai CTFS-ForestGEO plot","50-ha forest dynamics plot","NI","woody+grass","2TDB",NA,"Open canopy woodland with grass cover/ seasonal semi-evergreen lowland forest.","stand.density","NI",9,NA,NA,NA,NA,608,"50","SD","210","50","mean and standard deviation (SD) given for each 100 m _ 100 m of each plot",NA,NA,NA,"1",NA,"stem.level","1",NA,NA,"I",NA,NA,NA,NA,NA,NA,NA,"Lutz_2018_giol",NA,NA,NA,"Kristina J. Anderson-Teixeira",1,"Dr. Kristina J. Anderson-Teixeira, Smithsonian Institution, teixeirak@si.edu","Anderson-Teixeira_2018_fagd",0
17427,"Nanjenshan CTFS-ForestGEO plot","5.28 ha of 5.88-ha forest dynamics plot","NAC","woody","2TB",NA,NA,"stand.density","NI",9,NA,NA,NA,NA,12075,"4","SD","2795","5.28","mean and standard deviation (SD) given for each 100 m _ 100 m of each plot",NA,NA,NA,"1",NA,"stem.level","1",NA,NA,"I",NA,NA,NA,NA,NA,NA,NA,"Lutz_2018_giol",NA,NA,NA,"Kristina J. Anderson-Teixeira",1,"Dr. Kristina J. Anderson-Teixeira, Smithsonian Institution, teixeirak@si.edu","Anderson-Teixeira_2018_fagd",0
17429,"Palamanui CTFS-ForestGEO plot","4-ha forest dynamics plot","999","woody","2TEB",NA,"Dominated by lama (Diospyros sandwicensis), alahe<U+FFFD><U+FFFD>e (Psydrax odorata), and sandalwood (Santalum paniculatum), with few invasive plants in the understory.","stand.density","2009",8,"2009",8,"2009",8,8204,"4","SD","1084","4","mean and standard deviation (SD) given for each 100 m _ 100 m of each plot",NA,NA,NA,"1",NA,"stem.level","1",NA,NA,"I",NA,NA,NA,NA,NA,NA,NA,"Lutz_2018_giol",NA,NA,NA,"Kristina J. Anderson-Teixeira",1,"Dr. Kristina J. Anderson-Teixeira, Smithsonian Institution, teixeirak@si.edu","Anderson-Teixeira_2018_fagd",0
17431,"Palanan CTFS-ForestGEO plot","16-ha forest dynamics plot","999","woody","2TEB",NA,"mixed dipterocarp","stand.density","2010",8,"2010",8,"2010",8,4981,"16","SD","489","16","mean and standard deviation (SD) given for each 100 m _ 100 m of each plot",NA,NA,NA,"1",NA,"stem.level","1",NA,NA,"I",NA,NA,NA,NA,NA,NA,NA,"Lutz_2018_giol",NA,NA,NA,"Kristina J. Anderson-Teixeira",1,"Dr. Kristina J. Anderson-Teixeira, Smithsonian Institution, teixeirak@si.edu","Anderson-Teixeira_2018_fagd",0
17433,"Pasoh CTFS-ForestGEO plot","50-ha forest dynamics plot","999","woody","2TEB",NA,"Mixed dipterocarp forest (red meranti-keruing lowland dipterocarp)","stand.density","NI",9,NA,NA,NA,NA,5735,"50","SD","631","50","mean and standard deviation (SD) given for each 100 m _ 100 m of each plot",NA,NA,NA,"1",NA,"stem.level","1",NA,NA,"I",NA,NA,NA,NA,NA,NA,NA,"Lutz_2018_giol",NA,NA,NA,"Kristina J. Anderson-Teixeira",1,"Dr. Kristina J. Anderson-Teixeira, Smithsonian Institution, teixeirak@si.edu","Anderson-Teixeira_2018_fagd",0
17435,"Rabi CTFS-ForestGEO plot","25-ha forest dynamics plot","999","woody","2TEB",NA,NA,"stand.density","2010",8.5,"2010",8,"2012",8,7988,"25","SD","926","25","mean and standard deviation (SD) given for each 100 m _ 100 m of each plot",NA,NA,NA,"1",NA,"stem.level","1",NA,NA,"I",NA,NA,NA,NA,NA,NA,NA,"Lutz_2018_giol",NA,NA,NA,"Kristina J. Anderson-Teixeira",1,"Dr. Kristina J. Anderson-Teixeira, Smithsonian Institution, teixeirak@si.edu","Anderson-Teixeira_2018_fagd",0
17437,"San Lorenzo CTFS-ForestGEO plot","6-ha forest dynamics plot","120","woody","2TEB",NA,NA,"stand.density","1999",8,"1999",8,"1999",8,3662,"5","SD","550","5.96","mean and standard deviation (SD) given for each 100 m _ 100 m of each plot",NA,NA,NA,"1",NA,"stem.level","1",NA,NA,"I",NA,NA,NA,NA,NA,NA,NA,"Lutz_2018_giol",NA,NA,NA,"Kristina J. Anderson-Teixeira",1,"Dr. Kristina J. Anderson-Teixeira, Smithsonian Institution, teixeirak@si.edu","Anderson-Teixeira_2018_fagd",0
17439,"Santa Cruz CTFS-ForestGEO plot","6-ha forest dynamics plot (original plot)","NAC","woody","2TM",NA,"The four dominant species are Douglas Fir (Pseudotsuga menziesii), Coast Live Oak (Quercus agrifolia), Shreve's Oak (Quercus parvula var. shrevei) and Tanoak (Lithocarpus densiflorus); Fagaceae and Pinanceae together comprise three-fourths of all stems.","stand.density","2006",8.5,"2006",8,"2008",8,1944,"6","SD","593","6","mean and standard deviation (SD) given for each 100 m _ 100 m of each plot",NA,NA,NA,"1",NA,"stem.level","1",NA,NA,"I",NA,NA,NA,NA,NA,NA,NA,"Lutz_2018_giol",NA,NA,NA,"Kristina J. Anderson-Teixeira",1,"Dr. Kristina J. Anderson-Teixeira, Smithsonian Institution, teixeirak@si.edu","Anderson-Teixeira_2018_fagd",0
17441,"Scotty Creek CTFS-ForestGEO plot","9.6 ha of 21-ha forest dynamics plot","999","woody","2TEN",NA,NA,"stand.density","2013",8,NA,NA,NA,NA,4136,"24","SD","1407","9.6","mean and standard deviation (SD) given for each 100 m _ 100 m of each plot",NA,NA,NA,"1",NA,"stem.level","1",NA,NA,"I",NA,NA,NA,NA,NA,NA,NA,"Lutz_2018_giol",NA,NA,NA,"Kristina J. Anderson-Teixeira",1,"Dr. Kristina J. Anderson-Teixeira, Smithsonian Institution, teixeirak@si.edu","Anderson-Teixeira_2018_fagd",0
17443,"Smithsonian Conservation Biology Institute CTFS-ForestGEO plot","25.6-ha forest dynamics plot","NAC","woody","2TDB",NA,"Mature secondary Eastern mixed deciduous forest; Liriodendron/Carya/Quercus species dominate. Typical mature secondary eastern mixed deciduous forest, with a canopy dominated by tulip poplar (Liriodendron tulipifera), hickories (Carya spp.), oaks (Quercus spp.) and white ash (Fraxinus americana), and an understory composed mainly of spicebush (Lindera benzoin), paw-paw (Asimina triloba), American hornbeam (Carpinus caroliniana) and eastern redbud (Cercis canadensis). It is classified as Upper Piedmont/Northern Blue Ridge Basic Mesic Hardwood Forest in the U.S. National Vegetation Classification system (USNVC code CEGL006186).","stand.density","2013",8,"2013",8,"2013",8,1850,"8","SD","1637","25.6","mean and standard deviation (SD) given for each 100 m _ 100 m of each plot",NA,NA,NA,"1",NA,"stem.level","1",NA,NA,"I",NA,NA,NA,NA,NA,NA,NA,"Lutz_2018_giol",NA,NA,NA,"Kristina J. Anderson-Teixeira",1,"Dr. Kristina J. Anderson-Teixeira, Smithsonian Institution, teixeirak@si.edu","Anderson-Teixeira_2018_fagd",0
17445,"Smithsonian Environmental Research Center CTFS-ForestGEO plot","16-ha forest dynamics plot","NAC","woody","2TDB",NA,"Mature secondary Eastern mixed deciduous forest. Upland forest bisected with a section of floodplain forests. The upland forest is an example of the tulip poplar association with an overstory dominated by tulip poplar (Liriodendron tulipifera), several oaks (Quercus spp.), beech (Fagus grandifolia), and several hickories (Carya spp.); a mid-canopy of red maple (Acer rubrum) and sour gum (Nyssa sylvatica); and an understory composed of American hornbeam (Carpinus caroliniana), spicebush (Lindera benzoin), and paw-paw (Asimina triloba). The flood plain forest is dominated by ashes (Fraxinus spp.), sycamore (Platanus occidentalis), and American elm (Ulmus americana).","stand.density","2010",8.5,"2009",8,"2011",8,2086,"16","SD","792","16","mean and standard deviation (SD) given for each 100 m _ 100 m of each plot",NA,NA,NA,"1",NA,"stem.level","1",NA,NA,"I",NA,NA,NA,NA,NA,NA,NA,"Lutz_2018_giol",NA,NA,NA,"Kristina J. Anderson-Teixeira",1,"Dr. Kristina J. Anderson-Teixeira, Smithsonian Institution, teixeirak@si.edu","Anderson-Teixeira_2018_fagd",0
17447,"Tyson Research Center CTFS-ForestGEO plot","20.16-ha forest dynamics plot","NAC","woody","2TDB",NA,"Oak-Hickory Forest at the edge of the Missouri Ozarks","stand.density","2013",8,NA,NA,NA,NA,1601,"16","SD","751","20.16","mean and standard deviation (SD) given for each 100 m _ 100 m of each plot",NA,NA,NA,"1",NA,"stem.level","1",NA,NA,"I",NA,NA,NA,NA,NA,NA,NA,"Lutz_2018_giol",NA,NA,NA,"Kristina J. Anderson-Teixeira",1,"Dr. Kristina J. Anderson-Teixeira, Smithsonian Institution, teixeirak@si.edu","Anderson-Teixeira_2018_fagd",0
17449,"Wabikon CTFS-ForestGEO plot","25.2-ha forest dynamics plot","NAC","woody","2TDB",NA,"Mesic northern hardwoods occupy most of the plot, dominated by sugar maple (Acer saccharum), basswood (Tilia americana), white ash (Fraxinus americana), and ironwood/eastern hop hornbeam (Ostrya virginiana).","stand.density","2013",8,"2013",8,"2013",8,1692,"24","SD","1017","25.2","mean and standard deviation (SD) given for each 100 m _ 100 m of each plot",NA,NA,NA,"1",NA,"stem.level","1",NA,NA,"I",NA,NA,NA,NA,NA,NA,NA,"Lutz_2018_giol",NA,NA,NA,"Kristina J. Anderson-Teixeira",1,"Dr. Kristina J. Anderson-Teixeira, Smithsonian Institution, teixeirak@si.edu","Anderson-Teixeira_2018_fagd",0
