"Biome","variable.diagram","mean","std","equation","components.with.sufficient.data","sum.of.components","test","lack.of.closure"
"Temperate broadleaf MATURE","NPP",6.5,1.63,"ANPP + BNPP","ANPP; BNPP",5.06,"equal",0
"Temperate broadleaf MATURE","ANPP",3.36,1.35,"ANPP_foliage + ANPP_woody + ANPP_repro + ANPP_folivory","ANPP_woody; ANPP_repro",1.69,"smaller",0
"Temperate broadleaf MATURE","ANPP_woody",3.36,1.35,"ANPP_branch + ANPP_stem","",NA,NA,NA
"Temperate broadleaf MATURE","ANPP_stem",1.63,0.78,"woody.mortality","",0,"smaller",0
"Temperate broadleaf MATURE","ANPP_branch",0.46,0.09,NA,"",NA,NA,NA
"Temperate broadleaf MATURE","ANPP_foliage",1.83,0.65,NA,"",NA,NA,NA
"Temperate broadleaf MATURE","ANPP_litterfall",2.94,0.95,"ANPP_foliage + ANPP_branch + ANPP_repro","ANPP_foliage; ANPP_branch; ANPP_repro",2.55,"equal",0
"Temperate broadleaf MATURE","ANPP_repro",0.26,0.1,NA,"",NA,NA,NA
"Temperate broadleaf MATURE","ANPP_folivory",0.26,0.1,NA,"",NA,NA,NA
"Temperate broadleaf MATURE","woody.mortality",0.26,0.1,NA,"",NA,NA,NA
"Temperate broadleaf MATURE","delta.agb",0.26,0.1,NA,"",NA,NA,NA
"Temperate broadleaf MATURE","BNPP",1.7,1.27,"BNPP_coarse + BNPP_fine","BNPP_fine",2.31,"equal",0
"Temperate broadleaf MATURE","BNPP_coarse",1.7,1.27,NA,"",NA,NA,NA
"Temperate broadleaf MATURE","BNPP_fine",2.31,1.91,NA,"",NA,NA,NA
"Temperate broadleaf MATURE","R_eco",2.31,1.91,NA,"",NA,NA,NA
"Temperate broadleaf MATURE","R_auto",2.31,1.91,NA,"",NA,NA,NA
"Temperate broadleaf MATURE","R_auto_ag",2.31,1.91,NA,"",NA,NA,NA
"Temperate broadleaf MATURE","R_root",2.31,1.91,NA,"",NA,NA,NA
"Temperate broadleaf MATURE","R_het_soil",2.31,1.91,NA,"",NA,NA,NA
"Temperate broadleaf MATURE","R_soil",2.31,1.91,"R_root + R_het_soil","",NA,NA,NA
"Temperate broadleaf MATURE","biomass",137.75,56.97,"biomass_ag + biomass_root","biomass_ag; biomass_root",156.7,"equal",0
"Temperate broadleaf MATURE","biomass_ag",129.87,118.44,"biomass_foliage + biomass_ag_woody","biomass_foliage; biomass_ag_woody",113.32,"equal",0
"Temperate broadleaf MATURE","biomass_ag_woody",110.53,29.95,NA,"",NA,NA,NA
"Temperate broadleaf MATURE","biomass_foliage",2.79,2.05,NA,"",NA,NA,NA
"Temperate broadleaf MATURE","biomass_root",26.83,13.63,"biomass_root_coarse + biomass_root_fine","biomass_root_coarse; biomass_root_fine",19.02,"equal",0
"Temperate broadleaf MATURE","biomass_root_coarse",16.68,12.96,NA,"",NA,NA,NA
"Temperate broadleaf MATURE","biomass_root_fine",2.34,1.72,NA,"",NA,NA,NA
"Temperate broadleaf MATURE","deadwood",39.92,25.92,"deadwood_standing + deadwood_down","",0,"smaller",0
"Temperate broadleaf MATURE","deadwood_standing",39.92,25.92,NA,"",NA,NA,NA
"Temperate broadleaf MATURE","deadwood_down",39.92,25.92,NA,"",NA,NA,NA
"Temperate broadleaf MATURE","organic.layer",39.92,25.92,NA,"",NA,NA,NA
"Temperate broadleaf YOUNG","NEE",-1.94,2.16,"R_eco - GPP","R_eco; GPP",-2.3,"equal",0
"Temperate broadleaf YOUNG","GPP",14.32,5.12,"NPP + R_auto_ag","NPP",6.4,"smaller",0
"Temperate broadleaf YOUNG","NPP",6.4,2.18,"ANPP + BNPP","ANPP; BNPP",5.69,"equal",0
"Temperate broadleaf YOUNG","ANPP",4.12,1.37,"ANPP_foliage + ANPP_woody + ANPP_repro + ANPP_folivory","ANPP_woody",2.77,"equal",0
"Temperate broadleaf YOUNG","ANPP_woody",4.12,1.37,"ANPP_branch + ANPP_stem","",NA,NA,NA
"Temperate broadleaf YOUNG","ANPP_stem",2.54,1.1,"woody.mortality","",0,"smaller",0
"Temperate broadleaf YOUNG","ANPP_branch",2.54,1.1,NA,"",NA,NA,NA
"Temperate broadleaf YOUNG","ANPP_foliage",1.9,1.02,NA,"",NA,NA,NA
"Temperate broadleaf YOUNG","ANPP_litterfall",1.9,1.02,"ANPP_foliage + ANPP_branch + ANPP_repro","",NA,NA,NA
"Temperate broadleaf YOUNG","ANPP_repro",1.9,1.02,NA,"",NA,NA,NA
"Temperate broadleaf YOUNG","ANPP_folivory",1.9,1.02,NA,"",NA,NA,NA
"Temperate broadleaf YOUNG","woody.mortality",1.9,1.02,NA,"",NA,NA,NA
"Temperate broadleaf YOUNG","delta.agb",1.9,1.02,NA,"",NA,NA,NA
"Temperate broadleaf YOUNG","BNPP",1.57,0.73,"BNPP_coarse + BNPP_fine","",0,"smaller",0
"Temperate broadleaf YOUNG","BNPP_coarse",1.57,0.73,NA,"",NA,NA,NA
"Temperate broadleaf YOUNG","BNPP_fine",1.57,0.73,NA,"",NA,NA,NA
"Temperate broadleaf YOUNG","R_eco",12.02,3.55,NA,"",NA,NA,NA
"Temperate broadleaf YOUNG","R_auto",12.02,3.55,NA,"",NA,NA,NA
"Temperate broadleaf YOUNG","R_auto_ag",12.02,3.55,NA,"",NA,NA,NA
"Temperate broadleaf YOUNG","R_root",12.02,3.55,NA,"",NA,NA,NA
"Temperate broadleaf YOUNG","R_het_soil",12.02,3.55,NA,"",NA,NA,NA
"Temperate broadleaf YOUNG","R_soil",8.99,3.43,"R_root + R_het_soil","",0,"smaller",0
"Temperate broadleaf YOUNG","biomass",114.85,58.15,"biomass_ag + biomass_root","biomass_ag; biomass_root",100.31,"equal",0
"Temperate broadleaf YOUNG","biomass_ag",76.13,48.55,"biomass_foliage + biomass_ag_woody","biomass_foliage; biomass_ag_woody",67.39,"equal",0
"Temperate broadleaf YOUNG","biomass_ag_woody",65.4,50.13,NA,"",NA,NA,NA
"Temperate broadleaf YOUNG","biomass_foliage",1.99,1.51,NA,"",NA,NA,NA
"Temperate broadleaf YOUNG","biomass_root",24.18,10.89,"biomass_root_coarse + biomass_root_fine","biomass_root_coarse",11.8,"smaller",0
"Temperate broadleaf YOUNG","biomass_root_coarse",11.8,11.8,NA,"",NA,NA,NA
"Temperate broadleaf YOUNG","biomass_root_fine",11.8,11.8,NA,"",NA,NA,NA
"Temperate broadleaf YOUNG","deadwood",11.8,11.8,"deadwood_standing + deadwood_down","",NA,NA,NA
"Temperate broadleaf YOUNG","deadwood_standing",11.8,11.8,NA,"",NA,NA,NA
"Temperate broadleaf YOUNG","deadwood_down",11.8,11.8,NA,"",NA,NA,NA
"Temperate broadleaf YOUNG","organic.layer",5.83,3.41,NA,"",NA,NA,NA
"Temperate conifer MATURE","NEE",5.83,3.41,"R_eco - GPP","",NA,NA,NA
"Temperate conifer MATURE","GPP",14.1,5.78,"NPP + R_auto_ag","",0,"smaller",0
"Temperate conifer MATURE","NPP",14.1,5.78,"ANPP + BNPP","",NA,NA,NA
"Temperate conifer MATURE","ANPP",3.11,1.24,"ANPP_foliage + ANPP_woody + ANPP_repro + ANPP_folivory","ANPP_foliage; ANPP_woody",4.14,"equal",0
"Temperate conifer MATURE","ANPP_woody",2.56,0.98,"ANPP_branch + ANPP_stem","ANPP_branch; ANPP_stem",2.18,"equal",0
"Temperate conifer MATURE","ANPP_stem",1.88,0.96,"woody.mortality","",0,"smaller",0
"Temperate conifer MATURE","ANPP_branch",0.3,0.17,NA,"",NA,NA,NA
"Temperate conifer MATURE","ANPP_foliage",1.58,0.73,NA,"",NA,NA,NA
"Temperate conifer MATURE","ANPP_litterfall",1.58,0.73,"ANPP_foliage + ANPP_branch + ANPP_repro","",NA,NA,NA
"Temperate conifer MATURE","ANPP_repro",1.58,0.73,NA,"",NA,NA,NA
"Temperate conifer MATURE","ANPP_folivory",1.58,0.73,NA,"",NA,NA,NA
"Temperate conifer MATURE","woody.mortality",1.58,0.73,NA,"",NA,NA,NA
"Temperate conifer MATURE","delta.agb",1.58,0.73,NA,"",NA,NA,NA
"Temperate conifer MATURE","BNPP",1.58,0.73,"BNPP_coarse + BNPP_fine","",NA,NA,NA
"Temperate conifer MATURE","BNPP_coarse",0.85,0.47,NA,"",NA,NA,NA
"Temperate conifer MATURE","BNPP_fine",0.85,0.47,NA,"",NA,NA,NA
"Temperate conifer MATURE","R_eco",0.85,0.47,NA,"",NA,NA,NA
"Temperate conifer MATURE","R_auto",0.85,0.47,NA,"",NA,NA,NA
"Temperate conifer MATURE","R_auto_ag",0.85,0.47,NA,"",NA,NA,NA
"Temperate conifer MATURE","R_root",0.85,0.47,NA,"",NA,NA,NA
"Temperate conifer MATURE","R_het_soil",0.85,0.47,NA,"",NA,NA,NA
"Temperate conifer MATURE","R_soil",0.85,0.47,"R_root + R_het_soil","",NA,NA,NA
"Temperate conifer MATURE","biomass",148,93.89,"biomass_ag + biomass_root","biomass_ag; biomass_root",174.31,"equal",0
"Temperate conifer MATURE","biomass_ag",148.61,129.39,"biomass_foliage + biomass_ag_woody","biomass_foliage; biomass_ag_woody",328.31,"greater",1
"Temperate conifer MATURE","biomass_ag_woody",319.79,167.75,NA,"",NA,NA,NA
"Temperate conifer MATURE","biomass_foliage",8.52,3.14,NA,"",NA,NA,NA
"Temperate conifer MATURE","biomass_root",25.7,22.57,"biomass_root_coarse + biomass_root_fine","biomass_root_coarse",94.79,"greater",1
"Temperate conifer MATURE","biomass_root_coarse",94.79,58.35,NA,"",NA,NA,NA
"Temperate conifer MATURE","biomass_root_fine",94.79,58.35,NA,"",NA,NA,NA
"Temperate conifer MATURE","deadwood",84.38,35.03,"deadwood_standing + deadwood_down","deadwood_standing; deadwood_down",81.43,"equal",0
"Temperate conifer MATURE","deadwood_standing",23.66,15.42,NA,"",NA,NA,NA
"Temperate conifer MATURE","deadwood_down",57.77,28.99,NA,"",NA,NA,NA
"Temperate conifer MATURE","organic.layer",16.18,4.72,NA,"",NA,NA,NA
"Temperate conifer YOUNG","NEE",-1.63,2.58,"R_eco - GPP","R_eco; GPP",-3.65,"equal",0
"Temperate conifer YOUNG","GPP",15.01,5.78,"NPP + R_auto_ag","",0,"smaller",0
"Temperate conifer YOUNG","NPP",15.01,5.78,"ANPP + BNPP","",NA,NA,NA
"Temperate conifer YOUNG","ANPP",3.46,2.04,"ANPP_foliage + ANPP_woody + ANPP_repro + ANPP_folivory","ANPP_foliage; ANPP_woody",3.96,"equal",0
"Temperate conifer YOUNG","ANPP_woody",2.69,1.52,"ANPP_branch + ANPP_stem","ANPP_branch; ANPP_stem",2.64,"equal",0
"Temperate conifer YOUNG","ANPP_stem",2.24,1.31,"woody.mortality","",0,"smaller",0
"Temperate conifer YOUNG","ANPP_branch",0.4,0.38,NA,"",NA,NA,NA
"Temperate conifer YOUNG","ANPP_foliage",1.27,0.64,NA,"",NA,NA,NA
"Temperate conifer YOUNG","ANPP_litterfall",1.27,0.64,"ANPP_foliage + ANPP_branch + ANPP_repro","",NA,NA,NA
"Temperate conifer YOUNG","ANPP_repro",1.27,0.64,NA,"",NA,NA,NA
"Temperate conifer YOUNG","ANPP_folivory",1.27,0.64,NA,"",NA,NA,NA
"Temperate conifer YOUNG","woody.mortality",1.27,0.64,NA,"",NA,NA,NA
"Temperate conifer YOUNG","delta.agb",1.27,0.64,NA,"",NA,NA,NA
"Temperate conifer YOUNG","BNPP",1.27,0.64,"BNPP_coarse + BNPP_fine","",NA,NA,NA
"Temperate conifer YOUNG","BNPP_coarse",0.74,0.45,NA,"",NA,NA,NA
"Temperate conifer YOUNG","BNPP_fine",0.74,0.45,NA,"",NA,NA,NA
"Temperate conifer YOUNG","R_eco",11.36,3.2,NA,"",NA,NA,NA
"Temperate conifer YOUNG","R_auto",11.36,3.2,NA,"",NA,NA,NA
"Temperate conifer YOUNG","R_auto_ag",11.36,3.2,NA,"",NA,NA,NA
"Temperate conifer YOUNG","R_root",11.36,3.2,NA,"",NA,NA,NA
"Temperate conifer YOUNG","R_het_soil",3.89,1.06,NA,"",NA,NA,NA
"Temperate conifer YOUNG","R_soil",10.64,5.61,"R_root + R_het_soil","R_het_soil",3.89,"smaller",0
"Temperate conifer YOUNG","biomass",92.01,68.44,"biomass_ag + biomass_root","biomass_ag; biomass_root",95.88,"equal",0
"Temperate conifer YOUNG","biomass_ag",77.81,74.53,"biomass_foliage + biomass_ag_woody","biomass_foliage; biomass_ag_woody",81.08,"equal",0
"Temperate conifer YOUNG","biomass_ag_woody",76.33,107.03,NA,"",NA,NA,NA
"Temperate conifer YOUNG","biomass_foliage",4.75,3.25,NA,"",NA,NA,NA
"Temperate conifer YOUNG","biomass_root",18.07,16.38,"biomass_root_coarse + biomass_root_fine","biomass_root_coarse; biomass_root_fine",26.36,"equal",0
"Temperate conifer YOUNG","biomass_root_coarse",23.79,35.34,NA,"",NA,NA,NA
"Temperate conifer YOUNG","biomass_root_fine",2.57,2.55,NA,"",NA,NA,NA
"Temperate conifer YOUNG","deadwood",2.57,2.55,"deadwood_standing + deadwood_down","",NA,NA,NA
"Temperate conifer YOUNG","deadwood_standing",2.57,2.55,NA,"",NA,NA,NA
"Temperate conifer YOUNG","deadwood_down",2.57,2.55,NA,"",NA,NA,NA
"Temperate conifer YOUNG","organic.layer",2.57,2.55,NA,"",NA,NA,NA
"Boreal conifer MATURE","NEE",2.57,2.55,"R_eco - GPP","",NA,NA,NA
"Boreal conifer MATURE","GPP",7.05,2.48,"NPP + R_auto_ag","NPP",2.59,"smaller",0
"Boreal conifer MATURE","NPP",2.59,0.67,"ANPP + BNPP","ANPP; BNPP",2.31,"equal",0
"Boreal conifer MATURE","ANPP",1.47,0.61,"ANPP_foliage + ANPP_woody + ANPP_repro + ANPP_folivory","ANPP_woody",0.92,"equal",0
"Boreal conifer MATURE","ANPP_woody",1.47,0.61,"ANPP_branch + ANPP_stem","",NA,NA,NA
"Boreal conifer MATURE","ANPP_stem",0.6,0.35,"woody.mortality","",0,"smaller",0
"Boreal conifer MATURE","ANPP_branch",0.6,0.35,NA,"",NA,NA,NA
"Boreal conifer MATURE","ANPP_foliage",0.57,0.26,NA,"",NA,NA,NA
"Boreal conifer MATURE","ANPP_litterfall",0.57,0.26,"ANPP_foliage + ANPP_branch + ANPP_repro","",NA,NA,NA
"Boreal conifer MATURE","ANPP_repro",0.57,0.26,NA,"",NA,NA,NA
"Boreal conifer MATURE","ANPP_folivory",0.57,0.26,NA,"",NA,NA,NA
"Boreal conifer MATURE","woody.mortality",0.57,0.26,NA,"",NA,NA,NA
"Boreal conifer MATURE","delta.agb",0.57,0.26,NA,"",NA,NA,NA
"Boreal conifer MATURE","BNPP",0.84,0.61,"BNPP_coarse + BNPP_fine","",0,"smaller",0
"Boreal conifer MATURE","BNPP_coarse",0.84,0.61,NA,"",NA,NA,NA
"Boreal conifer MATURE","BNPP_fine",0.84,0.61,NA,"",NA,NA,NA
"Boreal conifer MATURE","R_eco",0.84,0.61,NA,"",NA,NA,NA
"Boreal conifer MATURE","R_auto",0.84,0.61,NA,"",NA,NA,NA
"Boreal conifer MATURE","R_auto_ag",0.84,0.61,NA,"",NA,NA,NA
"Boreal conifer MATURE","R_root",0.84,0.61,NA,"",NA,NA,NA
"Boreal conifer MATURE","R_het_soil",0.84,0.61,NA,"",NA,NA,NA
"Boreal conifer MATURE","R_soil",0.84,0.61,"R_root + R_het_soil","",NA,NA,NA
"Boreal conifer MATURE","biomass",101.4,60.46,"biomass_ag + biomass_root","biomass_ag; biomass_root",88.22,"equal",0
"Boreal conifer MATURE","biomass_ag",69.9,59.22,"biomass_foliage + biomass_ag_woody","biomass_foliage; biomass_ag_woody",51.24,"equal",0
"Boreal conifer MATURE","biomass_ag_woody",48.09,29.95,NA,"",NA,NA,NA
"Boreal conifer MATURE","biomass_foliage",3.15,1.68,NA,"",NA,NA,NA
"Boreal conifer MATURE","biomass_root",18.32,6.48,"biomass_root_coarse + biomass_root_fine","biomass_root_coarse",12.15,"equal",0
"Boreal conifer MATURE","biomass_root_coarse",12.15,7.35,NA,"",NA,NA,NA
"Boreal conifer MATURE","biomass_root_fine",12.15,7.35,NA,"",NA,NA,NA
"Boreal conifer MATURE","deadwood",12.15,7.35,"deadwood_standing + deadwood_down","",NA,NA,NA
"Boreal conifer MATURE","deadwood_standing",12.15,7.35,NA,"",NA,NA,NA
"Boreal conifer MATURE","deadwood_down",12.15,7.35,NA,"",NA,NA,NA
"Boreal conifer MATURE","organic.layer",12.15,7.35,NA,"",NA,NA,NA
"Boreal conifer YOUNG","NEE",-0.45,0.87,"R_eco - GPP","R_eco; GPP",-1.21,"equal",0
"Boreal conifer YOUNG","GPP",7.19,1.62,"NPP + R_auto_ag","NPP",3.75,"smaller",0
"Boreal conifer YOUNG","NPP",3.75,1.84,"ANPP + BNPP","ANPP; BNPP",3.87,"equal",0
"Boreal conifer YOUNG","ANPP",2.43,1.22,"ANPP_foliage + ANPP_woody + ANPP_repro + ANPP_folivory","ANPP_foliage; ANPP_woody",2.31,"equal",0
"Boreal conifer YOUNG","ANPP_woody",1.66,1.02,"ANPP_branch + ANPP_stem","",0,"smaller",0
"Boreal conifer YOUNG","ANPP_stem",1.66,1.02,"woody.mortality","",NA,NA,NA
"Boreal conifer YOUNG","ANPP_branch",1.66,1.02,NA,"",NA,NA,NA
"Boreal conifer YOUNG","ANPP_foliage",0.65,0.26,NA,"",NA,NA,NA
"Boreal conifer YOUNG","ANPP_litterfall",0.65,0.26,"ANPP_foliage + ANPP_branch + ANPP_repro","",NA,NA,NA
"Boreal conifer YOUNG","ANPP_repro",0.65,0.26,NA,"",NA,NA,NA
"Boreal conifer YOUNG","ANPP_folivory",0.65,0.26,NA,"",NA,NA,NA
"Boreal conifer YOUNG","woody.mortality",0.65,0.26,NA,"",NA,NA,NA
"Boreal conifer YOUNG","delta.agb",0.65,0.26,NA,"",NA,NA,NA
"Boreal conifer YOUNG","BNPP",1.44,1.28,"BNPP_coarse + BNPP_fine","",0,"smaller",0
"Boreal conifer YOUNG","BNPP_coarse",1.44,1.28,NA,"",NA,NA,NA
"Boreal conifer YOUNG","BNPP_fine",1.44,1.28,NA,"",NA,NA,NA
"Boreal conifer YOUNG","R_eco",5.98,1.84,NA,"",NA,NA,NA
"Boreal conifer YOUNG","R_auto",5.98,1.84,NA,"",NA,NA,NA
"Boreal conifer YOUNG","R_auto_ag",5.98,1.84,NA,"",NA,NA,NA
"Boreal conifer YOUNG","R_root",5.98,1.84,NA,"",NA,NA,NA
"Boreal conifer YOUNG","R_het_soil",5.98,1.84,NA,"",NA,NA,NA
"Boreal conifer YOUNG","R_soil",5.98,1.84,"R_root + R_het_soil","",NA,NA,NA
"Boreal conifer YOUNG","biomass",59.9,34.42,"biomass_ag + biomass_root","biomass_ag; biomass_root",65.4,"equal",0
"Boreal conifer YOUNG","biomass_ag",52.17,24.69,"biomass_foliage + biomass_ag_woody","biomass_foliage; biomass_ag_woody",38.28,"equal",0
"Boreal conifer YOUNG","biomass_ag_woody",35.98,34.32,NA,"",NA,NA,NA
"Boreal conifer YOUNG","biomass_foliage",2.3,1.18,NA,"",NA,NA,NA
"Boreal conifer YOUNG","biomass_root",13.23,6.6,"biomass_root_coarse + biomass_root_fine","",0,"smaller",0
"Boreal conifer YOUNG","biomass_root_coarse",13.23,6.6,NA,"",NA,NA,NA
"Boreal conifer YOUNG","biomass_root_fine",13.23,6.6,NA,"",NA,NA,NA
"Boreal conifer YOUNG","deadwood",13.23,6.6,"deadwood_standing + deadwood_down","",NA,NA,NA
"Boreal conifer YOUNG","deadwood_standing",13.23,6.6,NA,"",NA,NA,NA
"Boreal conifer YOUNG","deadwood_down",13.23,6.6,NA,"",NA,NA,NA
"Boreal conifer YOUNG","organic.layer",13.23,6.6,NA,"",NA,NA,NA
