measurementID,sites.sitename,plot.name,stand.age,dominantveg,scientificname,acceptedsymbol,Regentype,Managementtype,variables.name,method_id,date,dateloc,start_date,start_dateloc,end_date,end_dateloc,mean,n,statname,stat,notes,covariate_1,coV1_value,coV1_units,covariate_2,coV2_value,coV2_units,covariate_3,coV3_value,coV3_units,dupcode,dupnum,citations.doi,citations.author,citations.year,citations.title,loaded_from,measurementID.v1,ForC_investigator
23,Agrovila Grande Esperanca.BR-230,secondary forest established in abandoned pasture,2,2TEB,NA,2TEB,nodata,O,Biomass_ag,NAC,NRA,9,NRA,9,NRA,9,12,NRA,NRA,NRA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,R,3,"http://philip.inpa.gov.br/publ_livres/Teses e dissertacoes orientadas/Libera%C3%A7%C3%A3o de Carbono e mudan%C3%A7as... (TESE de Mestrado da Walba M Guimar%C3%A3es, 1993).pdf",Guimaraes,1993,"Liberacao de carbono e mudancas nos estoques dos nutrientes contidos na biomassa aerea e no solo resultante de queimadas de florestas secundarias em areas de pastagens abandonadas, em Altamira, Para",Anderson et al. 2006,92,"Dr. Kristina J. Anderson-Teixeira, Smithsonian Institution, teixeirak@si.edu"
24,Agrovila Grande Esperanca.BR-230,secondary forest established in abandoned pasture,3,2TEB,NA,2TEB,nodata,O,Biomass_ag,NAC,NRA,9,NRA,9,NRA,9,30,NRA,NRA,NRA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,"http://philip.inpa.gov.br/publ_livres/Teses e dissertacoes orientadas/Libera%C3%A7%C3%A3o de Carbono e mudan%C3%A7as... (TESE de Mestrado da Walba M Guimar%C3%A3es, 1993).pdf",Guimaraes,1993,"Liberacao de carbono e mudancas nos estoques dos nutrientes contidos na biomassa aerea e no solo resultante de queimadas de florestas secundarias em areas de pastagens abandonadas, em Altamira, Para",Anderson et al. 2006,93,"Dr. Kristina J. Anderson-Teixeira, Smithsonian Institution, teixeirak@si.edu"
25,Agrovila Grande Esperanca.BR-230,secondary forest established in abandoned pasture,4,2TEB,NA,2TEB,nodata,O,Biomass_ag,NAC,NRA,9,NRA,9,NRA,9,22,NRA,NRA,NRA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,R,1,"http://philip.inpa.gov.br/publ_livres/Teses e dissertacoes orientadas/Libera%C3%A7%C3%A3o de Carbono e mudan%C3%A7as... (TESE de Mestrado da Walba M Guimar%C3%A3es, 1993).pdf",Guimaraes,1993,"Liberacao de carbono e mudancas nos estoques dos nutrientes contidos na biomassa aerea e no solo resultante de queimadas de florestas secundarias em areas de pastagens abandonadas, em Altamira, Para",Anderson et al. 2006,94,"Dr. Kristina J. Anderson-Teixeira, Smithsonian Institution, teixeirak@si.edu"
26,Agrovila Grande Esperanca.BR-230,secondary forest established in abandoned pasture,4,2TEB,NA,2TEB,nodata,O,Biomass_ag,NAC,NRA,9,NRA,9,NRA,9,22,NRA,NRA,NRA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,R,2,"http://philip.inpa.gov.br/publ_livres/Teses e dissertacoes orientadas/Libera%C3%A7%C3%A3o de Carbono e mudan%C3%A7as... (TESE de Mestrado da Walba M Guimar%C3%A3es, 1993).pdf",Guimaraes,1993,"Liberacao de carbono e mudancas nos estoques dos nutrientes contidos na biomassa aerea e no solo resultante de queimadas de florestas secundarias em areas de pastagens abandonadas, em Altamira, Para",Anderson et al. 2006,95,"Dr. Kristina J. Anderson-Teixeira, Smithsonian Institution, teixeirak@si.edu"
27,Agrovila Grande Esperanca.BR-230,secondary forest established in abandoned pasture,4,2TEB,NA,2TEB,nodata,O,Biomass_ag,NAC,NRA,9,NRA,9,NRA,9,19,NRA,NRA,NRA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,R,3,"http://philip.inpa.gov.br/publ_livres/Teses e dissertacoes orientadas/Libera%C3%A7%C3%A3o de Carbono e mudan%C3%A7as... (TESE de Mestrado da Walba M Guimar%C3%A3es, 1993).pdf",Guimaraes,1993,"Liberacao de carbono e mudancas nos estoques dos nutrientes contidos na biomassa aerea e no solo resultante de queimadas de florestas secundarias em areas de pastagens abandonadas, em Altamira, Para",Anderson et al. 2006,96,"Dr. Kristina J. Anderson-Teixeira, Smithsonian Institution, teixeirak@si.edu"
28,Agrovila Grande Esperanca.BR-230,secondary forest established in abandoned pasture,6,2TEB,NA,2TEB,nodata,O,Biomass_ag,NAC,NRA,9,NRA,9,NRA,9,29,NRA,NRA,NRA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,R,1,"http://philip.inpa.gov.br/publ_livres/Teses e dissertacoes orientadas/Libera%C3%A7%C3%A3o de Carbono e mudan%C3%A7as... (TESE de Mestrado da Walba M Guimar%C3%A3es, 1993).pdf",Guimaraes,1993,"Liberacao de carbono e mudancas nos estoques dos nutrientes contidos na biomassa aerea e no solo resultante de queimadas de florestas secundarias em areas de pastagens abandonadas, em Altamira, Para",Anderson et al. 2006,97,"Dr. Kristina J. Anderson-Teixeira, Smithsonian Institution, teixeirak@si.edu"
29,Agrovila Grande Esperanca.BR-230,secondary forest established in abandoned pasture,6,2TEB,NA,2TEB,nodata,O,Biomass_ag,NAC,NRA,9,NRA,9,NRA,9,24,NRA,NRA,NRA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,R,2,"http://philip.inpa.gov.br/publ_livres/Teses e dissertacoes orientadas/Libera%C3%A7%C3%A3o de Carbono e mudan%C3%A7as... (TESE de Mestrado da Walba M Guimar%C3%A3es, 1993).pdf",Guimaraes,1993,"Liberacao de carbono e mudancas nos estoques dos nutrientes contidos na biomassa aerea e no solo resultante de queimadas de florestas secundarias em areas de pastagens abandonadas, em Altamira, Para",Anderson et al. 2006,98,"Dr. Kristina J. Anderson-Teixeira, Smithsonian Institution, teixeirak@si.edu"
30,Agrovila Grande Esperanca.BR-230,secondary forest established in abandoned pasture,7,2TEB,NA,2TEB,nodata,O,Biomass_ag,NAC,NRA,9,NRA,9,NRA,9,53,NRA,NRA,NRA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,"http://philip.inpa.gov.br/publ_livres/Teses e dissertacoes orientadas/Libera%C3%A7%C3%A3o de Carbono e mudan%C3%A7as... (TESE de Mestrado da Walba M Guimar%C3%A3es, 1993).pdf",Guimaraes,1993,"Liberacao de carbono e mudancas nos estoques dos nutrientes contidos na biomassa aerea e no solo resultante de queimadas de florestas secundarias em areas de pastagens abandonadas, em Altamira, Para",Anderson et al. 2006,99,"Dr. Kristina J. Anderson-Teixeira, Smithsonian Institution, teixeirak@si.edu"
31,Agua Pudre plot E AGP-01,UM primary forest,999,2TEB,NA,2TEB,nodata,UM,ANPP_1_C,NAC,NA,9,2004.01.01,8,2006.01.01,8,7.3,NI,NI,NI,NA,allometric_equation,1.2,NA,NA,NA,NA,NA,NA,NA,0,0,10.5194/bg-6-2759-2009,Aragao,2009,Above- and below-ground net primary productivity across ten Amazonian forests on contrasting soils,Luyssaert et al. 2007: database v3.3,3123,"Dr. Kristina J. Anderson-Teixeira, Smithsonian Institution, teixeirak@si.edu"
32,Agua Pudre plot E AGP-01,UM primary forest,999,2TEB,NA,2TEB,nodata,UM,ANPP_2_C,NAC,NA,9,2004.01.01,8,2006.01.01,8,8.3,NI,NI,NI,NA,allometric_equation,1.2,NA,NA,NA,NA,NA,NA,NA,0,0,10.5194/bg-6-2759-2009,Aragao,2009,Above- and below-ground net primary productivity across ten Amazonian forests on contrasting soils,Luyssaert et al. 2007: database v3.3,3124,"Dr. Kristina J. Anderson-Teixeira, Smithsonian Institution, teixeirak@si.edu"
33,Agua Pudre plot E AGP-01,UM primary forest,999,2TEB,NA,2TEB,nodata,UM,ANPP_branch_C,NAC,NA,9,2004.01.01,8,2006.01.01,8,1,NI,NI,NI,NA,allometric_equation,1.2,NA,NA,NA,NA,NA,NA,NA,0,0,10.5194/bg-6-2759-2009,Aragao,2009,Above- and below-ground net primary productivity across ten Amazonian forests on contrasting soils,Luyssaert et al. 2007: database v3.3,3125,"Dr. Kristina J. Anderson-Teixeira, Smithsonian Institution, teixeirak@si.edu"
34,Agua Pudre plot E AGP-01,UM primary forest,999,2TEB,NA,2TEB,nodata,UM,ANPP_foliage_C,NAC,NA,9,2004.01.01,8,2006.01.01,8,3.9,NI,NI,NI,NA,allometric_equation,1.2,NA,NA,NA,NA,NA,NA,NA,0,0,10.5194/bg-6-2759-2009,Aragao,2009,Above- and below-ground net primary productivity across ten Amazonian forests on contrasting soils,Luyssaert et al. 2007: database v3.3,3126,"Dr. Kristina J. Anderson-Teixeira, Smithsonian Institution, teixeirak@si.edu"
35,Agua Pudre plot E AGP-01,UM primary forest,999,2TEB,NA,2TEB,nodata,UM,ANPP_stem_C,NAC,NA,9,2004.01.01,8,2006.01.01,8,3.4,NI,NI,NI,NA,allometric_equation,1.2,NA,NA,NA,NA,NA,NA,NA,0,0,10.5194/bg-6-2759-2009,Aragao,2009,Above- and below-ground net primary productivity across ten Amazonian forests on contrasting soils,Luyssaert et al. 2007: database v3.3,3127,"Dr. Kristina J. Anderson-Teixeira, Smithsonian Institution, teixeirak@si.edu"
36,Agua Pudre plot E AGP-01,UM primary forest,999,2TEB,NA,2TEB,nodata,UM,ANPP_woody_C,NAC,NA,9,2004.01.01,8,2006.01.01,8,4.4,NI,NI,NI,NA,allometric_equation,1.2,NA,NA,NA,NA,NA,NA,NA,0,0,10.5194/bg-6-2759-2009,Aragao,2009,Above- and below-ground net primary productivity across ten Amazonian forests on contrasting soils,Luyssaert et al. 2007: database v3.3,3128,"Dr. Kristina J. Anderson-Teixeira, Smithsonian Institution, teixeirak@si.edu"
37,Agua Pudre plot E AGP-01,UM primary forest,999,2TEB,NA,2TEB,nodata,UM,BNPP_coarse root_C,237,NA,9,2004.01.01,8,2006.01.01,8,0.7,NI,NI,NI,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,10.5194/bg-6-2759-2009,Aragao,2009,Above- and below-ground net primary productivity across ten Amazonian forests on contrasting soils,Luyssaert et al. 2007: database v3.3,3129,"Dr. Kristina J. Anderson-Teixeira, Smithsonian Institution, teixeirak@si.edu"
38,Agua Pudre plot E AGP-01,UM primary forest,999,2TEB,NA,2TEB,nodata,UM,BNPP_fine root_C,238,NA,9,2004.01.01,8,2006.01.01,8,2.2,NI,NI,NI,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,10.5194/bg-6-2759-2009,Aragao,2009,Above- and below-ground net primary productivity across ten Amazonian forests on contrasting soils,Luyssaert et al. 2007: database v3.3,3130,"Dr. Kristina J. Anderson-Teixeira, Smithsonian Institution, teixeirak@si.edu"
39,Agua Pudre plot E AGP-01,UM primary forest,999,2TEB,NA,2TEB,nodata,UM,BNPP_root_C,NAC,NA,9,2004.01.01,8,2006.01.01,8,2.9,NI,NI,NI,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,10.5194/bg-6-2759-2009,Aragao,2009,Above- and below-ground net primary productivity across ten Amazonian forests on contrasting soils,Luyssaert et al. 2007: database v3.3,3131,"Dr. Kristina J. Anderson-Teixeira, Smithsonian Institution, teixeirak@si.edu"
40,Agua Pudre plot E AGP-01,UM primary forest,999,2TEB,NA,2TEB,nodata,UM,NPP_1_C,239,NA,9,2004.01.01,8,2006.01.01,8,11.1,NI,NI,NI,NA,allometric_equation,1.2,NA,NA,NA,NA,NA,NA,NA,0,0,10.5194/bg-6-2759-2009,Aragao,2009,Above- and below-ground net primary productivity across ten Amazonian forests on contrasting soils,Luyssaert et al. 2007: database v3.3,3132,"Dr. Kristina J. Anderson-Teixeira, Smithsonian Institution, teixeirak@si.edu"
41,Agua Pudre plot E AGP-01,UM primary forest,999,2TEB,NA,2TEB,nodata,UM,NPP_woody_C,NAC,NI,9,NI,9,NI,9,5.54,NRA,NRA,NRA,prim ref: Aragao et al. 2009 [4],NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,10.1098/rstb.2011.0062,Malhi,2011,The allocation of ecosystem net primary productivity in tropical forests,Malhi2011,16890,"Dr. Kristina J. Anderson-Teixeira, Smithsonian Institution, teixeirak@si.edu"
42,Agua Pudre plot U AGP-02,UM primary forest,999,2TEB,NA,2TEB,nodata,UM,ANPP_1_C,NAC,NA,9,2004.01.01,8,2006.01.01,8,7.5,NI,NI,NI,NA,allometric_equation,1.2,NA,NA,NA,NA,NA,NA,NA,0,0,10.5194/bg-6-2759-2009,Aragao,2009,Above- and below-ground net primary productivity across ten Amazonian forests on contrasting soils,Luyssaert et al. 2007: database v3.3,3133,"Dr. Kristina J. Anderson-Teixeira, Smithsonian Institution, teixeirak@si.edu"
43,Agua Pudre plot U AGP-02,UM primary forest,999,2TEB,NA,2TEB,nodata,UM,ANPP_2_C,NAC,NA,9,2004.01.01,8,2006.01.01,8,8.5,NI,NI,NI,NA,allometric_equation,1.2,NA,NA,NA,NA,NA,NA,NA,0,0,10.5194/bg-6-2759-2009,Aragao,2009,Above- and below-ground net primary productivity across ten Amazonian forests on contrasting soils,Luyssaert et al. 2007: database v3.3,3134,"Dr. Kristina J. Anderson-Teixeira, Smithsonian Institution, teixeirak@si.edu"
44,Agua Pudre plot U AGP-02,UM primary forest,999,2TEB,NA,2TEB,nodata,UM,ANPP_branch_C,NAC,NA,9,2004.01.01,8,2006.01.01,8,1,NI,NI,NI,NA,allometric_equation,1.2,NA,NA,NA,NA,NA,NA,NA,0,0,10.5194/bg-6-2759-2009,Aragao,2009,Above- and below-ground net primary productivity across ten Amazonian forests on contrasting soils,Luyssaert et al. 2007: database v3.3,3135,"Dr. Kristina J. Anderson-Teixeira, Smithsonian Institution, teixeirak@si.edu"
45,Agua Pudre plot U AGP-02,UM primary forest,999,2TEB,NA,2TEB,nodata,UM,ANPP_foliage_C,NAC,NA,9,2004.01.01,8,2006.01.01,8,3.7,NI,NI,NI,NA,allometric_equation,1.2,NA,NA,NA,NA,NA,NA,NA,0,0,10.5194/bg-6-2759-2009,Aragao,2009,Above- and below-ground net primary productivity across ten Amazonian forests on contrasting soils,Luyssaert et al. 2007: database v3.3,3136,"Dr. Kristina J. Anderson-Teixeira, Smithsonian Institution, teixeirak@si.edu"
46,Agua Pudre plot U AGP-02,UM primary forest,999,2TEB,NA,2TEB,nodata,UM,ANPP_stem_C,NAC,NA,9,2004.01.01,8,2006.01.01,8,3.8,NI,NI,NI,NA,allometric_equation,1.2,NA,NA,NA,NA,NA,NA,NA,0,0,10.5194/bg-6-2759-2009,Aragao,2009,Above- and below-ground net primary productivity across ten Amazonian forests on contrasting soils,Luyssaert et al. 2007: database v3.3,3137,"Dr. Kristina J. Anderson-Teixeira, Smithsonian Institution, teixeirak@si.edu"
47,Agua Pudre plot U AGP-02,UM primary forest,999,2TEB,NA,2TEB,nodata,UM,ANPP_woody_C,NAC,NA,9,2004.01.01,8,2006.01.01,8,4.8,NI,NI,NI,NA,allometric_equation,1.2,NA,NA,NA,NA,NA,NA,NA,0,0,10.5194/bg-6-2759-2009,Aragao,2009,Above- and below-ground net primary productivity across ten Amazonian forests on contrasting soils,Luyssaert et al. 2007: database v3.3,3138,"Dr. Kristina J. Anderson-Teixeira, Smithsonian Institution, teixeirak@si.edu"
48,Agua Pudre plot U AGP-02,UM primary forest,999,2TEB,NA,2TEB,nodata,UM,BNPP_coarse root_C,237,NA,9,2004.01.01,8,2006.01.01,8,0.8,NI,NI,NI,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,10.5194/bg-6-2759-2009,Aragao,2009,Above- and below-ground net primary productivity across ten Amazonian forests on contrasting soils,Luyssaert et al. 2007: database v3.3,3139,"Dr. Kristina J. Anderson-Teixeira, Smithsonian Institution, teixeirak@si.edu"
