variables.type,variables.name,units,description,equations,requires_allometry,requires_min_dbh,requires_depth,associated.covariate_1,associated.covariate_2,min,max,notes
primary,NPP_3,Mg ha-1 yr-1,"NPP, including foliage, branch, stem, coarse root, fine root, understory and reproductive NPP. ",NPP_3 = NPP_2 + ANPP_repro,1,1,1,include_recruitment,NA,NAC,NAC,NA
primary,NPP_3_C,Mg C ha-1 yr-1,"NPP, including foliage, branch, stem, coarse root, fine root, understory and reproductive NPP. ",NPP_3_C = NPP_2_C + ANPP_repro_C,1,1,1,include_recruitment,NA,NAC,NAC,NA
primary,NPP_4,Mg ha-1 yr-1,"NPP, including foliage, branch, stem, coarse root, fine root, understory, reproductive and herbivory. ",NPP_4 = NPP_3 + ANPP_herbivory,1,1,1,include_recruitment,NA,NAC,NAC,NA
primary,NPP_4_C,Mg C ha-1 yr-1,"NPP, including foliage, branch, stem, coarse root, fine root, understory, reproductive and herbivory. ",NPP_4_C = NPP_3_C + ANPP_herbivory_C,1,1,1,include_recruitment,NA,NAC,NAC,NA
primary,NPP_5,Mg ha-1 yr-1,"Total NPP, including foliage, branch, stem, coarse root, fine root, understory, reproductive, herbivory, VOC and exudation. ","NPP_5 = NPP_4 + (NPP_exudation,VOC)",1,1,1,include_recruitment,NA,NAC,NAC,NA
primary,NPP_5_C,Mg C ha-1 yr-1,"Total NPP, including foliage, branch, stem, coarse root, fine root, understory, reproductive, herbivory, VOC and exudation. ","NPP_5_C = NPP_4_C + (NPP_exudation,VOC_C)",1,1,1,include_recruitment,NA,NAC,NAC,NA
primary,NPP_understory,Mg ha-1 yr-1,Total understory NPP. Components included may vary.,NA,0,0,0,NA,NA,NAC,NAC,NA
primary,NPP_understory_C,Mg C ha-1 yr-1,Total understory NPP. Components included may vary.,NA,0,0,0,NA,NA,NAC,NAC,NA
primary,NPP_woody,Mg ha-1 yr-1,Woody NPP: annual increments in live woody biomass (above- and below-ground) estimated using allometric equations.,NPP_woody= ANPP_woody + BNPP_coarse root,1,1,1,include_recruitment,NA,NAC,NAC,NA
primary,NPP_woody_C,Mg C ha-1 yr-1,Woody NPP: annual increments in live woody biomass C (above- and below-ground) estimated using allometric equations.,NPP_woody_C= ANPP_woody_C + BNPP_coarse root_C,1,1,1,include_recruitment,NA,NAC,NAC,NA
primary,ANPP,Mg ha-1 yr-1,"Annual aboveground NPP, where components included are unknown/do not fit the definition of ANPP_1 / ANPP_2",NA,1,1,0,include_recruitment,NA,NAC,NAC,NA
primary,ANPP_C,Mg C ha-1 yr-1,"Annual aboveground NPP, where components included are unknown/do not fit the definition of ANPP_1 / ANPP_2",NA,1,1,0,include_recruitment,NA,NAC,NAC,NA
primary,ANPP_1,Mg ha-1 yr-1,"Annual aboveground NPP, including foliage and stem growth",ANPP_1 = ANPP_stem + ANPP_foliage,1,1,0,include_recruitment,NA,NAC,NAC,NA
primary,ANPP_1_C,Mg C ha-1 yr-1,"Annual aboveground NPP, including foliage and stem growth",ANPP_1_C = ANPP_stem_C + ANPP_foliage_C,1,1,0,include_recruitment,NA,NAC,NAC,NA
primary,ANPP_2,Mg ha-1 yr-1,"Annual aboveground NPP, including foliage, stem growth, and branch turnover",(1) ANPP_2 = ANPP_foliage + ANPP_stem + ANPP_branch; (2) ANPP_2 = ANPP_foliage + ANPP_woody,1,1,0,include_recruitment,NA,NAC,NAC,NA
primary,ANPP_2_C,Mg C ha-1 yr-1,"Annual aboveground NPP, including foliage, stem growth, and branch turnover",(1) ANPP_2_C = ANPP_foliage_C + ANPP_stem_C + ANPP_branch_C; (2) ANPP_2_C = ANPP_foliage_C + ANPP_woody_C,1,1,0,include_recruitment,NA,NAC,NAC,NA
primary,ANPP_foliage,Mg ha-1 yr-1,"Annual foliage production, typically estimated by collecting leaf/needle fall throughout the year, but correcting for changes in leaf biomass when measured. ",ANPP_foliage = (total leaf production) - ANPP_folivory + (change in Biomass_foliage),0,0,0,NA,NA,NAC,NAC,"Estimation methods vary, and some covariates are recorded as appropriate. Note that if there is any net change in foliage biomass during the measurement period, ANPP_foliage estimates based on leaf fall that do not correct for changes in foliage biomass do not accurately represent C allocation to foliage production. Note also that unless methods correct for consumption of foliage by herbivores, this measurement excludes leaf production that is consumed by herbivores."
primary,ANPP_foliage_C,Mg C ha-1 yr-1,"Annual foliage production, typically estimated by collecting leaf/needle fall throughout the year, but correcting for changes in leaf biomass when measured. ",ANPP_foliage_C = (total leaf production) - ANPP_folivory_C + (change in C_foliage),0,0,0,NA,NA,NAC,NAC,"Estimation methods vary, and some covariates are recorded as appropriate. Note that if there is any net change in foliage biomass during the measurement period, ANPP_foliage estimates based on leaf fall that do not correct for changes in foliage biomass do not accurately represent C allocation to foliage production. Note also that unless methods correct for consumption of foliage by herbivores, this measurement excludes leaf production that is consumed by herbivores."
primary,ANPP_litterfall_1,Mg ha-1 yr-1,"Anuall litterfall, including leaves, twigs, and reproductive structures",ANPP_litterfall_1 = ANPP_foliage + ANPP_ repro + (ANPP_twigs),0,0,0,(twig_diameter_max),NA,NAC,NAC,Non-required covariate twig_diameter_max indicates maximum twig diameter classified as litterfall.
primary,ANPP_litterfall_1_C,Mg C ha-1 yr-1,"Anuall litterfall, including leaves, twigs, and reproductive structures",ANPP_litterfall_1_C = ANPP_foliage_C + ANPP_ repro_C + (ANPP_twigs_C),0,0,0,(twig_diameter_max),NA,NAC,NAC,Non-required covariate twig_diameter_max indicates maximum twig diameter classified as litterfall.
primary,ANPP_litterfall_2,Mg ha-1 yr-1,"Annual litterfall, including leaves, twigs, reproductive structures, and small branches/ wood/ large twigs ",ANPP_litterfall_2 = ANPP_litterfall_1 + ( ANPP_small branches/ large twigs),0,0,0,(branch_diameter_max),NA,NAC,NAC,Non-required covariate branch_diameter_max indicates maximum branch diameter classified as litterfall.
primary,ANPP_litterfall_2_C,Mg C ha-1 yr-1,"Annual litterfall, including leaves, twigs, reproductive structures, and small branches/ wood/ large twigs",ANPP_litterfall_2_C = ANPP_litterfall_1_C + ( ANPP_small branches/ large twigs_C),0,0,0,(branch_diameter_max),NA,NAC,NAC,Non-required covariate branch_diameter_max indicates maximum branch diameter classified as litterfall.
primary,ANPP_litterfall_3,Mg ha-1 yr-1,Annual litterfall- components included not specified.,NA,0,0,0,NA,NA,NAC,NAC,Most records are probably ANPP_litterfall_1
primary,ANPP_litterfall_3_C,Mg C ha-1 yr-1,Annual litterfall- components included not specified.,NA,0,0,0,NA,NA,NAC,NAC,Most records are probably ANPP_litterfall_1
primary,ANPP_stem,Mg ha-1 yr-1,"Annual stem ANPP; i.e., annual wood (including branch) increment determined using allometric equations relating aboveground woody biomass increment to changes in stem diameter of all individual trees in the plot",NA,1,1,0,include_recruitment,NA,NAC,NAC,NA
primary,ANPP_stem_C,Mg C ha-1 yr-1,"Annual stem ANPP; i.e., annual wood (including branch) increment determined using allometric equations relating aboveground woody biomass increment to changes in stem diameter of all individual trees in the plot",NA,1,1,0,include_recruitment,NA,NAC,NAC,NA
primary,ANPP_branch,Mg ha-1 yr-1,"Annual branch turnover, typically determined by collecting branch fall throughout the year.",NA,0,0,0,branch_diameter_max,branch_diameter_min,NAC,NAC,NA
primary,ANPP_branch_C,Mg C ha-1 yr-1,"Annual branch turnover, typically determined by collecting branch fall throughout the year.",NA,0,0,0,branch_diameter_max,branch_diameter_min,NAC,NAC,Allometric equation recorded as covariate for some records. 
primary,ANPP_woody,Mg ha-1 yr-1,"Annual aboveground woody production, including stem growth and branch turnover",ANPP_woody = ANPP_stem + ANPP_branch,1,1,0,include_recruitment,NA,NAC,NAC,NA
primary,ANPP_woody_C,Mg C ha-1 yr-1,"Annual aboveground woody production, including stem growth and branch turnover",ANPP_woody_C = ANPP_stem_C + ANPP_branch_C,1,1,0,include_recruitment,NA,NAC,NAC,NA
primary,ANPP_repro,Mg ha-1 yr-1,"Annual allocation of NPP to reproductive structures (fruits, flowers, seeds)",NA,0,0,0,NA,NA,NAC,NAC,NA
primary,ANPP_repro_C,Mg C ha-1 yr-1,"Annual allocation of NPP to reproductive structures (fruits, flowers, seeds)",NA,0,0,0,NA,NA,NAC,NAC,NA
primary,ANPP_folivory,Mg ha-1 yr-1,"Annual leaf consumption by herbivores, defined here as a direct component of ANPP (as opposed to a component of ANPP_foliage)*. ",ANPP_folivory = (total leaf production) - ANPP_foliage + (change in Biomass_foliage),0,0,0,NA,NA,NAC,NAC,*We define ANPP_folivory as a direct component of ANPP (as opposed to a component of ANPP_foliage) because common measurement methods of ANPP_foliage do not account for ANPP_folivory.
primary,ANPP_folivory_C,Mg C ha-1 yr-1,"Annual leaf consumption by herbivores, defined here as a direct component of ANPP_C (as opposed to a component of ANPP_foliage_C)*. ",ANPP_folivory_C = (total leaf production) - ANPP_foliage_C + (change in C_foliage),0,0,0,NA,NA,NAC,NAC,*We define ANPP_folivory_C as a direct component of ANPP_C (as opposed to a component of ANPP_foliage_C) because common measurement methods of ANPP_foliage_C do not account for ANPP_folivory_C.
primary,BNPP_root,Mg ha-1 yr-1,"Annual root biomass production determined by repeated soil coring, isotopic estimates of fine-root turnover combined with biomass measurements, root ingrowth cores, root ingrowth mesh, upscaled root-length production observed in minirhizotrons or the soil respiration and litterfall constraint formulated by Raich & Nadelhoffer (1989)",BNPP_root = BNPP_coarse root + BNPP_fine root,1,1,1,root_diameter_min,NA,NAC,NAC,NA
primary,BNPP_root_C,Mg C ha-1 yr-1,"Annual root production determined by repeated soil coring, isotopic estimates of fine-root turnover combined with biomass measurements, root ingrowth cores, root ingrowth mesh, upscaled root-length production observed in minirhizotrons or the soil respiration and litterfall constraint formulated by Raich & Nadelhoffer (1989)",BNPP_root_C = BNPP_coarse root_C + BNPP_fine root_C,1,1,1,root_diameter_min,NA,NAC,NAC,NA
primary,BNPP_coarse_root,Mg ha-1 yr-1,"Annual coarse root production, typically determined using allometric equations relating root mass to stem diameter.",NA,1,1,0,root_diameter_min,NA,NAC,NAC,NA
primary,BNPP_coarse_root_C,Mg C ha-1 yr-1,"Annual coarse root production, typically determined using allometric equations relating root mass to stem diameter.",NA,1,1,0,root_diameter_min,NA,NAC,NAC,NA
primary,BNPP_fine_root,Mg ha-1 yr-1,"Annual fine root production, estimated using a variety of methods including minirhizotrons, repeat coring, and ingrowth cores.",NA,0,0,1,root_diameter_min, root_diameter_max,NAC,NAC,NA
primary,BNPP_fine_root_C,Mg C ha-1 yr-1,"Annual fine root production, estimated using a variety of methods including minirhizotrons, repeat coring, and ingrowth cores.",NA,0,0,1,root_diameter_min, root_diameter_max,NAC,NAC,NA
primary,Reco_annual,Mg C ha-1 yr-1,"Annual ecosystem respiration,commonly estimated through flux partitioning of eddy covariance. Sign convention: positive.",(1)* Reco_annual = NEE_annual - GPP_C_annual; (2) Reco_annual = R_auto_annual + R_het_annual,0,0,0,u*,NA,NAC,NAC,"*Equation 1 assumes minimal vertical advection, respiration-derived dissolved inorganic carbon, and non-repiratory CO2 fluxes (e.g., from fire or ultraviolet oxidation of organic matter); see Chapin et al. 2006"
primary,Reco_cum,Mg C ha-1 (timestep)-1,Cumulative ecosystem respiration over a specified time frame (measured using eddy-covariance or gas exchange in a closed chamber). Sign convention: positive.,NEE_cum =  Reco_cum - GPP_cum,0,0,0,u*,NA,NAC,NAC,Applies to timeframes other than one year. Meaninful only in conjunction with start and end date.
primary,R_foliage_annual,Mg C ha-1 yr-1,Annual foliar respiration,NA,0,0,0,NA,NA,NAC,NAC,NA
primary,R_wood_annual,Mg C ha-1 yr-1,Annual aboveground respiration of woody stems ,NA,0,0,0,NA,NA,NAC,NAC,NA
primary,R_ag_annual,Mg C ha-1 yr-1,Annual aboveground autotrophic respiration ,R_ag_annual = R_foliage_annual + R_wood_annual ,0,0,0,NA,NA,NAC,NAC,Covariates will depend on methodology. Currently not acquired for any records in the database.
primary,R_auto_annual,Mg C ha-1 yr-1,"Annual autotrophic respiration, including above- and belowground components.",R_auto_annual =  R_wood_annual + R_foliage_annual + R_root_fine_annual + (R_root_coarse_annual),0,0,0,NA,NA,NAC,NAC,Covariates will depend on methodology. Currently not acquired for any records in the database.
primary,Rroot_annual,Mg C ha-1 yr-1,Annual root respiration (all size classes). Note methodology: root gas exchange/ root exclusion/ isotopes,Rsoil_annual = R_het_annual + R_root_annual,0,0,0,NA,NA,NAC,NAC,"If estimated through direct measurement of root gas exchange, covariates should include depth; root_diameter_min; root_diameter_max"
primary,R_het_annual,Mg C ha-1 yr-1,"Annual hetrotrophic respiration, typically limited to soil heterotrophic respiration",Rsoil_annual = R_het_annual + R_root_annual,0,0,0,NA,NA,NAC,NAC,NA
primary,Rsoil_annual,Mg C ha-1 yr-1,Annual soil respiration,Rsoil_annual = R_het_annual + R_root_annual,0,0,0,NA,NA,NAC,NAC,NA
primary,Woody_mortality,Mg ha-1 yr-1,"Annual biomass mortality--i.e., total biomass of tree stems that die. ",net_change_agb=ANPP-Woody_mortality,1,1,0, trees(0)_or_stems(1) ,NA,NAC,NAC,NA
primary,Woody_mortality_C,Mg C ha-1 yr-1,Total C of tree stems that die annually.,net_change_agb_C=ANPP_C-Woody_mortality_C,1,1,0, trees(0)_or_stems(1) ,NA,NAC,NAC,NA
primary,net_change_agb,Mg ha-1 yr-1,Net change in aboveground live biomass ,net_change_agb=ANPP-Woody_mortality,1,1,0,NA,NA,NAC,NAC,NA
primary,net_change_agb_C,Mg C ha-1 yr-1,Net change in aboveground live biomass C,net_change_agb_C=ANPP_C-Woody_mortality_C,1,1,0,NA,NA,NAC,NAC,NA
primary,Total_ecosystem_OM,Mg ha-1,"Includes total biomass, deadwood, organic layer, and soil organic matter",Total_ecosystem_OM = Biomass_total + Deadwood + Organic layer + SOM,1,1,1,NA,NA,NAC,NAC,NA
primary,Total_ecosystem_C,Mg C ha-1,"Includes total biomass, deadwood, organic layer, and soil organic C",Total_ecosystem_C = C_biomass_total + C_deadwood + C_organic layer + SOC,1,1,1,NA,NA,NAC,NAC,NA
primary,Total_ecosystem_2_OM,Mg ha-1,"Total ecosystem organic matter, including total biomass, deadwood, and organic layer but excluding soil organic matter.",Total_ecosystem_2_OM = Biomass_total + Deadwood + Organic layer,1,1,1,NA,NA,NAC,NAC,NA
primary,Total_ecosystem_2_C,Mg C ha-1,"Total ecosystem carbon in organic matter, including total biomass, deadwood, and organic layer but excluding soil organic carbon.",Total_ecosystem_2_C = C_biomass_total + C_deadwood + C_organic layer,1,1,1,NA,NA,NAC,NAC,NA
primary,Biomass_total,Mg ha-1,Total live biomass.,(1) Biomass_total = Biomass_ag + Biomass_root_total; (2) Biomass_total= Biomass_structural + Biomass_foliage + Biomass_root_fine,1,1,1,NA,NA,NAC,NAC,NA
primary,C_biomass_total,Mg C ha-1,Total carbon in live biomass.,(1) C_biomass_total = C_ag + C_root_total; (2) C_biomass_total= C_structural + C_foliage + C_root_fine,1,1,1,NA,NA,NAC,NAC,NA
primary,Biomass_structural,Mg ha-1,"Total structural biomass--i.e., stems and coarse roots. Excludes fine roots and foliage.",(1) Biomass_structural = Biomass_total - Biomass_foliage - Biomass_root_fine; (2) Biomass_structural = Biomass_ags + Biomass_root_coarse,1,1,0,NA,NA,NAC,NAC,NA
primary,C_structural,Mg C ha-1,"Total carbon in structural biomass--i.e., stems and coarse roots. Excludes fine roots and foliage.",(1) C_structural = C_biomass_total - C_foliage - C_root_fine; (2) C_structural = C_ags + C_root_coarse,1,1,0,NA,NA,NAC,NAC,NA
primary,Biomass_foliage,Mg ha-1,Total foliage biomass,NA,1,1,0,NA,NA,NAC,NAC,NA
primary,C_foliage,Mg C ha-1,Total carbon in foliage biomass,NA,1,1,0,NA,NA,NAC,NAC,NA
primary,Biomass_ags,Mg ha-1,Total aboveground structural (stem + branch) biomass,NA,1,1,0,NA,NA,NAC,NAC,NA
primary,C_ags,Mg C ha-1,Total carbon in aboveground structural (stem + branch) biomass,NA,1,1,0,NA,NA,NAC,NAC,NA
primary,Biomass_ag,Mg ha-1,"Total aboveground live biomass. May include biomass of reproductive structures and understory biomass, if data are available. Dead wood excluded.",Biomass_ag = Biomass_ags + Biomass_foliage,1,1,0,NA,NA,NAC,NAC,NA
primary,C_ag,Mg C ha-1,"Total carbon in aboveground live biomass. May include biomass of reproductive structures and understory biomass, if data are available. Dead wood excluded.",C_ag = C_ags + C_foliage,1,1,0,NA,NA,NAC,NAC,NA
primary,Biomass_root_fine,Mg ha-1,"Total fine root biomass. Typical size cutoff (root_diameter_max) is 1-2 mm diameter, with preference given to root_diameter_max = 1 mm when there is an option.",NA,0,0,1,root_diameter_min,root_diameter_max,NAC,NAC,NA
primary,C_root_fine,Mg C ha-1,"Total carbon in fine root biomass. Typical size cutoff (root_diameter_max) is 1-2 mm diameter, with preference given to root_diameter_max = 1 mm when there is an option.",NA,0,0,1,root_diameter_min,root_diameter_max,NAC,NAC,NA
primary,Biomass_root_coarse,Mg ha-1,"Total coarse root biomass. Typical size cutoff (root_diameter_min) is 1-2 mm diameter, with preference given to root_diameter_min = 1 mm when there is an option.",NA,1,1,0,root_diameter_min,NA,NAC,NAC,NA
primary,C_root_coarse,Mg C ha-1,"Total carbon in coarse root biomass. Typical size cutoff (root_diameter_min) is 1-2 mm diameter, with preference given to root_diameter_min = 1 mm when there is an option.",NA,1,1,0,root_diameter_min,NA,NAC,NAC,NA
primary,Biomass_root_total,Mg ha-1,Total root biomass,Biomass_root_total = Biomass_root_coarse + Biomass_root_fine,1,1,1,root_diameter_min,NA,NAC,NAC,NA
primary,C_root_total,Mg C ha-1,Total carbon in root biomass,C_root_total = C_root_coarse + C_root_fine,1,1,1,root_diameter_min,NA,NAC,NAC,NA
primary,Deadwood,Mg ha-1,"Total mass of dead wood, including standing dead wood and coarse woody debris",Deadwood = Downdeadwood + Standingdeadwood,1,1,0,(min_diameter),(min_length),NAC,NAC,"Covariates depend on methodology. Include min_diameter, min_length, allometric_equation."
primary,C_deadwood,Mg C ha-1,"Total carbon in dead wood, including standing dead wood and coarse woody debris",C_deadwood = C_Downdeadwood + C_Sdeadwood,1,1,0,(min_diameter),(min_length),NAC,NAC,"Covariates depend on methodology. Include min_diameter, min_length, allometric_equation."
primary,Downdeadwood,Mg ha-1,Total mass of downed dead wood (coarse woody debris),NA,0,0,0,(min_diameter),(min_length),NAC,NAC,"Covariates depend on methodology. Include min_diameter, min_length."
primary,C_Downdeadwood,Mg C ha-1,Total carbon in downed dead wood (coarse woody debris),NA,0,0,0,(min_diameter),(min_length),NAC,NAC,"Covariates depend on methodology. Include min_diameter, min_length."
primary,Standingdeadwood,Mg ha-1,Total mass of standing dead wood (snags),NA,1,1,0,NA,NA,NAC,NAC,"Covariates depend on methodology. Include min_diameter, min_length, allometric_equation."
primary,C_Sdeadwood,Mg C ha-1,Total carbon in standing dead wood (snags),NA,1,1,0,NA,NA,NAC,NAC,"Covariates depend on methodology. Include min_diameter, min_length, allometric_equation."
primary,Organic_layer,Mg ha-1,Mass of litter/ organic layer/ forest floor,NA,0,0,0,NA,NA,NAC,NAC,NA
primary,C_organic_layer,Mg C ha-1,Carbon in litter/ organic layer/ forest floor,NA,0,0,0,NA,NA,NAC,NAC,NA
primary,SOM,Mg ha-1,Soil organic matter to specified depth in mineral soil,NA,0,0,1,NA,NA,NAC,NAC,depth refers to depth in mineral soil.
primary,SOC,Mg C ha-1,Soil organic carbon to specified depth in mineral soil,NA,0,0,1,NA,NA,NAC,NAC,depth refers to depth in mineral soil.
secondary,LAI,m2 leaf m-2 ground,LAI: leaf area index (m2/m2),NA,NA,NA,NA,NA,NA,NAC,NAC,NA
secondary,leafC,%,Leaf Percent C,NA,NA,NA,NA,NA,NA,NAC,NAC,NA
secondary,c2n_leaf,ratio,C:N ratio in leaves,NA,NA,NA,NA,NA,NA,NAC,NAC,NA
secondary,leafN,%,Leaf Percent Nitrogen,NA,NA,NA,NA,NA,NA,NAC,NAC,NA
secondary,leafCa,%,Foliar calcium concentration,NA,NA,NA,NA,NA,NA,NAC,NAC,NA
secondary,leafK,%,Foliar K concentration,NA,NA,NA,NA,NA,NA,NAC,NAC,NA
secondary,leafMg,%,Foliar magnesium concentration,NA,NA,NA,NA,NA,NA,NAC,NAC,NA
secondary,leafP,%,Foliar P concentration,NA,NA,NA,NA,NA,NA,NAC,NAC,NA
secondary,foliage_N,Mg ha-1,Accumulation of foliage N of stand,NA,NA,NA,NA,NA,NA,NAC,NAC,NA
secondary,stemC,%,C concentration in stems,NA,NA,NA,NA,NA,NA,NAC,NAC,NA
secondary,stemN,%,Nitrogen in stem,NA,NA,NA,NA,NA,NA,NAC,NAC,NA
secondary,rootN,%,Percent N in belowground live tissue,NA,NA,NA,NA,NA,NA,NAC,NAC,NA
secondary,root_biomass,g plant-1,Root biomass of an individual plant,NA,NA,NA,NA,NA,NA,NAC,NAC,NA
secondary,rootC,%,Percent C in belowground live tissue,NA,NA,NA,NA,NA,NA,NAC,NAC,NA
secondary,soilC,%,Soil carbon content,NA,NA,NA,NA,NA,NA,NAC,NAC,NA
secondary,N_mineralization,Kg N ha-1 yr-1,Net N mineralization,NA,NA,NA,NA,NA,NA,NAC,NAC,NA
covariates,branch_diameter_max,cm,Maximum branch diameter,NA,NA,NA,NA,NA,NA,NAC,NAC,NA
covariates,branch_diameter_min,cm,Minimum branch diameter,NA,NA,NA,NA,NA,NA,NAC,NAC,NA
covariates,depth,cm,Depth to which measurement was taken,NA,NA,NA,NA,NA,NA,NAC,NAC,NA
covariates,growing_season_length,days,Growing season length,NA,NA,NA,NA,NA,NA,NAC,NAC,NA
covariates,max_diameter,cm,"Maximum diameter of tree part being measured (stem, woody debris)",NA,NA,NA,NA,NA,NA,NAC,NAC,NA
covariates,min_dbh,cm,Minimum diameter at breast height ,NA,NA,NA,NA,NA,NA,NAC,NAC,NA
covariates,min_diameter,cm,"Minimum diameter of tree part being measured (stem, woody debris)",NA,NA,NA,NA,NA,NA,NAC,NAC,NA
covariates,min_diameter(liana),cm,Minimum diameter of lianas censused,NA,NA,NA,NA,NA,NA,NAC,NAC,NA
covariates,min_height,cm,Minimum height,NA,NA,NA,NA,NA,NA,NAC,NAC,NA
covariates,min_length,cm,Minimum length,NA,NA,NA,NA,NA,NA,NAC,NAC,NA
covariates,root_diameter_max,mm,Maximum root diameter,NA,NA,NA,NA,NA,NA,NAC,NAC,NA
covariates,root_diameter_min,mm,Minimum root diameter,NA,NA,NA,NA,NA,NA,NAC,NAC,NA
covariates,twig_diameter_max,cm,Maximum twig diameter,NA,NA,NA,NA,NA,NA,NAC,NAC,NA
covariates,soilT,degrees C,Soil temperature (also a secondary variable),NA,NA,NA,NA,NA,NA,NAC,NAC,NA
covariates,u*,m s-1,Friction velocity,NA,NA,NA,NA,NA,NA,NAC,NAC,NA
covariates,allometric_equation,NA,Allometric equation codes defined in TropForC_allometry.csv,NA,NA,NA,NA,NA,NA,NAC,NAC,NA
covariates,trees(0)_or_stems(1),NA,"Indicates whether the variable is computed at the individual tree (0; i.e., only counts mortality if all stems of a multi-stemmed individual die) or stem (1; i.e., counts stem mortality when the individualt tree remains alive) level.",NA,NA,NA,NA,NA,NA,NAC,NAC,NA
covariates,include_recruitment,,Indicates whether recruitment is counted as part of ANPP_stem (0-no; 1-yes),NA,NA,NA,NA,NA,NA,NAC,NAC,"Including recrutiment in NPP estimates overestimates contributions of small stems, which have been growing for years before entering a tree census."
