plothistoryID,sites.sitename,plot.name,plotarea,event.sequence,date,dateloc,distcat,disttype,level,units,percent.mortality,distnotes,plothistoryID.v1,tropical_extratropical
21.1,Aleman,Premontane Rain Forest recovery following pasture abandonment,NAC,2,NI,9,Regrowth,Initiation of post-disturbance cohort (natural),NA,NA,NA,history event derived from plot.name,NA,tropical
21.2,Aleman,Premontane Rain Forest recovery following pasture abandonment,NAC,3,NI,9,Establishment,Establishment of oldest trees,NA,NA,NA,NA,NA,tropical
22,Allpahuayo A,terra firma ALP-A,NAC,1,NI,9,No.info,NI,NA,NA,NA,NA,5700,tropical
23,Allpahuayo A ALP11/ALP12,wet aseasonal forest,1,1,NI,9,No.disturbance,No disturbance,NA,NA,NA,NA,2284,tropical
24,Allpahuayo A clay-rich soils,terra firma clay-rich soils ALP-11,0.44,1,1904,8.5,No.disturbance,No disturbance,NA,NA,NA,All plots were mixed-age old-growth humid forests with no evidence of major human-induced disturbance for at least a century. In most cases the forests are unlikely to have ever experienced a major anthropogenic disturbance. ,2339,tropical
25,Allpahuayo A sandy soils,terra firma sandy soils ALP-12,0.4,1,1904,8.5,No.disturbance,No disturbance,NA,NA,NA,All plots were mixed-age old-growth humid forests with no evidence of major human-induced disturbance for at least a century. In most cases the forests are unlikely to have ever experienced a major anthropogenic disturbance. ,2340,tropical
26,Allpahuayo B,terra firma ALP-B,NAC,1,NI,9,No.info,NI,NA,NA,NA,NA,5702,tropical
27,Allpahuayo B clay-rich soils,terra firma clay-rich soils ALP-22,0.44,1,1904,8.5,No.disturbance,No disturbance,NA,NA,NA,All plots were mixed-age old-growth humid forests with no evidence of major human-induced disturbance for at least a century. In most cases the forests are unlikely to have ever experienced a major anthropogenic disturbance. ,2341,tropical
28,Allpahuayo B sandy soils,terra firma sandy soils ALP-21,0.48,1,1904,8.5,No.disturbance,No disturbance,NA,NA,NA,All plots were mixed-age old-growth humid forests with no evidence of major human-induced disturbance for at least a century. In most cases the forests are unlikely to have ever experienced a major anthropogenic disturbance. ,2342,tropical
29,Allpahuayo C ALP30,wet aseasonal forest,1,1,NI,9,No.disturbance,No disturbance,NA,NA,NA,NA,2285,tropical
30,Allpahuayo C ALP30,white sand,NAC,1,NI,9,No.info,NI,NA,NA,NA,NA,5703,tropical
31,AM10,Forest recovery following long-term agriculture. A3,4,1,1985,8,Disturbance,Cut,100,%,100,"Forest, slash-and-burn, 6 y rice",14,tropical
32,AM10,Forest recovery following long-term agriculture. A3,4,2,1985,8,Disturbance,Burned,NA,NA,100,"Forest, slash-and-burn, 6 y rice",15,tropical
33,AM10,Forest recovery following long-term agriculture. A3,4,3,1985,8,Disturbance,Cultivation,6,year,100,"Forest, slash-and-burn, 6 y rice",16,tropical
34,AM10,Forest recovery following long-term agriculture. A3,4,4,1991,8,Regrowth,Initiation of post-disturbance cohort (natural)*,*,NA,NA,"Forest, slash-and-burn, 6 y rice",17,tropical
35,AM10,Forest recovery following long-term agriculture. A3,4,5,1991,8,Establishment,Establishment of oldest trees*,*,NA,NA,NA,18,tropical
36,AM10,Forest recovery following long-term pasture. A12,2,1,1982,8,Disturbance,Cut,100,%,100,"Forest, slash-and-burn, 6 y pasture",19,tropical
37,AM10,Forest recovery following long-term pasture. A12,2,2,1982,8,Disturbance,Burned,NA,NA,100,"Forest, slash-and-burn, 6 y pasture",20,tropical
38,AM10,Forest recovery following long-term pasture. A12,2,3,1982,8,Disturbance,Grazed,6,year,NA,"Forest, slash-and-burn, 6 y pasture",21,tropical
39,AM10,Forest recovery following long-term pasture. A12,2,4,1988,8,Regrowth,Initiation of post-disturbance cohort (natural)*,*,NA,NA,"Forest, slash-and-burn, 6 y pasture",22,tropical
40,AM10,Forest recovery following long-term pasture. A12,2,5,1988,8,Establishment,Establishment of oldest trees*,*,NA,NA,NA,23,tropical
41,AM10,Forest recovery following long-term pasture. A9,4,1,1973,8,Disturbance,Cut,100,%,100,"Forest, slash-and-burn, 7 y pasture",24,tropical
42,AM10,Forest recovery following long-term pasture. A9,4,2,1973,8,Disturbance,Burned,NA,NA,100,"Forest, slash-and-burn, 7 y pasture",25,tropical
43,AM10,Forest recovery following long-term pasture. A9,4,3,1973,8,Disturbance,Grazed,7,year,NA,"Forest, slash-and-burn, 7 y pasture",26,tropical
44,AM10,Forest recovery following long-term pasture. A9,4,4,1980,8,Regrowth,Initiation of post-disturbance cohort (natural)*,*,NA,NA,"Forest, slash-and-burn, 7 y pasture",27,tropical
45,AM10,Forest recovery following long-term pasture. A9,4,5,1980,8,Establishment,Establishment of oldest trees*,*,NA,NA,NA,28,tropical
46,AM10,Forest recovery following short-term agriculture. A10,2.5,1,1983,8,Disturbance,Cut,100,%,100,cleared not burned and then immediately abandoned without any cultivation,29,tropical
47,AM10,Forest recovery following short-term agriculture. A10,2.5,2,1983,8,Regrowth,Initiation of post-disturbance cohort (natural)*,*,NA,NA,cleared not burned and then immediately abandoned without any cultivation,30,tropical
48,AM10,Forest recovery following short-term agriculture. A10,2.5,3,1983,8,Establishment,Establishment of oldest trees*,*,NA,NA,NA,31,tropical
49,AM10,Forest recovery following short-term agriculture. A2,8,1,1984,8,Disturbance,Cut,100,%,100,"Forest, slash-and-burn, 1 y rice",32,tropical
50,AM10,Forest recovery following short-term agriculture. A2,8,2,1984,8,Disturbance,Burned,NA,NA,100,"Forest, slash-and-burn, 1 y rice",33,tropical
51,AM10,Forest recovery following short-term agriculture. A2,8,3,1984,8,Disturbance,Cultivation,1,year,100,"Forest, slash-and-burn, 1 y rice",34,tropical
52,AM10,Forest recovery following short-term agriculture. A2,8,4,1985,8,Regrowth,Initiation of post-disturbance cohort (natural)*,*,NA,NA,"Forest, slash-and-burn, 1 y rice",35,tropical
53,AM10,Forest recovery following short-term agriculture. A2,8,5,1985,8,Establishment,Establishment of oldest trees*,*,NA,NA,NA,36,tropical
54,AM10,Forest recovery following short-term agriculture. A5,2,1,1983,8,Disturbance,Cut,100,%,100,"Forest, slash-and-burn, seeded w/ rice only + abandoned, sandy hilltop",37,tropical
55,AM10,Forest recovery following short-term agriculture. A5,2,2,1983,8,Disturbance,Burned,NA,NA,100,"Forest, slash-and-burn, seeded w/ rice only + abandoned, sandy hilltop",38,tropical
56,AM10,Forest recovery following short-term agriculture. A5,2,3,1983,8,Management,Seeded_agriculture,NA,NA,NA,"Forest, slash-and-burn, seeded w/ rice only + abandoned, sandy hilltop",39,tropical
57,AM10,Forest recovery following short-term agriculture. A5,2,4,1983,8,Regrowth,Initiation of post-disturbance cohort (natural)*,*,NA,NA,"Forest, slash-and-burn, seeded w/ rice only + abandoned, sandy hilltop",40,tropical
58,AM10,Forest recovery following short-term agriculture. A5,2,5,1983,8,Establishment,Establishment of oldest trees*,*,NA,NA,NA,41,tropical
59,AM10,Forest recovery following short-term agriculture. A6,6,1,1974,8,Disturbance,Cut,100,%,100,"Forest, slash-and-burn, 1 y rice",42,tropical
60,AM10,Forest recovery following short-term agriculture. A6,6,2,1974,8,Disturbance,Burned,NA,NA,100,"Forest, slash-and-burn, 1 y rice",43,tropical
61,AM10,Forest recovery following short-term agriculture. A6,6,3,1974,8,Disturbance,Cultivation,1,year,100,"Forest, slash-and-burn, 1 y rice",44,tropical
62,AM10,Forest recovery following short-term agriculture. A6,6,4,1975,8,Regrowth,Initiation of post-disturbance cohort (natural)*,*,NA,NA,"Forest, slash-and-burn, 1 y rice",45,tropical
63,AM10,Forest recovery following short-term agriculture. A6,6,5,1975,8,Establishment,Establishment of oldest trees*,*,NA,NA,NA,46,tropical
64,AM10,Forest recovery following short-term agriculture. A7,5,1,1971,8,Disturbance,Cut,100,%,100,"Forest, slash-and-burn, 1 y rice",47,tropical
65,AM10,Forest recovery following short-term agriculture. A7,5,2,1971,8,Disturbance,Burned,NA,NA,100,"Forest, slash-and-burn, 1 y rice",48,tropical
66,AM10,Forest recovery following short-term agriculture. A7,5,3,1971,8,Disturbance,Cultivation,1,year,100,"Forest, slash-and-burn, 1 y rice",49,tropical
67,AM10,Forest recovery following short-term agriculture. A7,5,4,1972,8,Regrowth,Initiation of post-disturbance cohort (natural)*,NA,NA,NA,"Forest, slash-and-burn, 1 y rice",50,tropical
68,AM10,Forest recovery following short-term agriculture. A7,5,5,1972,8,Establishment,Establishment of oldest trees*,*,NA,NA,NA,51,tropical
69,AM10,Forest recovery following short-term pasture. A8,4,1,1974,8,Disturbance,Cut,100,%,100,"Forest, slash-and-burn, 1 y pasture",52,tropical
70,AM10,Forest recovery following short-term pasture. A8,4,2,1974,8,Disturbance,Burned,NA,NA,100,"Forest, slash-and-burn, 1 y pasture",53,tropical
71,AM10,Forest recovery following short-term pasture. A8,4,3,1974,8,Disturbance,Grazed,1,year,NA,"Forest, slash-and-burn, 1 y pasture",54,tropical
72,AM10,Forest recovery following short-term pasture. A8,4,4,1975,8,Regrowth,Initiation of post-disturbance cohort (natural)*,*,NA,NA,"Forest, slash-and-burn, 1 y pasture",55,tropical
73,AM10,Forest recovery following short-term pasture. A8,4,5,1975,8,Establishment,Establishment of oldest trees*,*,NA,NA,NA,56,tropical
74,Amacayacu E,old-growth tropical forest.AGP1,NAC,1,NAC,9,No.disturbance,No disturbance,NA,NA,NA,NAC,NA,tropical
75,Amacayacu U,old-growth tropical forest.AGP2,NAC,1,NAC,9,No.disturbance,No disturbance,NA,NA,NA,NAC,NA,tropical
76,Amalau,lowland forest,NAC,1,1990,8,Disturbance,Major storm,NA,NA,<100%,Hurricane. no anthropogenic disturbance,1651,tropical
78,Anandgoan,Stand development of monoculture plantation.1y,0.05,1,1999,8,Management,Irrigation,700,mm yr-1,NA,NA,187,tropical
79,Anandgoan,Stand development of monoculture plantation.1y,0.05,2,1999.49589,6,Management,Fertilization_K,80,kg ha-1,NA,Preplanting fertilizer,146,tropical
80,Anandgoan,Stand development of monoculture plantation.1y,0.05,3,1999.49589,6,Management,Fertilization_N,100,kg ha-1,NA,Preplanting fertilizer,152,tropical
81,Anandgoan,Stand development of monoculture plantation.1y,0.05,4,1999.49589,6,Management,Fertilization_P,40,kg ha-1,NA,Preplanting fertilizer,158,tropical
82,Anandgoan,Stand development of monoculture plantation.1y,0.05,5,1999.531507,5.5,Regrowth,Planted,NA,NA,NA,6-mth-old uniform size G. arborea seedlings,140,tropical
83,Anandgoan,Stand development of monoculture plantation.1y,0.05,6,1999.531507,5.5,Establishment,Establishment of oldest trees,NA,NA,NA,NA,181,tropical
84,Anandgoan,Stand development of monoculture plantation.1y,0.05,7,2000.497268,6,Disturbance,Cut,NA,NA,<100%,"Multiple stemmed plants, if any, were pruned to one stem after 1 year of planting.",164,tropical
85,Anandgoan,Stand development of monoculture plantation.1y,0.05,8,2000.497268,6,Management,Fertilization_N,60,kg ha-1,NA,Additional N was applied at 120 kg ha-1 in two split doses (in July and March) in 1-year-old stands,170,tropical
86,Anandgoan,Stand development of monoculture plantation.2y,0.05,1,1998,8,Management,Irrigation,700,mm yr-1,NA,NA,186,tropical
87,Anandgoan,Stand development of monoculture plantation.2y,0.05,2,1998.49589,6,Management,Fertilization_K,80,kg ha-1,NA,Preplanting fertilizer,145,tropical
88,Anandgoan,Stand development of monoculture plantation.2y,0.05,3,1998.49589,6,Management,Fertilization_N,100,kg ha-1,NA,Preplanting fertilizer,151,tropical
89,Anandgoan,Stand development of monoculture plantation.2y,0.05,4,1998.49589,6,Management,Fertilization_P,40,kg ha-1,NA,Preplanting fertilizer,157,tropical
90,Anandgoan,Stand development of monoculture plantation.2y,0.05,5,1998.531507,5.5,Regrowth,Planted,NA,NA,NA,6-mth-old uniform size G. arborea seedlings,139,tropical
91,Anandgoan,Stand development of monoculture plantation.2y,0.05,6,1998.531507,5.5,Establishment,Establishment of oldest trees,NA,NA,NA,NA,180,tropical
92,Anandgoan,Stand development of monoculture plantation.2y,0.05,7,1999.49589,6,Disturbance,Cut,NA,NA,<100%,"Multiple stemmed plants, if any, were pruned to one stem after 1 year of planting.",163,tropical
93,Anandgoan,Stand development of monoculture plantation.2y,0.05,8,1999.49589,6,Management,Fertilization_N,60,kg ha-1,NA,Additional N was applied at 120 kg ha-1 in two split doses (in July and March) in 1-year-old stands,169,tropical
94,Anandgoan,Stand development of monoculture plantation.2y,0.05,9,2000.163934,6,Management,Fertilization_N,60,kg ha-1,NA,Additional N was applied at 120 kg ha-1 in two split doses (in July and March) in 1-year-old stands,175,tropical
95,Anandgoan,Stand development of monoculture plantation.3y,0.05,1,1997,8,Management,Irrigation,700,mm yr-1,NA,NA,185,tropical
96,Anandgoan,Stand development of monoculture plantation.3y,0.05,2,1997.49589,6,Management,Fertilization_K,80,kg ha-1,NA,Preplanting fertilizer,144,tropical
97,Anandgoan,Stand development of monoculture plantation.3y,0.05,3,1997.49589,6,Management,Fertilization_N,100,kg ha-1,NA,Preplanting fertilizer,150,tropical
98,Anandgoan,Stand development of monoculture plantation.3y,0.05,4,1997.49589,6,Management,Fertilization_P,40,kg ha-1,NA,Preplanting fertilizer,156,tropical
99,Anandgoan,Stand development of monoculture plantation.3y,0.05,5,1997.531507,5.5,Regrowth,Planted,NA,NA,NA,6-mth-old uniform size G. arborea seedlings,138,tropical
100,Anandgoan,Stand development of monoculture plantation.3y,0.05,6,1997.531507,5.5,Establishment,Establishment of oldest trees,NA,NA,NA,NA,179,tropical
101,Anandgoan,Stand development of monoculture plantation.3y,0.05,7,1998.49589,6,Disturbance,Cut,NA,NA,<100%,"Multiple stemmed plants, if any, were pruned to one stem after 1 year of planting.",162,tropical
102,Anandgoan,Stand development of monoculture plantation.3y,0.05,8,1998.49589,6,Management,Fertilization_N,60,kg ha-1,NA,Additional N was applied at 120 kg ha-1 in two split doses (in July and March) in 1-year-old stands,168,tropical
103,Anandgoan,Stand development of monoculture plantation.3y,0.05,9,1999.161644,6,Management,Fertilization_N,60,kg ha-1,NA,Additional N was applied at 120 kg ha-1 in two split doses (in July and March) in 1-year-old stands,174,tropical
104,Anandgoan,Stand development of monoculture plantation.4y,0.05,1,1996,8,Management,Irrigation,700,mm yr-1,NA,NA,184,tropical
105,Anandgoan,Stand development of monoculture plantation.4y,0.05,2,1996.497268,6,Management,Fertilization_K,80,kg ha-1,NA,Preplanting fertilizer,143,tropical
106,Anandgoan,Stand development of monoculture plantation.4y,0.05,3,1996.497268,6,Management,Fertilization_N,100,kg ha-1,NA,Preplanting fertilizer,149,tropical
107,Anandgoan,Stand development of monoculture plantation.4y,0.05,4,1996.497268,6,Management,Fertilization_P,40,kg ha-1,NA,Preplanting fertilizer,155,tropical
108,Anandgoan,Stand development of monoculture plantation.4y,0.05,5,1996.532787,5.5,Regrowth,Planted,NA,NA,NA,6-mth-old uniform size G. arborea seedlings,137,tropical
109,Anandgoan,Stand development of monoculture plantation.4y,0.05,6,1996.532787,5.5,Establishment,Establishment of oldest trees,NA,NA,NA,NA,178,tropical
110,Anandgoan,Stand development of monoculture plantation.4y,0.05,7,1997.49589,6,Disturbance,Cut,NA,NA,<100%,"Multiple stemmed plants, if any, were pruned to one stem after 1 year of planting.",161,tropical
111,Anandgoan,Stand development of monoculture plantation.4y,0.05,8,1997.49589,6,Management,Fertilization_N,60,kg ha-1,NA,Additional N was applied at 120 kg ha-1 in two split doses (in July and March) in 1-year-old stands,167,tropical
112,Anandgoan,Stand development of monoculture plantation.4y,0.05,9,1998.161644,6,Management,Fertilization_N,60,kg ha-1,NA,Additional N was applied at 120 kg ha-1 in two split doses (in July and March) in 1-year-old stands,173,tropical
113,Anandgoan,Stand development of monoculture plantation.5y,0.05,1,1995,8,Management,Irrigation,700,mm yr-1,NA,NA,183,tropical
114,Anandgoan,Stand development of monoculture plantation.5y,0.05,2,1995.49589,6,Management,Fertilization_K,80,kg ha-1,NA,Preplanting fertilizer,142,tropical
115,Anandgoan,Stand development of monoculture plantation.5y,0.05,3,1995.49589,6,Management,Fertilization_N,100,kg ha-1,NA,Preplanting fertilizer,148,tropical
116,Anandgoan,Stand development of monoculture plantation.5y,0.05,4,1995.49589,6,Management,Fertilization_P,40,kg ha-1,NA,Preplanting fertilizer,154,tropical
117,Anandgoan,Stand development of monoculture plantation.5y,0.05,5,1995.531507,5.5,Regrowth,Planted,NA,NA,NA,6-mth-old uniform size G. arborea seedlings,136,tropical
118,Anandgoan,Stand development of monoculture plantation.5y,0.05,6,1995.531507,5.5,Establishment,Establishment of oldest trees,NA,NA,NA,NA,177,tropical
119,Anandgoan,Stand development of monoculture plantation.5y,0.05,7,1996.497268,6,Disturbance,Cut,NA,NA,<100%,"Multiple stemmed plants, if any, were pruned to one stem after 1 year of planting.",160,tropical
120,Anandgoan,Stand development of monoculture plantation.5y,0.05,8,1996.497268,6,Management,Fertilization_N,60,kg ha-1,NA,Additional N was applied at 120 kg ha-1 in two split doses (in July and March) in 1-year-old stands,166,tropical
121,Anandgoan,Stand development of monoculture plantation.5y,0.05,9,1997.161644,6,Management,Fertilization_N,60,kg ha-1,NA,Additional N was applied at 120 kg ha-1 in two split doses (in July and March) in 1-year-old stands,172,tropical
122,Anandgoan,Stand development of monoculture plantation.6y,0.05,1,1994,8,Management,Irrigation,700,mm yr-1,NA,NA,182,tropical
123,Anandgoan,Stand development of monoculture plantation.6y,0.05,2,1994.49589,6,Management,Fertilization_K,80,kg ha-1,NA,Preplanting fertilizer,141,tropical
124,Anandgoan,Stand development of monoculture plantation.6y,0.05,3,1994.49589,6,Management,Fertilization_N,100,kg ha-1,NA,Preplanting fertilizer,147,tropical
125,Anandgoan,Stand development of monoculture plantation.6y,0.05,4,1994.49589,6,Management,Fertilization_P,40,kg ha-1,NA,Preplanting fertilizer,153,tropical
126,Anandgoan,Stand development of monoculture plantation.6y,0.05,5,1994.531507,5.5,Regrowth,Planted,NA,NA,NA,6-mth-old uniform size G. arborea seedlings,135,tropical
127,Anandgoan,Stand development of monoculture plantation.6y,0.05,6,1994.531507,5.5,Establishment,Establishment of oldest trees,NA,NA,NA,NA,176,tropical
128,Anandgoan,Stand development of monoculture plantation.6y,0.05,7,1995.49589,6,Disturbance,Cut,NA,NA,<100%,"Multiple stemmed plants, if any, were pruned to one stem after 1 year of planting.",159,tropical
129,Anandgoan,Stand development of monoculture plantation.6y,0.05,8,1995.49589,6,Management,Fertilization_N,60,kg ha-1,NA,Additional N was applied at 120 kg ha-1 in two split doses (in July and March) in 1-year-old stands,165,tropical
130,Anandgoan,Stand development of monoculture plantation.6y,0.05,9,1996.163934,6,Management,Fertilization_N,60,kg ha-1,NA,Additional N was applied at 120 kg ha-1 in two split doses (in July and March) in 1-year-old stands,171,tropical
131,"Anangu, A1",Seasonally flooded ANN-01,1,1,1904,8.5,No.disturbance,No disturbance,NA,NA,NA,All plots were mixed-age old-growth humid forests with no evidence of major human-induced disturbance for at least a century. In most cases the forests are unlikely to have ever experienced a major anthropogenic disturbance. ,2343,tropical
132,"Anangu, A2",terra firma ANN-02,1,1,1904,8.5,No.disturbance,No disturbance,NA,NA,NA,All plots were mixed-age old-growth humid forests with no evidence of major human-induced disturbance for at least a century. In most cases the forests are unlikely to have ever experienced a major anthropogenic disturbance. ,2344,tropical
133,"Anangu, A3",terra firma ANN-03,1,1,1904,8.5,No.disturbance,No disturbance,NA,NA,NA,All plots were mixed-age old-growth humid forests with no evidence of major human-induced disturbance for at least a century. In most cases the forests are unlikely to have ever experienced a major anthropogenic disturbance. ,2345,tropical
134,"Apiau,Roraima",old-growth tropical forest.APR,NAC,1,NAC,9,No.disturbance,No disturbance,NA,NA,NA,NAC,NA,tropical
135,Araracuara,ombtophilous tropical rainforest,NAC,1,NAC,9,No.info,NAC,NA,NA,NA,NA,2093,tropical
136,Arroyo Negro,Forest recovery following maize agriculture.15 y,0.05,1,1970,8.5,Disturbance,Cultivation,2+,year,100,Maize,294,tropical
137,Arroyo Negro,Forest recovery following maize agriculture.15 y,0.05,2,1984,8,Establishment,Establishment of oldest trees*,*,NA,NA,NA,314,tropical
138,Arroyo Negro,Forest recovery following maize agriculture.15 y,0.05,3,1984,8,Regrowth,Initiation of post-disturbance cohort (natural)*,*,NA,NA,NA,322,tropical
139,Arroyo Negro,Forest recovery following maize agriculture.18 y,0.05,1,1970,8.5,Disturbance,Cultivation,2,year,100,Maize,295,tropical
140,Arroyo Negro,Forest recovery following maize agriculture.18 y,0.05,2,1981,8,Establishment,Establishment of oldest trees*,*,NA,NA,NA,315,tropical
141,Arroyo Negro,Forest recovery following maize agriculture.18 y,0.05,3,1981,8,Regrowth,Initiation of post-disturbance cohort (natural)*,*,NA,NA,NA,323,tropical
142,Arroyo Negro,Forest recovery following maize agriculture.4 y,0.05,1,1970,8.5,Disturbance,Cultivation,7,year,100,Maize,296,tropical
144,Arroyo Negro,Forest recovery following maize agriculture.4 y,0.05,3,1995,8,Establishment,Establishment of oldest trees*,*,NA,NA,NA,308,tropical
145,Arroyo Negro,Forest recovery following maize agriculture.4 y,0.05,4,1995,8,Regrowth,Initiation of post-disturbance cohort (natural)*,*,NA,NA,NA,316,tropical
146,Arroyo Negro,Forest recovery following maize agriculture.5 y Fermin,0.05,1,1970,8.5,Disturbance,Cultivation,4,year,100,Maize,297,tropical
148,Arroyo Negro,Forest recovery following maize agriculture.5 y Fermin,0.05,3,1994,8,Establishment,Establishment of oldest trees*,*,NA,NA,NA,309,tropical
149,Arroyo Negro,Forest recovery following maize agriculture.5 y Fermin,0.05,4,1994,8,Regrowth,Initiation of post-disturbance cohort (natural)*,*,NA,NA,NA,317,tropical
150,Arroyo Negro,Forest recovery following maize agriculture.5 y Gilberto,0.05,1,1970,8.5,Disturbance,Cultivation,1,year,100,Maize,298,tropical
152,Arroyo Negro,Forest recovery following maize agriculture.5 y Gilberto,0.05,3,1994,8,Establishment,Establishment of oldest trees*,*,NA,NA,NA,310,tropical
153,Arroyo Negro,Forest recovery following maize agriculture.5 y Gilberto,0.05,4,1994,8,Regrowth,Initiation of post-disturbance cohort (natural)*,*,NA,NA,NA,318,tropical
154,Arroyo Negro,Forest recovery following maize agriculture.7 y,0.05,1,1970,8.5,Disturbance,Cultivation,1,year,100,Maize,299,tropical
156,Arroyo Negro,Forest recovery following maize agriculture.7 y,0.05,3,1992,8,Establishment,Establishment of oldest trees*,*,NA,NA,NA,311,tropical
157,Arroyo Negro,Forest recovery following maize agriculture.7 y,0.05,4,1992,8,Regrowth,Initiation of post-disturbance cohort (natural)*,*,NA,NA,NA,319,tropical
158,Arroyo Negro,Forest recovery following maize agriculture.8 y,0.05,1,1970,8.5,Disturbance,Cultivation,3+,year,100,Maize,300,tropical
160,Arroyo Negro,Forest recovery following maize agriculture.8 y,0.05,3,1991,8,Establishment,Establishment of oldest trees*,*,NA,NA,NA,312,tropical
161,Arroyo Negro,Forest recovery following maize agriculture.8 y,0.05,4,1991,8,Regrowth,Initiation of post-disturbance cohort (natural)*,*,NA,NA,NA,320,tropical
162,Arroyo Negro,Forest recovery following maize agriculture.9 y,0.05,1,1970,8.5,Disturbance,Cultivation,3+,year,100,Maize,301,tropical
164,Arroyo Negro,Forest recovery following maize agriculture.9 y,0.05,3,1990,8,Establishment,Establishment of oldest trees*,*,NA,NA,NA,313,tropical
165,Arroyo Negro,Forest recovery following maize agriculture.9 y,0.05,4,1990,8,Regrowth,Initiation of post-disturbance cohort (natural)*,*,NA,NA,NA,321,tropical
166,Arroyo Negro,Undisturbed forest Antonio,0.05,1,NAC,9,No.disturbance,No disturbance,NA,NA,NA,mature forest,324,tropical
167,Arroyo Negro,Undisturbed forest Jose,0.05,1,NAC,9,No.disturbance,No disturbance,NA,NA,NA,mature forest,325,tropical
168,ASN-02_Asenanyo F.R. 2,african tropical forest,0.6,1,NAC,9,No.info,NAC,NA,NA,NA,NA,2094,tropical
169,ASN-04_Asenanyo F.R. 4,african tropical forest,0.88,1,NAC,9,No.info,NAC,NA,NA,NA,NA,2095,tropical
170,ASU-01_Asukese F.R. 1,african tropical forest,1,1,NAC,9,No.info,NAC,NA,NA,NA,NA,2096,tropical
171,Atherton Gadgarra,long term management; undisturbed,0.25,1,NI,9,No.disturbance,No disturbance,NA,NA,NA,well-developed rainforests with no evidence of disturbance,2219,tropical
