plothistoryID,sites.sitename,plot.name,plotarea,date,daten,dateloc,distcat,disttype,level,units,distnotes,plothistoryID.v1
24,Allpahuayo A clay-rich soils,terra firma clay-rich soils ALP-11,0.44,1904.01.01,19040101,8.5,No.disturbance,No disturbance,NA,NA,All plots were mixed-age old-growth humid forests with no evidence of major human-induced disturbance for at least a century. In most cases the forests are unlikely to have ever experienced a major anthropogenic disturbance. ,2339
25,Allpahuayo A sandy soils,terra firma sandy soils ALP-12,0.4,1904.01.01,19040101,8.5,No.disturbance,No disturbance,NA,NA,All plots were mixed-age old-growth humid forests with no evidence of major human-induced disturbance for at least a century. In most cases the forests are unlikely to have ever experienced a major anthropogenic disturbance. ,2340
26,Allpahuayo B,terra firma ALP-B,NAC,NI,NI,9,No.info,NI,NA,NA,NA,5702
27,Allpahuayo B clay-rich soils,terra firma clay-rich soils ALP-22,0.44,1904.01.01,19040101,8.5,No.disturbance,No disturbance,NA,NA,All plots were mixed-age old-growth humid forests with no evidence of major human-induced disturbance for at least a century. In most cases the forests are unlikely to have ever experienced a major anthropogenic disturbance. ,2341
28,Allpahuayo B sandy soils,terra firma sandy soils ALP-21,0.48,1904.01.01,19040101,8.5,No.disturbance,No disturbance,NA,NA,All plots were mixed-age old-growth humid forests with no evidence of major human-induced disturbance for at least a century. In most cases the forests are unlikely to have ever experienced a major anthropogenic disturbance. ,2342
29,Allpahuayo C ALP30,wet aseasonal forest,1,NI,NI,9,No.disturbance,No disturbance,NA,NA,NA,2285
30,Allpahuayo C ALP30,white sand,NAC,NI,NI,9,No.info,NI,NA,NA,NA,5703
31,AM10,Forest recovery following long-term agriculture. A3,4,1985.01.01,19850101,8,Disturbance,Cut,100,%,"Forest, slash-and-burn, 6 y rice",14
32,AM10,Forest recovery following long-term agriculture. A3,4,1985.01.01,19850101,8,Disturbance,Burned,NA,NA,"Forest, slash-and-burn, 6 y rice",15
33,AM10,Forest recovery following long-term agriculture. A3,4,1985.01.01,19850101,8,Disturbance,Cultivation,6,year,"Forest, slash-and-burn, 6 y rice",16
34,AM10,Forest recovery following long-term agriculture. A3,4,1991.01.01,19910101,8,Regrowth,Initiation of natural succession*,*,NA,"Forest, slash-and-burn, 6 y rice",17
35,AM10,Forest recovery following long-term agriculture. A3,4,1991.01.01,19910101,8,Establishment,Establishment of oldest trees*,*,NA,NA,18
36,AM10,Forest recovery following long-term pasture. A12,2,1982.01.01,19820101,8,Disturbance,Cut,100,%,"Forest, slash-and-burn, 6 y pasture",19
37,AM10,Forest recovery following long-term pasture. A12,2,1982.01.01,19820101,8,Disturbance,Burned,NA,NA,"Forest, slash-and-burn, 6 y pasture",20
38,AM10,Forest recovery following long-term pasture. A12,2,1982.01.01,19820101,8,Disturbance,Grazed,6,year,"Forest, slash-and-burn, 6 y pasture",21
39,AM10,Forest recovery following long-term pasture. A12,2,1988.01.01,19880101,8,Regrowth,Initiation of natural succession*,*,NA,"Forest, slash-and-burn, 6 y pasture",22
40,AM10,Forest recovery following long-term pasture. A12,2,1988.01.01,19880101,8,Establishment,Establishment of oldest trees*,*,NA,NA,23
41,AM10,Forest recovery following long-term pasture. A9,4,1973.01.01,19730101,8,Disturbance,Cut,100,%,"Forest, slash-and-burn, 7 y pasture",24
42,AM10,Forest recovery following long-term pasture. A9,4,1973.01.01,19730101,8,Disturbance,Burned,NA,NA,"Forest, slash-and-burn, 7 y pasture",25
43,AM10,Forest recovery following long-term pasture. A9,4,1973.01.01,19730101,8,Disturbance,Grazed,7,year,"Forest, slash-and-burn, 7 y pasture",26
44,AM10,Forest recovery following long-term pasture. A9,4,1980.01.01,19800101,8,Regrowth,Initiation of natural succession*,*,NA,"Forest, slash-and-burn, 7 y pasture",27
45,AM10,Forest recovery following long-term pasture. A9,4,1980.01.01,19800101,8,Establishment,Establishment of oldest trees*,*,NA,NA,28
46,AM10,Forest recovery following short-term agriculture. A10,2.5,1983.01.01,19830101,8,Disturbance,Cut,100,%,cleared not burned and then immediately abandoned without any cultivation,29
47,AM10,Forest recovery following short-term agriculture. A10,2.5,1983.01.01,19830101,8,Regrowth,Initiation of natural succession*,*,NA,cleared not burned and then immediately abandoned without any cultivation,30
48,AM10,Forest recovery following short-term agriculture. A10,2.5,1983.01.01,19830101,8,Establishment,Establishment of oldest trees*,*,NA,NA,31
49,AM10,Forest recovery following short-term agriculture. A2,8,1984.01.01,19840101,8,Disturbance,Cut,100,%,"Forest, slash-and-burn, 1 y rice",32
50,AM10,Forest recovery following short-term agriculture. A2,8,1984.01.01,19840101,8,Disturbance,Burned,NA,NA,"Forest, slash-and-burn, 1 y rice",33
51,AM10,Forest recovery following short-term agriculture. A2,8,1984.01.01,19840101,8,Disturbance,Cultivation,1,year,"Forest, slash-and-burn, 1 y rice",34
52,AM10,Forest recovery following short-term agriculture. A2,8,1985.01.01,19850101,8,Regrowth,Initiation of natural succession*,*,NA,"Forest, slash-and-burn, 1 y rice",35
53,AM10,Forest recovery following short-term agriculture. A2,8,1985.01.01,19850101,8,Establishment,Establishment of oldest trees*,*,NA,NA,36
54,AM10,Forest recovery following short-term agriculture. A5,2,1983.01.01,19830101,8,Disturbance,Cut,100,%,"Forest, slash-and-burn, seeded w/ rice only + abandoned, sandy hilltop",37
55,AM10,Forest recovery following short-term agriculture. A5,2,1983.01.01,19830101,8,Disturbance,Burned,NA,NA,"Forest, slash-and-burn, seeded w/ rice only + abandoned, sandy hilltop",38
56,AM10,Forest recovery following short-term agriculture. A5,2,1983.01.01,19830101,8,Regrowth,Seeded,NA,NA,"Forest, slash-and-burn, seeded w/ rice only + abandoned, sandy hilltop",39
57,AM10,Forest recovery following short-term agriculture. A5,2,1983.01.01,19830101,8,Regrowth,Initiation of natural succession*,*,NA,"Forest, slash-and-burn, seeded w/ rice only + abandoned, sandy hilltop",40
58,AM10,Forest recovery following short-term agriculture. A5,2,1983.01.01,19830101,8,Establishment,Establishment of oldest trees*,*,NA,NA,41
59,AM10,Forest recovery following short-term agriculture. A6,6,1974.01.01,19740101,8,Disturbance,Cut,100,%,"Forest, slash-and-burn, 1 y rice",42
60,AM10,Forest recovery following short-term agriculture. A6,6,1974.01.01,19740101,8,Disturbance,Burned,NA,NA,"Forest, slash-and-burn, 1 y rice",43
61,AM10,Forest recovery following short-term agriculture. A6,6,1974.01.01,19740101,8,Disturbance,Cultivation,1,year,"Forest, slash-and-burn, 1 y rice",44
62,AM10,Forest recovery following short-term agriculture. A6,6,1975.01.01,19750101,8,Regrowth,Initiation of natural succession*,*,NA,"Forest, slash-and-burn, 1 y rice",45
63,AM10,Forest recovery following short-term agriculture. A6,6,1975.01.01,19750101,8,Establishment,Establishment of oldest trees*,*,NA,NA,46
64,AM10,Forest recovery following short-term agriculture. A7,5,1971.01.01,19710101,8,Disturbance,Cut,100,%,"Forest, slash-and-burn, 1 y rice",47
65,AM10,Forest recovery following short-term agriculture. A7,5,1971.01.01,19710101,8,Disturbance,Burned,NA,NA,"Forest, slash-and-burn, 1 y rice",48
66,AM10,Forest recovery following short-term agriculture. A7,5,1971.01.01,19710101,8,Disturbance,Cultivation,1,year,"Forest, slash-and-burn, 1 y rice",49
67,AM10,Forest recovery following short-term agriculture. A7,5,1972.01.01,19720101,8,Regrowth,Initiation of natural succession*,NA,NA,"Forest, slash-and-burn, 1 y rice",50
68,AM10,Forest recovery following short-term agriculture. A7,5,1972.01.01,19720101,8,Establishment,Establishment of oldest trees*,*,NA,NA,51
69,AM10,Forest recovery following short-term pasture. A8,4,1974.01.01,19740101,8,Disturbance,Cut,100,%,"Forest, slash-and-burn, 1 y pasture",52
70,AM10,Forest recovery following short-term pasture. A8,4,1974.01.01,19740101,8,Disturbance,Burned,NA,NA,"Forest, slash-and-burn, 1 y pasture",53
71,AM10,Forest recovery following short-term pasture. A8,4,1974.01.01,19740101,8,Disturbance,Grazed,1,year,"Forest, slash-and-burn, 1 y pasture",54
72,AM10,Forest recovery following short-term pasture. A8,4,1975.01.01,19750101,8,Regrowth,Initiation of natural succession*,*,NA,"Forest, slash-and-burn, 1 y pasture",55
73,AM10,Forest recovery following short-term pasture. A8,4,1975.01.01,19750101,8,Establishment,Establishment of oldest trees*,*,NA,NA,56
74,Amacayacu E,old-growth tropical forest.AGP1,NAC,NAC,NAC,9,No.disturbance,No disturbance,NA,NA,NAC,NA
75,Amacayacu U,old-growth tropical forest.AGP2,NAC,NAC,NAC,9,No.disturbance,No disturbance,NA,NA,NAC,NA
76,Amalau,lowland forest,NAC,1990.01.01,19900101,8,Disturbance,Major storm,NA,NA,Hurricane. no anthropogenic disturbance,1651
77,Amalau,lowland forest,NAC,1990.01.01,19900101,8,Regrowth,Initiation of natural succession,NA,NA,no anthropogenic disturbance,1652
78,Anandgoan,Stand development of monoculture plantation.6y,0.05,1994.07.14,19940714,5.5,Regrowth,Planted,NA,NA,6-mth-old uniform size G. arborea seedlings,135
79,Anandgoan,Stand development of monoculture plantation.5y,0.05,1995.07.14,19950714,5.5,Regrowth,Planted,NA,NA,6-mth-old uniform size G. arborea seedlings,136
80,Anandgoan,Stand development of monoculture plantation.4y,0.05,1996.07.14,19960714,5.5,Regrowth,Planted,NA,NA,6-mth-old uniform size G. arborea seedlings,137
81,Anandgoan,Stand development of monoculture plantation.3y,0.05,1997.07.14,19970714,5.5,Regrowth,Planted,NA,NA,6-mth-old uniform size G. arborea seedlings,138
82,Anandgoan,Stand development of monoculture plantation.2y,0.05,1998.07.14,19980714,5.5,Regrowth,Planted,NA,NA,6-mth-old uniform size G. arborea seedlings,139
83,Anandgoan,Stand development of monoculture plantation.1y,0.05,1999.07.14,19990714,5.5,Regrowth,Planted,NA,NA,6-mth-old uniform size G. arborea seedlings,140
84,Anandgoan,Stand development of monoculture plantation.6y,0.05,1994.07.01,19940701,6,Disturbance,Fertilization_K,80,kg ha-1,Preplanting fertilizer,141
85,Anandgoan,Stand development of monoculture plantation.5y,0.05,1995.07.01,19950701,6,Disturbance,Fertilization_K,80,kg ha-1,Preplanting fertilizer,142
86,Anandgoan,Stand development of monoculture plantation.4y,0.05,1996.07.01,19960701,6,Disturbance,Fertilization_K,80,kg ha-1,Preplanting fertilizer,143
87,Anandgoan,Stand development of monoculture plantation.3y,0.05,1997.07.01,19970701,6,Disturbance,Fertilization_K,80,kg ha-1,Preplanting fertilizer,144
88,Anandgoan,Stand development of monoculture plantation.2y,0.05,1998.07.01,19980701,6,Disturbance,Fertilization_K,80,kg ha-1,Preplanting fertilizer,145
89,Anandgoan,Stand development of monoculture plantation.1y,0.05,1999.07.01,19990701,6,Disturbance,Fertilization_K,80,kg ha-1,Preplanting fertilizer,146
90,Anandgoan,Stand development of monoculture plantation.6y,0.05,1994.07.01,19940701,6,Disturbance,Fertilization_N,100,kg ha-1,Preplanting fertilizer,147
91,Anandgoan,Stand development of monoculture plantation.5y,0.05,1995.07.01,19950701,6,Disturbance,Fertilization_N,100,kg ha-1,Preplanting fertilizer,148
92,Anandgoan,Stand development of monoculture plantation.4y,0.05,1996.07.01,19960701,6,Disturbance,Fertilization_N,100,kg ha-1,Preplanting fertilizer,149
93,Anandgoan,Stand development of monoculture plantation.3y,0.05,1997.07.01,19970701,6,Disturbance,Fertilization_N,100,kg ha-1,Preplanting fertilizer,150
94,Anandgoan,Stand development of monoculture plantation.2y,0.05,1998.07.01,19980701,6,Disturbance,Fertilization_N,100,kg ha-1,Preplanting fertilizer,151
95,Anandgoan,Stand development of monoculture plantation.1y,0.05,1999.07.01,19990701,6,Disturbance,Fertilization_N,100,kg ha-1,Preplanting fertilizer,152
96,Anandgoan,Stand development of monoculture plantation.6y,0.05,1994.07.01,19940701,6,Disturbance,Fertilization_P,40,kg ha-1,Preplanting fertilizer,153
97,Anandgoan,Stand development of monoculture plantation.5y,0.05,1995.07.01,19950701,6,Disturbance,Fertilization_P,40,kg ha-1,Preplanting fertilizer,154
98,Anandgoan,Stand development of monoculture plantation.4y,0.05,1996.07.01,19960701,6,Disturbance,Fertilization_P,40,kg ha-1,Preplanting fertilizer,155
99,Anandgoan,Stand development of monoculture plantation.3y,0.05,1997.07.01,19970701,6,Disturbance,Fertilization_P,40,kg ha-1,Preplanting fertilizer,156
100,Anandgoan,Stand development of monoculture plantation.2y,0.05,1998.07.01,19980701,6,Disturbance,Fertilization_P,40,kg ha-1,Preplanting fertilizer,157
101,Anandgoan,Stand development of monoculture plantation.1y,0.05,1999.07.01,19990701,6,Disturbance,Fertilization_P,40,kg ha-1,Preplanting fertilizer,158
102,Anandgoan,Stand development of monoculture plantation.6y,0.05,1995.07.01,19950701,6,Disturbance,Thinned,5,m-2,"Multiple stemmed plants, if any, were pruned to one stem after 1 year of planting.",159
103,Anandgoan,Stand development of monoculture plantation.5y,0.05,1996.07.01,19960701,6,Disturbance,Thinned,5,m-2,"Multiple stemmed plants, if any, were pruned to one stem after 1 year of planting.",160
104,Anandgoan,Stand development of monoculture plantation.4y,0.05,1997.07.01,19970701,6,Disturbance,Thinned,5,m-2,"Multiple stemmed plants, if any, were pruned to one stem after 1 year of planting.",161
105,Anandgoan,Stand development of monoculture plantation.3y,0.05,1998.07.01,19980701,6,Disturbance,Thinned,5,m-2,"Multiple stemmed plants, if any, were pruned to one stem after 1 year of planting.",162
106,Anandgoan,Stand development of monoculture plantation.2y,0.05,1999.07.01,19990701,6,Disturbance,Thinned,5,m-2,"Multiple stemmed plants, if any, were pruned to one stem after 1 year of planting.",163
107,Anandgoan,Stand development of monoculture plantation.1y,0.05,2000.07.01,20000701,6,Disturbance,Thinned,5,m-2,"Multiple stemmed plants, if any, were pruned to one stem after 1 year of planting.",164
108,Anandgoan,Stand development of monoculture plantation.6y,0.05,1995.07.01,19950701,6,Disturbance,Fertilization_N,60,kg ha-1,Additional N was applied at 120 kg ha-1 in two split doses (in July and March) in 1-year-old stands,165
109,Anandgoan,Stand development of monoculture plantation.5y,0.05,1996.07.01,19960701,6,Disturbance,Fertilization_N,60,kg ha-1,Additional N was applied at 120 kg ha-1 in two split doses (in July and March) in 1-year-old stands,166
110,Anandgoan,Stand development of monoculture plantation.4y,0.05,1997.07.01,19970701,6,Disturbance,Fertilization_N,60,kg ha-1,Additional N was applied at 120 kg ha-1 in two split doses (in July and March) in 1-year-old stands,167
111,Anandgoan,Stand development of monoculture plantation.3y,0.05,1998.07.01,19980701,6,Disturbance,Fertilization_N,60,kg ha-1,Additional N was applied at 120 kg ha-1 in two split doses (in July and March) in 1-year-old stands,168
112,Anandgoan,Stand development of monoculture plantation.2y,0.05,1999.07.01,19990701,6,Disturbance,Fertilization_N,60,kg ha-1,Additional N was applied at 120 kg ha-1 in two split doses (in July and March) in 1-year-old stands,169
113,Anandgoan,Stand development of monoculture plantation.1y,0.05,2000.07.01,20000701,6,Disturbance,Fertilization_N,60,kg ha-1,Additional N was applied at 120 kg ha-1 in two split doses (in July and March) in 1-year-old stands,170
114,Anandgoan,Stand development of monoculture plantation.6y,0.05,1996.03.01,19960301,6,Disturbance,Fertilization_N,60,kg ha-1,Additional N was applied at 120 kg ha-1 in two split doses (in July and March) in 1-year-old stands,171
115,Anandgoan,Stand development of monoculture plantation.5y,0.05,1997.03.01,19970301,6,Disturbance,Fertilization_N,60,kg ha-1,Additional N was applied at 120 kg ha-1 in two split doses (in July and March) in 1-year-old stands,172
116,Anandgoan,Stand development of monoculture plantation.4y,0.05,1998.03.01,19980301,6,Disturbance,Fertilization_N,60,kg ha-1,Additional N was applied at 120 kg ha-1 in two split doses (in July and March) in 1-year-old stands,173
117,Anandgoan,Stand development of monoculture plantation.3y,0.05,1999.03.01,19990301,6,Disturbance,Fertilization_N,60,kg ha-1,Additional N was applied at 120 kg ha-1 in two split doses (in July and March) in 1-year-old stands,174
118,Anandgoan,Stand development of monoculture plantation.2y,0.05,2000.03.01,20000301,6,Disturbance,Fertilization_N,60,kg ha-1,Additional N was applied at 120 kg ha-1 in two split doses (in July and March) in 1-year-old stands,175
119,Anandgoan,Stand development of monoculture plantation.6y,0.05,1994.07.14,19940714,5.5,Establishment,Establishment of oldest trees,NA,NA,NA,176
120,Anandgoan,Stand development of monoculture plantation.5y,0.05,1995.07.14,19950714,5.5,Establishment,Establishment of oldest trees,NA,NA,NA,177
121,Anandgoan,Stand development of monoculture plantation.4y,0.05,1996.07.14,19960714,5.5,Establishment,Establishment of oldest trees,NA,NA,NA,178
122,Anandgoan,Stand development of monoculture plantation.3y,0.05,1997.07.14,19970714,5.5,Establishment,Establishment of oldest trees,NA,NA,NA,179
123,Anandgoan,Stand development of monoculture plantation.2y,0.05,1998.07.14,19980714,5.5,Establishment,Establishment of oldest trees,NA,NA,NA,180
124,Anandgoan,Stand development of monoculture plantation.1y,0.05,1999.07.14,19990714,5.5,Establishment,Establishment of oldest trees,NA,NA,NA,181
125,Anandgoan,Stand development of monoculture plantation.6y,0.05,1994.01.01,19940101,8,Disturbance,Irrigation,700,mm yr-1,NA,182
126,Anandgoan,Stand development of monoculture plantation.5y,0.05,1995.01.01,19950101,8,Disturbance,Irrigation,700,mm yr-1,NA,183
127,Anandgoan,Stand development of monoculture plantation.4y,0.05,1996.01.01,19960101,8,Disturbance,Irrigation,700,mm yr-1,NA,184
128,Anandgoan,Stand development of monoculture plantation.3y,0.05,1997.01.01,19970101,8,Disturbance,Irrigation,700,mm yr-1,NA,185
129,Anandgoan,Stand development of monoculture plantation.2y,0.05,1998.01.01,19980101,8,Disturbance,Irrigation,700,mm yr-1,NA,186
130,Anandgoan,Stand development of monoculture plantation.1y,0.05,1999.01.01,19990101,8,Disturbance,Irrigation,700,mm yr-1,NA,187
131,"Anangu, A1",Seasonally flooded ANN-01,1,1904.01.01,19040101,8.5,No.disturbance,No disturbance,NA,NA,All plots were mixed-age old-growth humid forests with no evidence of major human-induced disturbance for at least a century. In most cases the forests are unlikely to have ever experienced a major anthropogenic disturbance. ,2343
132,"Anangu, A2",terra firma ANN-02,1,1904.01.01,19040101,8.5,No.disturbance,No disturbance,NA,NA,All plots were mixed-age old-growth humid forests with no evidence of major human-induced disturbance for at least a century. In most cases the forests are unlikely to have ever experienced a major anthropogenic disturbance. ,2344
133,"Anangu, A3",terra firma ANN-03,1,1904.01.01,19040101,8.5,No.disturbance,No disturbance,NA,NA,All plots were mixed-age old-growth humid forests with no evidence of major human-induced disturbance for at least a century. In most cases the forests are unlikely to have ever experienced a major anthropogenic disturbance. ,2345
134,"Apiau,Roraima",old-growth tropical forest.APR,NAC,NAC,NAC,9,No.disturbance,No disturbance,NA,NA,NAC,NA
135,Araracuara,ombtophilous tropical rainforest,NAC,NAC,NAC,9,No.info,NAC,NA,NA,NA,2093
136,Arroyo Negro,Forest recovery following maize agriculture.15 y,0.05,1970.01.01,19700101,8.5,Disturbance,Cultivation,2+,year,Maize,294
137,Arroyo Negro,Forest recovery following maize agriculture.18 y,0.05,1970.01.01,19700101,8.5,Disturbance,Cultivation,2,year,Maize,295
138,Arroyo Negro,Forest recovery following maize agriculture.4 y,0.05,1970.01.01,19700101,8.5,Disturbance,Cultivation,7,year,Maize,296
139,Arroyo Negro,Forest recovery following maize agriculture.5 y Fermin,0.05,1970.01.01,19700101,8.5,Disturbance,Cultivation,4,year,Maize,297
140,Arroyo Negro,Forest recovery following maize agriculture.5 y Gilberto,0.05,1970.01.01,19700101,8.5,Disturbance,Cultivation,1,year,Maize,298
141,Arroyo Negro,Forest recovery following maize agriculture.7 y,0.05,1970.01.01,19700101,8.5,Disturbance,Cultivation,1,year,Maize,299
142,Arroyo Negro,Forest recovery following maize agriculture.8 y,0.05,1970.01.01,19700101,8.5,Disturbance,Cultivation,3+,year,Maize,300
143,Arroyo Negro,Forest recovery following maize agriculture.9 y,0.05,1970.01.01,19700101,8.5,Disturbance,Cultivation,3+,year,Maize,301
144,Arroyo Negro,Forest recovery following maize agriculture.4 y,0.05,1988.01.01,19880101,8,Disturbance,Major storm,NA,NA,Hurricane Gilbert,302
145,Arroyo Negro,Forest recovery following maize agriculture.5 y Fermin,0.05,1988.01.01,19880101,8,Disturbance,Major storm,NA,NA,Hurricane Gilbert,303
146,Arroyo Negro,Forest recovery following maize agriculture.5 y Gilberto,0.05,1988.01.01,19880101,8,Disturbance,Major storm,NA,NA,Hurricane Gilbert,304
147,Arroyo Negro,Forest recovery following maize agriculture.7 y,0.05,1988.01.01,19880101,8,Disturbance,Major storm,NA,NA,Hurricane Gilbert,305
148,Arroyo Negro,Forest recovery following maize agriculture.8 y,0.05,1988.01.01,19880101,8,Disturbance,Major storm,NA,NA,Hurricane Gilbert,306
149,Arroyo Negro,Forest recovery following maize agriculture.9 y,0.05,1988.01.01,19880101,8,Disturbance,Major storm,NA,NA,Hurricane Gilbert,307
150,Arroyo Negro,Forest recovery following maize agriculture.4 y,0.05,1995.01.01,19950101,8,Establishment,Establishment of oldest trees*,*,NA,NA,308
151,Arroyo Negro,Forest recovery following maize agriculture.5 y Fermin,0.05,1994.01.01,19940101,8,Establishment,Establishment of oldest trees*,*,NA,NA,309
152,Arroyo Negro,Forest recovery following maize agriculture.5 y Gilberto,0.05,1994.01.01,19940101,8,Establishment,Establishment of oldest trees*,*,NA,NA,310
153,Arroyo Negro,Forest recovery following maize agriculture.7 y,0.05,1992.01.01,19920101,8,Establishment,Establishment of oldest trees*,*,NA,NA,311
154,Arroyo Negro,Forest recovery following maize agriculture.8 y,0.05,1991.01.01,19910101,8,Establishment,Establishment of oldest trees*,*,NA,NA,312
155,Arroyo Negro,Forest recovery following maize agriculture.9 y,0.05,1990.01.01,19900101,8,Establishment,Establishment of oldest trees*,*,NA,NA,313
156,Arroyo Negro,Forest recovery following maize agriculture.15 y,0.05,1984.01.01,19840101,8,Establishment,Establishment of oldest trees*,*,NA,NA,314
157,Arroyo Negro,Forest recovery following maize agriculture.18 y,0.05,1981.01.01,19810101,8,Establishment,Establishment of oldest trees*,*,NA,NA,315
158,Arroyo Negro,Forest recovery following maize agriculture.4 y,0.05,1995.01.01,19950101,8,Regrowth,Initiation of natural succession*,*,NA,NA,316
159,Arroyo Negro,Forest recovery following maize agriculture.5 y Fermin,0.05,1994.01.01,19940101,8,Regrowth,Initiation of natural succession*,*,NA,NA,317
160,Arroyo Negro,Forest recovery following maize agriculture.5 y Gilberto,0.05,1994.01.01,19940101,8,Regrowth,Initiation of natural succession*,*,NA,NA,318
161,Arroyo Negro,Forest recovery following maize agriculture.7 y,0.05,1992.01.01,19920101,8,Regrowth,Initiation of natural succession*,*,NA,NA,319
162,Arroyo Negro,Forest recovery following maize agriculture.8 y,0.05,1991.01.01,19910101,8,Regrowth,Initiation of natural succession*,*,NA,NA,320
163,Arroyo Negro,Forest recovery following maize agriculture.9 y,0.05,1990.01.01,19900101,8,Regrowth,Initiation of natural succession*,*,NA,NA,321
164,Arroyo Negro,Forest recovery following maize agriculture.15 y,0.05,1984.01.01,19840101,8,Regrowth,Initiation of natural succession*,*,NA,NA,322
165,Arroyo Negro,Forest recovery following maize agriculture.18 y,0.05,1981.01.01,19810101,8,Regrowth,Initiation of natural succession*,*,NA,NA,323
166,Arroyo Negro,Undisturbed forest Antonio,0.05,NAC,NAC,9,No.disturbance,No disturbance,NA,NA,mature forest,324
167,Arroyo Negro,Undisturbed forest Jose,0.05,NAC,NAC,9,No.disturbance,No disturbance,NA,NA,mature forest,325
168,ASN-02_Asenanyo F.R. 2,african tropical forest,0.6,NAC,NAC,9,No.info,NAC,NA,NA,NA,2094
169,ASN-04_Asenanyo F.R. 4,african tropical forest,0.88,NAC,NAC,9,No.info,NAC,NA,NA,NA,2095
170,ASU-01_Asukese F.R. 1,african tropical forest,1,NAC,NAC,9,No.info,NAC,NA,NA,NA,2096
171,Atherton Gadgarra,long term management; undisturbed,0.25,NI,NI,9,No.disturbance,No disturbance,NA,NA,well-developed rainforests with no evidence of disturbance,2219
172,Atherton Tableland,long term management; disturbed by drought/fire/cyclone,0.5,1915.01.01,19150101,8,Disturbance,Drought,NA,NA,severely disturbed by drought and forest fires in 1915 and a cyclone in 1918.,2220
173,Atherton Tableland,long term management; disturbed by drought/fire/cyclone,0.5,1915.01.01,19150101,8,Disturbance,Burned,NA,NA,severely disturbed by drought and forest fires in 1915 and a cyclone in 1918.,2221
174,Atherton Tableland,long term management; disturbed by drought/fire/cyclone,0.5,1918.01.01,19180101,8,Disturbance,Major storm,NA,NA,severely disturbed by drought and forest fires in 1915 and a cyclone in 1918.,2222
