method.ID,method.citation,variable.name,method.category,method.notes
316,Haynes_1995_bcai,R_het_soil_C,,Trenching
317,Haynes_1995_bcai,R_soil_C,,Chamber
318,Cronan_2003_bbpa,R_het_soil_C,,Mass balance
319,Cronan_2003_bbpa,R_soil_C,,Alkali trapping
321,Nakane_1995_scci,R_soil_C,,Alkali absorption
322,Dorr_1987_avis,R_het_soil_C,,radiocarbon
323,Dorr_1987_avis,R_soil_C,,Soil probes
324,Behera_1990_rctt,R_het_soil_C,,root regression model
325,Behera_1990_rctt,R_soil_C,,Alkali
326,Pers. Commun Migliavacca,R_soil_C,,Chamber
327,Davidson_2006_tsos,R_soil_C,,Chamber
328,Ehman_2002_aiio,R_het_soil_C,,litter + fine root turnover (C-balance)
329,Ehman_2002_aiio,R_soil_C,,Chamber
331,Law_2001_satv,R_het_soil_C,,Root excised
332,Law_2001_satv,R_soil_C,,Chamber
333,Pers. Commun. Bonal,R_het_soil_C,,Trenching
334,Pers. Commun. Bonal,R_soil_C,,Chamber
335,Pereira_2003_fcbi,R_soil_C,,Chamber
336,Sierra_2007_satv,R_het_soil_C,,Trenching
338,Pers. Commun. Goulden,R_auto_C,,NPP_roots
339,Pers. Commun. Goulden,R_het_soil_C,,Rs-Ra_roots
340,Pers. Commun. Goulden,R_soil_C,,Chamber
341,Pers. Commun. Malhi,R_auto_C,,foliage and wood respiration
342,Pers. Commun. Malhi,R_het_soil_C,,Rs-Ra_roots
343,Malhi_2014_tpma,R_soil_C,,closed dynamic chamber method with an infra-red gas analyser and soil respiration chamber
344,Wang_2006_sris,R_het_soil_C,,Trenching
345,Wang_2006_sris,R_soil_C,,Chamber
346,Martin_2005_asri,R_soil_C,,Chamber
347,Tagesson_2007_hsce,R_soil_C,,Chamber
348,Cook_2004_ceav,R_het_soil_C,,Rs-Ra_roots
349,Khomik_2006_tasv,R_soil_C,,Chamber
350,Gaumont-Guay_2006_iota,R_soil_C,,Chamber
351,Jiabingb_2006_pcod,R_soil_C,,Chamber
352,Zha_2007_tacc,R_soil_C,,Chamber
353,Asensio_2007_ssal,R_soil_C,,Chamber
354,Cleveland_2006_nata,R_soil_C,,Chamber
355,Navarro_2008_fdng,R_auto_C,,GPP-NPP
356,Ryan_1997_acco,R_auto_C,,Chamber measurements of the components
357,Campbell_2004_scos,R_auto_C,,Ra_roots+Ra_foliage+Ra_wood
358,Campbell_2004_scos,R_het_soil_C,,Rs-Ra_roots
359,Campbell_2004_scos,R_soil_C,,Chamber
360,Harmon_2004_prao,R_auto_C,,"biomass, temperature function adjusted by Ra_folia"
361,Harmon_2004_prao,R_het_soil_C,,(detritus+soil)*decay
362,Dannenmann_2007,R_het_soil_C,,Barometric Process Separation
364,Gough_2007_tloh,R_het_soil_C,,Component integration (Hanson et al 2000)
365,Gough_2007_tloh,R_soil_C,,Chamber
366,Jassal_2007_coer,R_soil_C,,Chamber
367,Gaudinski_2000_scci,R_het_soil_C,,Isotopic signature
368,Gaudinski_2000_scci,R_soil_C,,Chamber
369,Adachi_2006_disr,R_soil_C,,Chamber
370,Yang_2007_srac,R_het_soil_C,,Gap (Dirt plots stratified design)
371,Yang_2007_srac,R_soil_C,,Alkali absorption
372,Griffis_2004_svap,R_auto_C,,scaled bole chamber measurements
373,Griffis_2004_svap,R_het_soil_C,,Trenching?
374,Griffis_2004_svap,R_soil_C,,Chamber
375,Fenn et al submitted,R_auto_C,,Chamber measurements + micromesh bags
376,Fenn et al submitted,R_het_soil_C,,Micromesh bags
377,Fenn et al submitted,R_soil_C,,Chamber
378,Egunjobi_1979_band; Gehring_1999_rosv,biomass_ag_OM,,Harvesting
379,Montagnini_2000_aiab,biomass_ag_OM,,Harvest (thinning)
380,Aide_1995_fria; Chan_2013_eoam; Saldarriaga_1988_lcof; Sierra_2007_satv; Sierra_2012_tcai; Uhl_1984_sand; Uhl_1987_fcsf,biomass_ag_OM,,"Harvest, allometric relations"
381,Lewis_2009_icsi,biomass_ag_OM,,"measure the diameter of all trees that are_100_mm in diameter in a given area (mean 2.1_ha) at least twice (mean interval 9.4_years), and apply allometric equations to convert tree-diameter measurements to carbon content"
382,Lugo_1992_cott,ANPP,,ANPP was calculated by adding tree biomass increment and litterfall during the period of measurement. Aboveground tree biomass was estimated allometrically using tree inventory data and biomass-diameter relation
382.1,Lugo_1992_cott,biomass_ag_OM,,Aboveground tree biomass was estimated allometrically using tree inventory data and biomass-diameter relation
383,Lugo_1992_cott,ANPP,,"ANPP was calculated by adding tree biomass increment and litterfall during the period of measurement. Pine, mahogany, and roble (Tabebuia heterophylla (DC.) Britton) trees were harvested to supplement available biomass information on these species. Least squares regression analysis was used to develop bio- mass-diameter relation"
383.1,Lugo_1992_cott,biomass_ag_OM,,"Pine, mahogany, and roble (Tabebuia heterophylla (DC.) Britton) trees were harvested to supplement available biomass information on these species. Least squares regression analysis was used to develop biomass-diameter relation"
384,Maier_2004_rcua,ANPP_woody_stem_C,,"Where the individual tree data (including taxonomy) are available, we use allometric equation (Baker et al. 2004) to directly estimate the above-ground biomass at every census."
385,Hughes_1999_bcan; Zarin_2001_pbai; Gehring_2005_rosf; Letcher_2009_rrob; Becknell_2014_saas; Delaney_1997_tdoo; Baker_2004_ibia,biomass_ag_OM,,Measured DBH; Allometric relations
386,Lugo_1992_cott,organic.layer_OM,,multiplying the concentration of organic matter at the center of each soil horizon in the 1 x 1 x 1 m pit by the thickness of the horizon and its bulk density
387,Broadbent_2014_isas,biomass_ag_OM,,"Measured DBH, height, crown exposure; allometric relations"
388,Delaney_1997_tdoo,organic.layer_OM,,Litter sampled and weighed
389,Delaney_1997_tdoo,deadwood_OM,,down dead wood sampled using line intersect method (Brown 1974); standing dead wood using allometric relations subtracting 10%
390,Delaney_1997_tdoo,soil_C,,soil pit and cores
391,Delaney_1997_tdoo,biomass_root_OM,,"root biomass from root-to-shoot ratios (0.48 dry forests, 0.22 montane moist, 0.16 lowland moist; Sanford and Cuevas 1996)"
392,Delaney_1997_tdoo,biomass_OM,,"See 385, 391"
393,Delaney_1997_tdoo,Ecosystem_2,,"See 385, 388-391"
394,Broadbent_2014_isas,soil_C,,soil cores
395,Hughes_1999_bcan,soil_C,,Soil samples at 5 depths and surface soils and mineral soils
396,Alves_1997_bopa; Malhi_2014_tpma; Steininger_2000_sfsa; Uhl_1988_apie,biomass_ag_OM/biomass_ag_C,,"Measured DBH, height; Allometric relations"
397,Malhi_2014_tpma,ANPP_woody_branch_OM,,"Harvest (branches > 2 cm diameter), larger branches measured diameter at 3 points, assigned wood density value"
398,Malhi_2014_tpma,ANPP_foliage_OM,,"Litter traps, separated into components, oven dried and weighed"
399,Malhi_2014_tpma; Araujo-Murakami_2014_tpaa; da Costa_2014_eran; del Aguila-Pasquel_2014_tsco; Doughty_2014_tpaa; Rocha_2014_epac,ANPP_folivory_OM,,Leaves collected in litterfall traps photographed before drying. Leaves scanned to calculate leaf area lost to herbivory. The fractional herbivory (H) for each leaf was calculated (see Table 3)
401,Malhi_2014_tpma,Rsoil_het_annual,,Partitioning experiment
402,Malhi_2014_tpma,R_auto_C,,Ra = Rleaf + Rstem + Rrhizosphere + Rcoarse root
403,Malhi_2014_tpma,R_auto_foliage_C,,Leaf gas exchange measurements of Rdark were performed using infra-red gas analysers
