Column,Field,Description,Storage.Type,Variable.Codes,Units,Populated.by,n,Min,Max
16 / P,dist1.ID,"HistoryID, if any, detailing non stand-clearing disturbance events that occurred after the most recent severe/ stand-clearing disturbance (indexed in dist.mrs.ID) or in a stand with no known history of stand-clearing disturbance. When HISTORY contains multiple records of such disturbances, the first two are detailed in dist_1.ID and dist_2.ID, and any additional (subsequent) events are indexed in additional.dist.ID.",numeric (double),0-no record; nonzero number- history.ID,-,script,10581,0,10798
17 / Q,dist1.type,Type of the disturbance event indexed in dist_1.ID.,character (string),Given in HISTTYPE metadata table,-,script,307,-,-
18 / R,dist1.mort,"Percent tree mortality caused by the disturbance indexed in dist_1.ID. Values may be approximate and are unsuitable for direct comparisons because they are not standardized by tree size threshold. Values of ""<100"" indicate that at least some trees survived, but percent mortality is unknown. ",numeric (double) or character (string),"""<100%"" - non- stand clearing disturbance (% mortality unkonwn/ unspecified); ""minor"" - very minor disturbance",%,script,263,0,100
19 / S,dist1.year,Year of the disturbance event indexed in dist_1.ID.,numeric (double) or character (string),-,decimal years,script,164,1700,2013
20 / T,dist2.ID,"HistoryID, if any, detailing non stand-clearing disturbance events that occurred after the most recent severe/ stand-clearing disturbance (indexed in dist.mrs.ID) or in a stand with no known history of stand-clearing disturbance.",numeric (double),0-no record; nonzero number- history.ID,-,script,10581,0,6411
21 / U,dist2.type,Type of the disturbance event indexed in dist_2.ID.,character (string),Given in HISTTYPE metadata table,-,script,48,-,-
22 / V,dist2.mort,"Percent tree mortality caused by the disturbance indexed in dist_2.ID. Values may be approximate and are unsuitable for direct comparisons because they are not standardized by tree size threshold. Values of ""<100"" indicate that at least some trees survived, but percent mortality is unknown. ",numeric (double) or character (string),"""<100%"" - non- stand clearing disturbance (% mortality unkonwn/ unspecified); ""minor"" - very minor disturbance",%,script,39,4,100
23 / W,dist2.year,Year of the disturbance event indexed in dist_2.ID.,numeric (double) or character (string),-,decimal years,script,36,1900,2010
24 / X,additional.dist.ID,"HistoryID(s), if any, detailing any additional non stand-clearing disturbance events that occurred after the most recent severe/ stand-clearing disturbance (indexed in dist.mrs.ID) or in a stand with no known history of stand-clearing disturbance.",numeric (double),"0-no record; nonzero decimal- history.ID; nonzero integer- plot number, given if this field refers to multiple records in HISTORY.",-,script,10581,0,6412
25 / Y,management.CO2.ID,"HistoryID(s), if any, detailing experimental manipulation of atmospheric CO2.",numeric (double),"0-no record; nonzero decimal- history.ID; nonzero integer- plot number, given if this field refers to multiple records in HISTORY.",-,script,10581,0,5275
26 / Z,management.temperature.ID,"HistoryID(s), if any, detailing experimental manipulation of soil or air temperature.",numeric (double),"0-no record; nonzero decimal- history.ID; nonzero integer- plot number, given if this field refers to multiple records in HISTORY.",-,script,10581,0,5063
27 / AA,management.hydrology.ID,"HistoryID(s), if any, detailing experimental treatments or management events that manipulate hydrology (e.g., irrigation, precipitation diversion, peat drainage).",numeric (double),"0-no record; nonzero decimal- history.ID; nonzero integer- plot number, given if this field refers to multiple records in HISTORY.",-,script,10581,0,5270
28 / AB,management.nutrients.ID,"HistoryID(s), if any, detailing fertilization events (management or experimental).",numeric (double),"0-no record; nonzero decimal- history.ID; nonzero integer- plot number, given if this field refers to multiple records in HISTORY.",-,script,10581,0,5278
29 / AC,management.biota.ID,"HistoryID(s), if any, detailing experimental treatments or management events that manipulate biotic community (e.g., pesticide or herbicide application, planting of crops, planting additional trees within an established stand).",numeric (double),"0-no record; nonzero decimal- history.ID; nonzero integer- plot number, given if this field refers to multiple records in HISTORY.",-,script,10581,0,4905
30 / AD,management.other.ID,"HistoryID(s), if any, detailing experimental treatments or management events that manipulate the ecosystem in a way that does not fit within the above categories (e.g., soil disturbance).",numeric (double),"0-no record; nonzero decimal- history.ID; nonzero integer- plot number, given if this field refers to multiple records in HISTORY.",-,script,10581,0,5049
