Column,Field,Description,Storage.Type,Variable.Codes,Units,Populated.by,n,Min,Max
40 / AN,D.precedence,"Indicates whether or not the duplicate record is assigned default precedence. Precendence is assigned as follows: For duplicates that differ in methodology (M), plot (P), or have overlapping time periods (T), higher priority is assigned to the more comprehensive measurement (e.g., including trees + understory as opposed to just trees, sampling roots to greater depth, larger plot, longer time period) or that which is generally considered to be methodologically more rigorous. When priority was not clear based on the information in the database at the time that ranks were assigned (March 2018), precendence is given to the more recent study. If two sources were published in the same year, the primary source (as opposed to a synthesis) comes first. ",numeric (double) ,0- no precedence; 1- precedence,-,script,,,
41 / AO,conflict.type,Code(s) indicating conflict type for S and D groups. There may be more than one.,character (string),T- overlapping time period; P- overlapping or nested plots; M- methods differ; C- records differ in units (C / OM),-,script,,,
42 / AP,D.precedence.measurement.ID,"measurement ID for record that has precendence within duplicate group. This field serves as a manually-editable record of both D.group and D.precedence. Initially created (Dec. 2018) by script based on D.group and D.precedence, subequently manual edit.",numeric (double) ,-,-,manual entry,,,
43 / AQ,conflicts.notes,Notes clarifying relationships among conflicted recrods.,character (string),-,-,manual entry,,,
44 /  AR,citation.ID,Citation ID for publication from which measurements were obtained. Citation.ID is in the form [last name of first author]_[year]_[first letter of first four words of title] and links to citation.ID in the citations table.,character (string) ,-,-,manual entry,15864,-,-
45 / AS,loaded.from,"Citation ID(s) for data compilations from which data and reference to primary source were obtained, if applicable. Citation.ID is in the form [last name of first author]_[year]_[first letter of first four words of title] and links to citation.ID in the citations table.",character (string) ,-,-,manual entry,17367,-,-
46 / AT,data.location.within.source,"Location of data within the source listed in citation.ID.  If loaded via an intermediary source, that info goes in source notes.",character (string) ,-,-,manual entry,17367,-,-
47 / AU,source.notes,Notes on data source. Source notes were originally entered in notes column; some source notes may remain there.,character (string) ,-,-,manual entry,8844,-,-
48 / AV,measurement.ID.v1,"Original measurement.ID, where numbers <3568 correspond to records released in the first published version of the database (Anderson-Teixeira et al., 2016).  Other numbers correspond to records in a previous master version of the database (2ForC_data_measurements.xlsx; archived in ForC_private). ",numeric (integer),-,-,manual entry,4796,1,17172
49 / AW,loaded.by,Name of individual who created the record,character (string) ,-,-,manual entry,17367,-,-
50 / AX,checked.ori.pub,"Indicates whether we have confirmation that the measurement value (mean) has been checked against the source listed in citation.ID (as opposed to the loaded.from source). This field likely contains a lot of false negatives, as it wasn't added until February 2018.",numeric (integer),1-true; 0- false,-,manual entry,17367,0,1
51 / AY,ForC.investigator,"Name, institution, and email address of the corresponding author for the database record (typically principal investigor overseeing its entry). This is the individual who should be contacted with correspondence regarding that record (e.g., questions, corrections, requests for collaboration). ",character (string) ,-,-,manual entry,17367,-,-
52 / AZ,required.citations,CitationIDs for publications that should be cited when using this data record. This is the minimum list; see data use policy for additional guidelines.,character (string) ,-,-,manual entry,,0,1
53 / BA,flag.suspicious,Field indicating suspicious measurement values that should not be used in analysis until confirmed. Reason for supicion described in notes field. ,numeric (integer),1-true; 0- false,-,manual entry,,0,1
