"variable.ID","variable.type","variable.name","units","description","extended.description","equations","requires.allometry","requires.min.dbh","requires.depth","associated.covariate_1","associated.covariate_2","n.records","min","max","notes"
84,"increment","delta.deadwood_OM","Mg ha-1 yr-1","Dead wood increment (delta.deadwood)","Net change (increment) in total mass of aboveground dead wood, including standing dead wood and woody debris.","",1,1,0,"(min.diameter)","(min.length)",0,"-","-","Covariates depend on methodology. Include min.diameter, min.length, allometric.equation. Recommended size threshold for distinguising dead wood from litter/ organic layer is diameter = 10cm."
85,"increment","delta.deadwood_C","Mg C ha-1 yr-1","Dead wood increment (delta.deadwood)","Net change (increment) in total carbon in aboveground dead wood, including standing dead wood and woody debris.","",1,1,0,"(min.diameter)","(min.length)",0,"-","-","Covariates depend on methodology. Include min.diameter, min.length, allometric.equation. Recommended size threshold for distinguising dead wood from litter/ organic layer is diameter = 10cm."
86,"increment","delta.deadwood_standing_OM","Mg ha-1 yr-1","Dead wood increment: standing (delta.deadwood_standing)","Net change (increment) in total mass of aboveground standing dead wood (snags).","",1,1,0,NA,NA,0,"-","-","Covariates depend on methodology. Include min.diameter, min.length, allometric.equation."
87,"increment","delta.deadwood_standing_C","Mg C ha-1 yr-1","Dead wood increment: standing (delta.deadwood_standing)","Net change (increment) in total carbon in aboveground standing dead wood (snags).","",1,1,0,NA,NA,0,"-","-","Covariates depend on methodology. Include min.diameter, min.length, allometric.equation."
88,"increment","delta.deadwood_down_OM","Mg ha-1 yr-1","Dead wood increment: fallen (delta.deadwood_down)","Net change (increment) in total mass of downed dead wood (coarse and sometimes fine woody debris).","",0,0,0,"(min.diameter)","(min.length)",0,"-","-","Covariates depend on methodology. Include min.diameter, min.length. Recommended size threshold for distinguising dead wood from litter/ organic layer is diameter = 10cm."
89,"increment","delta.deadwood_down_C","Mg C ha-1 yr-1","Dead wood increment: fallen (delta.deadwood_down)","Net change (increment) in total carbon in downed dead wood (coarse and sometimes fine woody debris).","",0,0,0,"(min.diameter)","(min.length)",0,"-","-","Covariates depend on methodology. Include min.diameter, min.length. Recommended size threshold for distinguising dead wood from litter/ organic layer is diameter = 10cm."
90,"increment","delta.litter_OM","Mg ha-1 yr-1","Litter (OL horizon) increment (delta.litter)","Net change (increment) in mass of litter, or relatively undecomposed plant material (OL soil horizon).",NA,0,0,0,"max.diameter",NA,0,"-","-","Subset of O.horizon.  Recommended size threshold for distinguising dead wood from litter/ organic layer is diameter = 10cm."
91,"increment","delta.litter_C","Mg C ha-1 yr-1","Litter (OL horizon) increment(delta.litter)","Net change (increment) in C in litter, or relatively undecomposed plant material (OL soil horizon).",NA,0,0,0,"max.diameter",NA,0,"-","-","Subset of O.horizon.  Recommended size threshold for distinguising dead wood from litter/ organic layer is diameter = 10cm."
92,"increment","delta.organic.layer_OM","Mg ha-1 yr-1","Organic Layer/ Litter increment (delta.organic.layer)","Net change (increment) in mass of litter/ organic layer/ forest floor, where components included have not been clearly defined",NA,0,0,0,"max.diameter",NA,0,"-","-","This includes data where it is unknown exactly which components are included (e.g., ""O.horizon"" or ""litter""), either because it is not clear in the original publication, or because this information was not retrieved. When possible, ""O.horizon"" or ""litter"" should be selected as the variable.  The exact components included should be specified in notes or methods. Recommended size threshold for distinguising dead wood from litter/ organic layer is diameter = 10cm."
93,"increment","delta.organic.layer_C","Mg C ha-1 yr-1","Organic Layer/ Litter increment (delta.organic.layer)","Net change (increment) in C content of litter/ organic layer/ forest floor, where components included have not been clearly defined",NA,0,0,0,"max.diameter",NA,0,"-","-","This includes data where it is unknown exactly which components are included (e.g., ""O.horizon"" or ""litter""), either because it is not clear in the original publication, or because this information was not retrieved. When possible, ""O.horizon"" or ""litter"" should be selected as the variable.  The exact components included should be specified in notes or methods. Recommended size threshold for distinguising dead wood from litter/ organic layer is diameter = 10cm."
94,"increment","delta.O.horizon_OM","Mg ha-1 yr-1","Organic horizon  increment (delta.O.horizon)","Net change (increment) in mass of entire organic horizon, including litter (OL), fumic (OF), and humic (OH) layers.","",0,0,0,"max.diameter",NA,0,"-","-","matches IPCC ""litter"""
95,"increment","delta.O.horizon_C","Mg C ha-1 yr-1","Organic horizon increment (delta.O.horizon)","Net change (increment) in C content of entire organic horizon, including litter (OL), fumic (OF), and humic (OH) layers.","",0,0,0,"max.diameter",NA,0,"-","-","matches IPCC ""litter"""
96,"increment","delta.soil_OM","Mg ha-1 yr-1","Soil Organic Matter increment (delta.soil_OM)","Net change (increment) in soil organic matter to specified depth in mineral soil.","",0,0,1,NA,NA,0,"-","-","depth refers to depth in mineral soil. 0 indicates above mineral soil (O-horizon)"
97,"increment","delta.soil_C","Mg C ha-1 yr-1","Soil Organic Carbon increment (soil_C)","Net change (increment) in soil organic carbon to specified depth in mineral soil.","",0,0,1,NA,NA,0,"-","-","depth refers to depth in mineral soil. 0 indicates above mineral soil (O-horizon)"
126,"stock","O.horizon_OM","Mg ha-1","Organic horizon (O.horizon)","Mass of entire organic horizon, including litter (OL), fumic (OF), and humic (OH) layers.","",0,0,0,"max.diameter",NA,0,"-","-","matches IPCC ""litter"""
130,"secondary","stand.density","n ha-1","Stand density","",NA,0,1,0,"stem.level",NA,0,"-","-",NA
